task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Go to grocery', 'Make a list of items you need at the grocery']",Make a list of items you need at the grocery,1
1,0.1111111111111111,['Make a list of items you need at the grocery'],"['Find a grocery nearby', 'Get a shopping cart if needed']",Find a grocery nearby,0
2,0.2222222222222222,"['Make a list of items you need at the grocery', 'Find a grocery nearby']","['Go to grocery', 'Go to check out line']",Go to grocery,0
3,0.3333333333333333,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery']","['Get a shopping cart if needed', 'Place items in grocery cart']",Get a shopping cart if needed,0
4,0.4444444444444444,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery', 'Get a shopping cart if needed']","['Pay for groceries', 'Find items on your list']",Find items on your list,1
5,0.5555555555555556,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery', 'Get a shopping cart if needed', 'Find items on your list']","['Place items in grocery cart', 'Pay for groceries']",Place items in grocery cart,0
6,0.6666666666666666,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery', 'Get a shopping cart if needed', 'Find items on your list', 'Place items in grocery cart']","['Make a list of items you need at the grocery', 'Go to check out line']",Go to check out line,1
7,0.7777777777777778,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery', 'Get a shopping cart if needed', 'Find items on your list', 'Place items in grocery cart', 'Go to check out line']","['Go to grocery', 'Place items in cart on belt for cashier to scan']",Place items in cart on belt for cashier to scan,1
8,0.8888888888888888,"['Make a list of items you need at the grocery', 'Find a grocery nearby', 'Go to grocery', 'Get a shopping cart if needed', 'Find items on your list', 'Place items in grocery cart', 'Go to check out line', 'Place items in cart on belt for cashier to scan']","['Find a grocery nearby', 'Pay for groceries']",Pay for groceries,1
0,0.0,[],"['Take list to store', 'Make a menu for the coming week']",Make a menu for the coming week,1
1,0.1111111111111111,['Make a menu for the coming week'],"['Make a shopping list based on the menu and items you need', 'Put them in your cart']",Make a shopping list based on the menu and items you need,0
2,0.2222222222222222,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need']","['Bring cart to register', 'Take list to store']",Take list to store,1
3,0.3333333333333333,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store']","['Find the items on your list', 'Drive to store']",Drive to store,1
4,0.4444444444444444,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store', 'Drive to store']","['Park and get a cart', 'Put them in your cart']",Park and get a cart,0
5,0.5555555555555556,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store', 'Drive to store', 'Park and get a cart']","['Find the items on your list', 'Take list to store']",Find the items on your list,0
6,0.6666666666666666,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store', 'Drive to store', 'Park and get a cart', 'Find the items on your list']","['Drive to store', 'Cross them off your list']",Cross them off your list,1
7,0.7777777777777778,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store', 'Drive to store', 'Park and get a cart', 'Find the items on your list', 'Cross them off your list']","['Make a menu for the coming week', 'Put them in your cart']",Put them in your cart,1
8,0.8888888888888888,"['Make a menu for the coming week', 'Make a shopping list based on the menu and items you need', 'Take list to store', 'Drive to store', 'Park and get a cart', 'Find the items on your list', 'Cross them off your list', 'Put them in your cart']","['Drive to store', 'Bring cart to register']",Bring cart to register,1
0,0.0,[],"['make grocery list', 'pay for food']",make grocery list,0
1,0.1111111111111111,['make grocery list'],"['take bus to grocery store', 'get tote bag']",get tote bag,1
2,0.2222222222222222,"['make grocery list', 'get tote bag']","['pay for food', 'get coupons']",get coupons,1
3,0.3333333333333333,"['make grocery list', 'get tote bag', 'get coupons']","['check out food', 'get wallet']",get wallet,1
4,0.4444444444444444,"['make grocery list', 'get tote bag', 'get coupons', 'get wallet']","['take bus to grocery store', 'check out food']",take bus to grocery store,0
5,0.5555555555555556,"['make grocery list', 'get tote bag', 'get coupons', 'get wallet', 'take bus to grocery store']","['shop', 'bag food']",shop,0
6,0.6666666666666666,"['make grocery list', 'get tote bag', 'get coupons', 'get wallet', 'take bus to grocery store', 'shop']","['get coupons', 'check out food']",check out food,1
7,0.7777777777777778,"['make grocery list', 'get tote bag', 'get coupons', 'get wallet', 'take bus to grocery store', 'shop', 'check out food']","['pay for food', 'get tote bag']",pay for food,0
8,0.8888888888888888,"['make grocery list', 'get tote bag', 'get coupons', 'get wallet', 'take bus to grocery store', 'shop', 'check out food', 'pay for food']","['make grocery list', 'bag food']",bag food,1
0,0.0,[],"['pay for items', 'enter grocery store']",enter grocery store,1
1,0.125,['enter grocery store'],"['take things off shelf', 'get cart']",get cart,1
2,0.25,"['enter grocery store', 'get cart']","['pay for items', 'walk through store']",walk through store,1
3,0.375,"['enter grocery store', 'get cart', 'walk through store']","['enter grocery store', 'take things off shelf']",take things off shelf,1
4,0.5,"['enter grocery store', 'get cart', 'walk through store', 'take things off shelf']","['pay for items', 'walk to check out line']",walk to check out line,1
5,0.625,"['enter grocery store', 'get cart', 'walk through store', 'take things off shelf', 'walk to check out line']","['put items on belt', 'enter grocery store']",put items on belt,0
6,0.75,"['enter grocery store', 'get cart', 'walk through store', 'take things off shelf', 'walk to check out line', 'put items on belt']","['get cart', 'pay for items']",pay for items,1
7,0.875,"['enter grocery store', 'get cart', 'walk through store', 'take things off shelf', 'walk to check out line', 'put items on belt', 'pay for items']","['leave store with items', 'take things off shelf']",leave store with items,0
0,0.0,[],"['Write list', 'Write list']",Write list,1
1,0.1111111111111111,['Write list'],"['Go to grocery store', 'Pay for items']",Go to grocery store,0
2,0.2222222222222222,"['Write list', 'Go to grocery store']","['Pay for items', 'Get cart']",Get cart,1
3,0.3333333333333333,"['Write list', 'Go to grocery store', 'Get cart']","['Put items on conveyor belt', 'Get items on list']",Get items on list,1
4,0.4444444444444444,"['Write list', 'Go to grocery store', 'Get cart', 'Get items on list']","['Put in cart', 'Go to grocery store']",Put in cart,0
5,0.5555555555555556,"['Write list', 'Go to grocery store', 'Get cart', 'Get items on list', 'Put in cart']","['Take cart to checkout', 'Pay for items']",Take cart to checkout,0
6,0.6666666666666666,"['Write list', 'Go to grocery store', 'Get cart', 'Get items on list', 'Put in cart', 'Take cart to checkout']","['Put items on conveyor belt', 'Take items']",Put items on conveyor belt,0
7,0.7777777777777778,"['Write list', 'Go to grocery store', 'Get cart', 'Get items on list', 'Put in cart', 'Take cart to checkout', 'Put items on conveyor belt']","['Go to grocery store', 'Pay for items']",Pay for items,1
8,0.8888888888888888,"['Write list', 'Go to grocery store', 'Get cart', 'Get items on list', 'Put in cart', 'Take cart to checkout', 'Put items on conveyor belt', 'Pay for items']","['Write list', 'Take items']",Take items,1
0,0.0,[],"['Making grocery list', 'Drive to grocery store']",Making grocery list,0
1,0.2,['Making grocery list'],"['Making grocery list', 'Get into car']",Get into car,1
2,0.4,"['Making grocery list', 'Get into car']","['Get in car', 'Drive to grocery store']",Drive to grocery store,1
3,0.6,"['Making grocery list', 'Get into car', 'Drive to grocery store']","['Go shopping', 'Making grocery list']",Go shopping,0
4,0.8,"['Making grocery list', 'Get into car', 'Drive to grocery store', 'Go shopping']","['Get in car', 'Making grocery list']",Get in car,0
0,0.0,[],"['Make grocery list', 'Go down aisles']",Make grocery list,0
1,0.1111111111111111,['Make grocery list'],"['Go down aisles', 'Enter super market']",Enter super market,1
2,0.2222222222222222,"['Make grocery list', 'Enter super market']","['Wait for them to be scanned', 'Take a cart']",Take a cart,1
3,0.3333333333333333,"['Make grocery list', 'Enter super market', 'Take a cart']","['Go down aisles', 'Put items on table']",Go down aisles,0
4,0.4444444444444444,"['Make grocery list', 'Enter super market', 'Take a cart', 'Go down aisles']","['Find things from list', 'Wait for them to be scanned']",Find things from list,0
5,0.5555555555555556,"['Make grocery list', 'Enter super market', 'Take a cart', 'Go down aisles', 'Find things from list']","['Enter super market', 'Put them in cart']",Put them in cart,1
6,0.6666666666666666,"['Make grocery list', 'Enter super market', 'Take a cart', 'Go down aisles', 'Find things from list', 'Put them in cart']","['Bring cart to cashier', 'Wait for them to be scanned']",Bring cart to cashier,0
7,0.7777777777777778,"['Make grocery list', 'Enter super market', 'Take a cart', 'Go down aisles', 'Find things from list', 'Put them in cart', 'Bring cart to cashier']","['Take a cart', 'Put items on table']",Put items on table,1
