task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Get bathing suit', 'Get sunscreen']",Get bathing suit,0
1,0.2,['Get bathing suit'],"['Get a towel', 'Find a pool nearby']",Get a towel,0
2,0.4,"['Get bathing suit', 'Get a towel']","['Get in mode of transportation and to go pool', 'Get sunscreen']",Get sunscreen,1
3,0.6,"['Get bathing suit', 'Get a towel', 'Get sunscreen']","['Get bathing suit', 'Find a pool nearby']",Find a pool nearby,1
4,0.8,"['Get bathing suit', 'Get a towel', 'Get sunscreen', 'Find a pool nearby']","['Get bathing suit', 'Get in mode of transportation and to go pool']",Get in mode of transportation and to go pool,1
0,0.0,[],"['Drive to swimming pool.', 'Pack a bag with things you need.']",Pack a bag with things you need.,1
1,0.2,['Pack a bag with things you need.'],"['Drive to swimming pool.', 'Drive to swimming pool.']",Drive to swimming pool.,0
2,0.4,"['Pack a bag with things you need.', 'Drive to swimming pool.']","['Put items in locker.', 'Pay to swim and get a locker.']",Pay to swim and get a locker.,1
3,0.6,"['Pack a bag with things you need.', 'Drive to swimming pool.', 'Pay to swim and get a locker.']","['Change into swimming suit.', 'Pack a bag with things you need.']",Change into swimming suit.,0
4,0.8,"['Pack a bag with things you need.', 'Drive to swimming pool.', 'Pay to swim and get a locker.', 'Change into swimming suit.']","['Pack a bag with things you need.', 'Put items in locker.']",Put items in locker.,1
0,0.0,[],"['Put on flip flops', 'Get towel']",Get towel,1
1,0.2,['Get towel'],"['Put on sunscreen', 'Get swimsuit on']",Get swimsuit on,1
2,0.4,"['Get towel', 'Get swimsuit on']","['Put on flip flops', 'Put on sunscreen']",Put on sunscreen,1
3,0.6,"['Get towel', 'Get swimsuit on', 'Put on sunscreen']","['Put coverup over swimsuit', 'Get towel']",Put coverup over swimsuit,0
4,0.8,"['Get towel', 'Get swimsuit on', 'Put on sunscreen', 'Put coverup over swimsuit']","['Get towel', 'Put on flip flops']",Put on flip flops,1
0,0.0,[],"['Go to pool', 'Put on bathing suit']",Put on bathing suit,1
1,0.2,['Put on bathing suit'],"['Pack towel', 'Pack towel']",Pack towel,1
2,0.4,"['Put on bathing suit', 'Pack towel']","['Go to pool', 'Step into water']",Go to pool,0
3,0.6,"['Put on bathing suit', 'Pack towel', 'Go to pool']","['Take off clothes', 'Put on bathing suit']",Take off clothes,0
4,0.8,"['Put on bathing suit', 'Pack towel', 'Go to pool', 'Take off clothes']","['Step into water', 'Pack towel']",Step into water,0
0,0.0,[],"['Find your swimsuit in your drawer', 'What are your sandals']",Find your swimsuit in your drawer,0
1,0.2,['Find your swimsuit in your drawer'],"['Wear your swimsuit', 'Walk to the swimming pool']",Wear your swimsuit,0
2,0.4,"['Find your swimsuit in your drawer', 'Wear your swimsuit']","['Get your towel', 'Walk to the swimming pool']",Get your towel,0
3,0.6,"['Find your swimsuit in your drawer', 'Wear your swimsuit', 'Get your towel']","['What are your sandals', 'Find your swimsuit in your drawer']",What are your sandals,0
4,0.8,"['Find your swimsuit in your drawer', 'Wear your swimsuit', 'Get your towel', 'What are your sandals']","['Walk to the swimming pool', 'Find your swimsuit in your drawer']",Walk to the swimming pool,0
0,0.0,[],"['Put on swim suit.', 'Put on swim suit.']",Put on swim suit.,0
1,0.2,['Put on swim suit.'],"['Put on swim suit.', 'Gather towel and sunscreen.']",Gather towel and sunscreen.,1
2,0.4,"['Put on swim suit.', 'Gather towel and sunscreen.']","['Drive to pool.', 'Pay to get in.']",Drive to pool.,0
3,0.6,"['Put on swim suit.', 'Gather towel and sunscreen.', 'Drive to pool.']","['Put on swim suit.', 'Enter the gate to the pool.']",Enter the gate to the pool.,1
4,0.8,"['Put on swim suit.', 'Gather towel and sunscreen.', 'Drive to pool.', 'Enter the gate to the pool.']","['Pay to get in.', 'Gather towel and sunscreen.']",Pay to get in.,0
0,0.0,[],"['Put on sunscreen', 'Put on bathing suit']",Put on bathing suit,1
1,0.2,['Put on bathing suit'],"['Grab a towel', 'Grab a towel']",Grab a towel,0
2,0.4,"['Put on bathing suit', 'Grab a towel']","['Put on sunscreen', 'Jump in the water']",Put on sunscreen,0
3,0.6,"['Put on bathing suit', 'Grab a towel', 'Put on sunscreen']","['Walk to the pool', 'Put on bathing suit']",Walk to the pool,0
4,0.8,"['Put on bathing suit', 'Grab a towel', 'Put on sunscreen', 'Walk to the pool']","['Jump in the water', 'Put on bathing suit']",Jump in the water,0
0,0.0,[],"['Put on swim trunks', 'Get in car']",Put on swim trunks,0
1,0.2,['Put on swim trunks'],"['Get in car', 'Get in car']",Get in car,1
2,0.4,"['Put on swim trunks', 'Get in car']","['Swim in pool', 'Drive to swimming pool']",Drive to swimming pool,1
3,0.6,"['Put on swim trunks', 'Get in car', 'Drive to swimming pool']","['Put on sunscreen', 'Put on swim trunks']",Put on sunscreen,0
4,0.8,"['Put on swim trunks', 'Get in car', 'Drive to swimming pool', 'Put on sunscreen']","['Swim in pool', 'Put on swim trunks']",Swim in pool,0
0,0.0,[],"['Enter the swimming pool', 'Put on swimming suit']",Put on swimming suit,1
1,0.2,['Put on swimming suit'],"['Put track suit on top', 'Undress the swimming suit']",Put track suit on top,0
