task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Invite friends over', 'Buy meat and other food for barbecue']",Buy meat and other food for barbecue,1
1,0.14285714285714285,['Buy meat and other food for barbecue'],"['Invite friends over', 'Cook meat on the grill']",Invite friends over,0
2,0.2857142857142857,"['Buy meat and other food for barbecue', 'Invite friends over']","['Set up a picnic table', 'Sit down and eat']",Set up a picnic table,0
3,0.42857142857142855,"['Buy meat and other food for barbecue', 'Invite friends over', 'Set up a picnic table']","['Cook meat on the grill', 'Sit down and eat']",Cook meat on the grill,0
4,0.5714285714285714,"['Buy meat and other food for barbecue', 'Invite friends over', 'Set up a picnic table', 'Cook meat on the grill']","['Sit down and eat', 'Make food to go with the meat']",Make food to go with the meat,1
5,0.7142857142857143,"['Buy meat and other food for barbecue', 'Invite friends over', 'Set up a picnic table', 'Cook meat on the grill', 'Make food to go with the meat']","['Put everything on the table', 'Buy meat and other food for barbecue']",Put everything on the table,0
6,0.8571428571428571,"['Buy meat and other food for barbecue', 'Invite friends over', 'Set up a picnic table', 'Cook meat on the grill', 'Make food to go with the meat', 'Put everything on the table']","['Buy meat and other food for barbecue', 'Sit down and eat']",Sit down and eat,1
0,0.0,[],"['buying food for the grill', 'grilling food']",buying food for the grill,0
1,0.2,['buying food for the grill'],"['inviting people over', 'preparing food for the grill']",preparing food for the grill,1
2,0.4,"['buying food for the grill', 'preparing food for the grill']","['serving food', 'inviting people over']",inviting people over,1
3,0.6,"['buying food for the grill', 'preparing food for the grill', 'inviting people over']","['grilling food', 'buying food for the grill']",grilling food,0
4,0.8,"['buying food for the grill', 'preparing food for the grill', 'inviting people over', 'grilling food']","['serving food', 'preparing food for the grill']",serving food,0
0,0.0,[],"['Buy meat', 'Tell friends about barbecue']",Tell friends about barbecue,1
1,0.2,['Tell friends about barbecue'],"['Eat meat with friends', 'Buy meat']",Buy meat,1
2,0.4,"['Tell friends about barbecue', 'Buy meat']","['Eat meat with friends', 'Go outside']",Go outside,1
3,0.6,"['Tell friends about barbecue', 'Buy meat', 'Go outside']","['Barbecue meat', 'Tell friends about barbecue']",Barbecue meat,0
4,0.8,"['Tell friends about barbecue', 'Buy meat', 'Go outside', 'Barbecue meat']","['Tell friends about barbecue', 'Eat meat with friends']",Eat meat with friends,1
0,0.0,[],"['Go to grocery store', 'Turn on grill']",Go to grocery store,0
1,0.14285714285714285,['Go to grocery store'],"['Take food home', 'Buy food from store']",Buy food from store,1
2,0.2857142857142857,"['Go to grocery store', 'Buy food from store']","['Take food home', 'Serve food when finished']",Take food home,0
3,0.42857142857142855,"['Go to grocery store', 'Buy food from store', 'Take food home']","['Cook food', 'Turn on grill']",Turn on grill,1
4,0.5714285714285714,"['Go to grocery store', 'Buy food from store', 'Take food home', 'Turn on grill']","['Buy food from store', 'Prepare food']",Prepare food,1
5,0.7142857142857143,"['Go to grocery store', 'Buy food from store', 'Take food home', 'Turn on grill', 'Prepare food']","['Cook food', 'Buy food from store']",Cook food,0
