task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['get towel', 'open drain']",get towel,0
1,0.07692307692307693,['get towel'],"['go to bathroom', 'wash self']",go to bathroom,0
2,0.15384615384615385,"['get towel', 'go to bathroom']","['wash self', 'turn on water']",turn on water,1
3,0.23076923076923078,"['get towel', 'go to bathroom', 'turn on water']","['get towel', 'close drain']",close drain,1
4,0.3076923076923077,"['get towel', 'go to bathroom', 'turn on water', 'close drain']","['get towel', 'allow bath water to fill bath tub']",allow bath water to fill bath tub,1
5,0.38461538461538464,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub']","['open drain', 'turn off water']",turn off water,1
6,0.46153846153846156,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water']","['remove clothing', 'wash self']",remove clothing,0
7,0.5384615384615384,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing']","['enter bath', 'dry off']",enter bath,0
8,0.6153846153846154,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing', 'enter bath']","['wash self', 'allow bath water to fill bath tub']",wash self,0
9,0.6923076923076923,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing', 'enter bath', 'wash self']","['remove clothing', 'exit bath tub']",exit bath tub,1
10,0.7692307692307693,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing', 'enter bath', 'wash self', 'exit bath tub']","['allow bath water to fill bath tub', 'open drain']",open drain,1
11,0.8461538461538461,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing', 'enter bath', 'wash self', 'exit bath tub', 'open drain']","['remove clothing', 'dry off']",dry off,1
12,0.9230769230769231,"['get towel', 'go to bathroom', 'turn on water', 'close drain', 'allow bath water to fill bath tub', 'turn off water', 'remove clothing', 'enter bath', 'wash self', 'exit bath tub', 'open drain', 'dry off']","['leave bathroom', 'get towel']",leave bathroom,0
0,0.0,[],"['Turn on water in the bathtub.', 'Get into bathtub.']",Turn on water in the bathtub.,0
1,0.125,['Turn on water in the bathtub.'],"['Get undressed.', 'Pull off stopper in bathtub.']",Get undressed.,0
