task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Scrape off any large chunks of food from the plate.', 'Scrub the dishes to make sure no food is sticking to them.']",Scrape off any large chunks of food from the plate.,0
1,0.125,['Scrape off any large chunks of food from the plate.'],"['Submerge the dishes in warm water.', 'Submerge the dishes in warm water.']",Submerge the dishes in warm water.,0
2,0.25,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.']","['Add dish soap to the warm water.', 'Leave the dishes on the counter on top of the cloth (or on a dish rack) to dry']",Add dish soap to the warm water.,0
3,0.375,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.', 'Add dish soap to the warm water.']","['Let the dishes soak for about 15-30 mins.', 'Scrape off any large chunks of food from the plate.']",Let the dishes soak for about 15-30 mins.,0
4,0.5,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.', 'Add dish soap to the warm water.', 'Let the dishes soak for about 15-30 mins.']","['Scrub the dishes to make sure no food is sticking to them.', 'Gently dry the dishes with a dish cloth.']",Scrub the dishes to make sure no food is sticking to them.,0
5,0.625,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.', 'Add dish soap to the warm water.', 'Let the dishes soak for about 15-30 mins.', 'Scrub the dishes to make sure no food is sticking to them.']","['Submerge the dishes in warm water.', 'Rinse the dishes under water to clean off the soap and any other food particles.']",Rinse the dishes under water to clean off the soap and any other food particles.,1
6,0.75,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.', 'Add dish soap to the warm water.', 'Let the dishes soak for about 15-30 mins.', 'Scrub the dishes to make sure no food is sticking to them.', 'Rinse the dishes under water to clean off the soap and any other food particles.']","['Submerge the dishes in warm water.', 'Gently dry the dishes with a dish cloth.']",Gently dry the dishes with a dish cloth.,1
7,0.875,"['Scrape off any large chunks of food from the plate.', 'Submerge the dishes in warm water.', 'Add dish soap to the warm water.', 'Let the dishes soak for about 15-30 mins.', 'Scrub the dishes to make sure no food is sticking to them.', 'Rinse the dishes under water to clean off the soap and any other food particles.', 'Gently dry the dishes with a dish cloth.']","['Leave the dishes on the counter on top of the cloth (or on a dish rack) to dry', 'Add dish soap to the warm water.']",Leave the dishes on the counter on top of the cloth (or on a dish rack) to dry,0
0,0.0,[],"['Get dirty dishes', 'Put dishes in the sink']",Get dirty dishes,0
1,0.14285714285714285,['Get dirty dishes'],"['Put dishes in the sink', 'Put dishes in the sink']",Put dishes in the sink,0
2,0.2857142857142857,"['Get dirty dishes', 'Put dishes in the sink']","['Plug the drain of sink', 'Use sponge to wash dishes']",Plug the drain of sink,0
3,0.42857142857142855,"['Get dirty dishes', 'Put dishes in the sink', 'Plug the drain of sink']","['Rinse dishes off', 'Fill sink with water and dish soap']",Fill sink with water and dish soap,1
4,0.5714285714285714,"['Get dirty dishes', 'Put dishes in the sink', 'Plug the drain of sink', 'Fill sink with water and dish soap']","['Use sponge to wash dishes', 'Get dirty dishes']",Use sponge to wash dishes,0
5,0.7142857142857143,"['Get dirty dishes', 'Put dishes in the sink', 'Plug the drain of sink', 'Fill sink with water and dish soap', 'Use sponge to wash dishes']","['Rinse dishes off', 'Put dishes in the sink']",Rinse dishes off,0
6,0.8571428571428571,"['Get dirty dishes', 'Put dishes in the sink', 'Plug the drain of sink', 'Fill sink with water and dish soap', 'Use sponge to wash dishes', 'Rinse dishes off']","['Place dishes in rack to dry', 'Fill sink with water and dish soap']",Place dishes in rack to dry,0
0,0.0,[],"['Fill the sink with water and soap', 'Scrape dishes']",Scrape dishes,1
1,0.14285714285714285,['Scrape dishes'],"['Get a washcloth', 'Fill the sink with water and soap']",Fill the sink with water and soap,1
2,0.2857142857142857,"['Scrape dishes', 'Fill the sink with water and soap']","['Get a washcloth', 'Rinse each dish']",Get a washcloth,0
3,0.42857142857142855,"['Scrape dishes', 'Fill the sink with water and soap', 'Get a washcloth']","['Wash each dish', 'Let dry']",Wash each dish,0
4,0.5714285714285714,"['Scrape dishes', 'Fill the sink with water and soap', 'Get a washcloth', 'Wash each dish']","['Rinse each dish', 'Fill the sink with water and soap']",Rinse each dish,0
5,0.7142857142857143,"['Scrape dishes', 'Fill the sink with water and soap', 'Get a washcloth', 'Wash each dish', 'Rinse each dish']","['Get a washcloth', 'Let dry']",Let dry,1
6,0.8571428571428571,"['Scrape dishes', 'Fill the sink with water and soap', 'Get a washcloth', 'Wash each dish', 'Rinse each dish', 'Let dry']","['Scrape dishes', 'Put dishes away when dry']",Put dishes away when dry,1
0,0.0,[],"['place clean dishes in rack to air dry', 'take dirty dishes to sink']",take dirty dishes to sink,1
1,0.16666666666666666,['take dirty dishes to sink'],"['run warm water into sink', 'rinse dishes']",run warm water into sink,0
2,0.3333333333333333,"['take dirty dishes to sink', 'run warm water into sink']","['place clean dishes in rack to air dry', 'add soap']",add soap,1
3,0.5,"['take dirty dishes to sink', 'run warm water into sink', 'add soap']","['place clean dishes in rack to air dry', 'scrub dishes with scrubber to remove food stains']",scrub dishes with scrubber to remove food stains,1
4,0.6666666666666666,"['take dirty dishes to sink', 'run warm water into sink', 'add soap', 'scrub dishes with scrubber to remove food stains']","['take dirty dishes to sink', 'rinse dishes']",rinse dishes,1
5,0.8333333333333334,"['take dirty dishes to sink', 'run warm water into sink', 'add soap', 'scrub dishes with scrubber to remove food stains', 'rinse dishes']","['place clean dishes in rack to air dry', 'add soap']",place clean dishes in rack to air dry,0
0,0.0,[],"['Scrub dish with soapy sponge', 'Turn on water']",Turn on water,1
1,0.125,['Turn on water'],"['Scrub dish with soapy sponge', 'Add soap to water']",Add soap to water,1
2,0.25,"['Turn on water', 'Add soap to water']","['Wet sponge', 'Scrub dish with soapy sponge']",Wet sponge,0
3,0.375,"['Turn on water', 'Add soap to water', 'Wet sponge']","['Pick up dirty dish', 'Turn on water']",Pick up dirty dish,0
4,0.5,"['Turn on water', 'Add soap to water', 'Wet sponge', 'Pick up dirty dish']","['Scrub dish with soapy sponge', 'Repeat for all dishes']",Scrub dish with soapy sponge,0
5,0.625,"['Turn on water', 'Add soap to water', 'Wet sponge', 'Pick up dirty dish', 'Scrub dish with soapy sponge']","['Rinse soap off dish', 'Wet sponge']",Rinse soap off dish,0
6,0.75,"['Turn on water', 'Add soap to water', 'Wet sponge', 'Pick up dirty dish', 'Scrub dish with soapy sponge', 'Rinse soap off dish']","['Place dish in holder to dry', 'Turn on water']",Place dish in holder to dry,0
7,0.875,"['Turn on water', 'Add soap to water', 'Wet sponge', 'Pick up dirty dish', 'Scrub dish with soapy sponge', 'Rinse soap off dish', 'Place dish in holder to dry']","['Repeat for all dishes', 'Turn on water']",Repeat for all dishes,0
0,0.0,[],"['Drain sink', 'Put dirty dishes in sink']",Put dirty dishes in sink,1
1,0.125,['Put dirty dishes in sink'],"['Put soap on dishes', 'Turn on water']",Turn on water,1
2,0.25,"['Put dirty dishes in sink', 'Turn on water']","['Scrub dishes', 'Fill sink with water']",Fill sink with water,1
3,0.375,"['Put dirty dishes in sink', 'Turn on water', 'Fill sink with water']","['Put soap on dishes', 'Rinse dishes']",Put soap on dishes,0
4,0.5,"['Put dirty dishes in sink', 'Turn on water', 'Fill sink with water', 'Put soap on dishes']","['Turn on water', 'Scrub dishes']",Scrub dishes,1
5,0.625,"['Put dirty dishes in sink', 'Turn on water', 'Fill sink with water', 'Put soap on dishes', 'Scrub dishes']","['Drain sink', 'Get towel']",Drain sink,0
6,0.75,"['Put dirty dishes in sink', 'Turn on water', 'Fill sink with water', 'Put soap on dishes', 'Scrub dishes', 'Drain sink']","['Put soap on dishes', 'Rinse dishes']",Rinse dishes,1
7,0.875,"['Put dirty dishes in sink', 'Turn on water', 'Fill sink with water', 'Put soap on dishes', 'Scrub dishes', 'Drain sink', 'Rinse dishes']","['Get towel', 'Put dirty dishes in sink']",Get towel,0
0,0.0,[],"['Get a scouring pad', 'Clean all the dishes in the sink']",Get a scouring pad,0
1,0.2,['Get a scouring pad'],"['Use the scouring pad too clean the plates', 'Get the dish-washing liquid']",Get the dish-washing liquid,1
2,0.4,"['Get a scouring pad', 'Get the dish-washing liquid']","['Pour the dish-washing liquid into the scouring pad', 'Clean all the dishes in the sink']",Pour the dish-washing liquid into the scouring pad,0
3,0.6,"['Get a scouring pad', 'Get the dish-washing liquid', 'Pour the dish-washing liquid into the scouring pad']","['Get a scouring pad', 'Use the scouring pad too clean the plates']",Use the scouring pad too clean the plates,1
4,0.8,"['Get a scouring pad', 'Get the dish-washing liquid', 'Pour the dish-washing liquid into the scouring pad', 'Use the scouring pad too clean the plates']","['Clean all the dishes in the sink', 'Get a scouring pad']",Clean all the dishes in the sink,0
0,0.0,[],"['Go to sink', 'Go to sink']",Go to sink,1
1,0.125,['Go to sink'],"['Add soap', 'Get soap']",Get soap,1
2,0.25,"['Go to sink', 'Get soap']","['Get rag', 'Add soap']",Get rag,0
3,0.375,"['Go to sink', 'Get soap', 'Get rag']","['Wash all of the dishes', 'Turn on water to fill sink']",Turn on water to fill sink,1
4,0.5,"['Go to sink', 'Get soap', 'Get rag', 'Turn on water to fill sink']","['Get soap', 'Add soap']",Add soap,1
5,0.625,"['Go to sink', 'Get soap', 'Get rag', 'Turn on water to fill sink', 'Add soap']","['Rinse and wipe', 'Wash all of the dishes']",Wash all of the dishes,1
6,0.75,"['Go to sink', 'Get soap', 'Get rag', 'Turn on water to fill sink', 'Add soap', 'Wash all of the dishes']","['Turn on water to fill sink', 'Drain water']",Drain water,1
7,0.875,"['Go to sink', 'Get soap', 'Get rag', 'Turn on water to fill sink', 'Add soap', 'Wash all of the dishes', 'Drain water']","['Rinse and wipe', 'Get soap']",Rinse and wipe,0
0,0.0,[],"['Take the dish washing sponge', 'Put the oiled dishes in the sink']",Put the oiled dishes in the sink,1
1,0.125,['Put the oiled dishes in the sink'],"['Take dish washer', 'Fill the other sink with water']",Fill the other sink with water,1
2,0.25,"['Put the oiled dishes in the sink', 'Fill the other sink with water']","['Take dish washer', 'Soak it with dish washer']",Take dish washer,0
3,0.375,"['Put the oiled dishes in the sink', 'Fill the other sink with water', 'Take dish washer']","['Put the washed dishes in drying rack', 'Take the dish washing sponge']",Take the dish washing sponge,1
4,0.5,"['Put the oiled dishes in the sink', 'Fill the other sink with water', 'Take dish washer', 'Take the dish washing sponge']","['Put the washed dishes in drying rack', 'Soak it with dish washer']",Soak it with dish washer,1
5,0.625,"['Put the oiled dishes in the sink', 'Fill the other sink with water', 'Take dish washer', 'Take the dish washing sponge', 'Soak it with dish washer']","['Take dish washer', 'Rub the oiled dishes']",Rub the oiled dishes,1
6,0.75,"['Put the oiled dishes in the sink', 'Fill the other sink with water', 'Take dish washer', 'Take the dish washing sponge', 'Soak it with dish washer', 'Rub the oiled dishes']","['Fill the other sink with water', 'Rinse the dishes']",Rinse the dishes,1
7,0.875,"['Put the oiled dishes in the sink', 'Fill the other sink with water', 'Take dish washer', 'Take the dish washing sponge', 'Soak it with dish washer', 'Rub the oiled dishes', 'Rinse the dishes']","['Take dish washer', 'Put the washed dishes in drying rack']",Put the washed dishes in drying rack,1
0,0.0,[],"['draw warm water', 'draw warm water']",draw warm water,0
1,0.16666666666666666,['draw warm water'],"['add dish soap', 'towel dry']",add dish soap,0
2,0.3333333333333333,"['draw warm water', 'add dish soap']","['for each dish, dip in soapy water', 'rinse under running water']","for each dish, dip in soapy water",0
3,0.5,"['draw warm water', 'add dish soap', 'for each dish, dip in soapy water']","['towel dry', 'scrub with sponge']",scrub with sponge,1
4,0.6666666666666666,"['draw warm water', 'add dish soap', 'for each dish, dip in soapy water', 'scrub with sponge']","['rinse under running water', 'add dish soap']",rinse under running water,0
5,0.8333333333333334,"['draw warm water', 'add dish soap', 'for each dish, dip in soapy water', 'scrub with sponge', 'rinse under running water']","['towel dry', 'add dish soap']",towel dry,0
0,0.0,[],"['Put dirty dishes in sink', 'Rinse dishes off with clean water']",Put dirty dishes in sink,0
1,0.125,['Put dirty dishes in sink'],"['Retrieve sponge', 'Moisten sponge']",Retrieve sponge,0
2,0.25,"['Put dirty dishes in sink', 'Retrieve sponge']","['Squirt dish soap on sponge', 'Moisten sponge']",Squirt dish soap on sponge,0
3,0.375,"['Put dirty dishes in sink', 'Retrieve sponge', 'Squirt dish soap on sponge']","['Turn on water', 'Put dirty dishes in sink']",Turn on water,0
4,0.5,"['Put dirty dishes in sink', 'Retrieve sponge', 'Squirt dish soap on sponge', 'Turn on water']","['Moisten sponge', 'Rinse dishes off with clean water']",Moisten sponge,0
5,0.625,"['Put dirty dishes in sink', 'Retrieve sponge', 'Squirt dish soap on sponge', 'Turn on water', 'Moisten sponge']","['Rinse sponge', 'Scrub dishes']",Scrub dishes,1
6,0.75,"['Put dirty dishes in sink', 'Retrieve sponge', 'Squirt dish soap on sponge', 'Turn on water', 'Moisten sponge', 'Scrub dishes']","['Rinse dishes off with clean water', 'Turn on water']",Rinse dishes off with clean water,0
7,0.875,"['Put dirty dishes in sink', 'Retrieve sponge', 'Squirt dish soap on sponge', 'Turn on water', 'Moisten sponge', 'Scrub dishes', 'Rinse dishes off with clean water']","['Turn on water', 'Rinse sponge']",Rinse sponge,1
0,0.0,[],"['Grab dirty dishes', 'Put soap on dishes']",Grab dirty dishes,0
1,0.16666666666666666,['Grab dirty dishes'],"['Place dishes in sink', 'Grab dirty dishes']",Place dishes in sink,0
2,0.3333333333333333,"['Grab dirty dishes', 'Place dishes in sink']","['Dry dishes with a towel', 'Turn on water']",Turn on water,1
3,0.5,"['Grab dirty dishes', 'Place dishes in sink', 'Turn on water']","['Dry dishes with a towel', 'Put soap on dishes']",Put soap on dishes,1
4,0.6666666666666666,"['Grab dirty dishes', 'Place dishes in sink', 'Turn on water', 'Put soap on dishes']","['Place dishes in sink', 'Scrub dishes with a sponge']",Scrub dishes with a sponge,1
5,0.8333333333333334,"['Grab dirty dishes', 'Place dishes in sink', 'Turn on water', 'Put soap on dishes', 'Scrub dishes with a sponge']","['Grab dirty dishes', 'Dry dishes with a towel']",Dry dishes with a towel,1
0,0.0,[],"['Get a container large enough for dishes of hot water', 'Put all dishes in the container']",Get a container large enough for dishes of hot water,0
1,0.16666666666666666,['Get a container large enough for dishes of hot water'],"['Put dishes in drying rack', 'Add soap']",Add soap,1
2,0.3333333333333333,"['Get a container large enough for dishes of hot water', 'Add soap']","['Put all dishes in the container', 'Rinse off soap']",Put all dishes in the container,0
3,0.5,"['Get a container large enough for dishes of hot water', 'Add soap', 'Put all dishes in the container']","['Scrub all the stuck on stuff off dishes', 'Put dishes in drying rack']",Scrub all the stuck on stuff off dishes,0
4,0.6666666666666666,"['Get a container large enough for dishes of hot water', 'Add soap', 'Put all dishes in the container', 'Scrub all the stuck on stuff off dishes']","['Get a container large enough for dishes of hot water', 'Rinse off soap']",Rinse off soap,1
5,0.8333333333333334,"['Get a container large enough for dishes of hot water', 'Add soap', 'Put all dishes in the container', 'Scrub all the stuck on stuff off dishes', 'Rinse off soap']","['Put dishes in drying rack', 'Put all dishes in the container']",Put dishes in drying rack,0
0,0.0,[],"['We clean all the dirtier items', 'Please help me to give the dishwasher']",Please help me to give the dishwasher,1
1,0.16666666666666666,['Please help me to give the dishwasher'],"['Fill the sink with the hot water', 'Fill the sink with the hot water']",Fill the sink with the hot water,1
2,0.3333333333333333,"['Please help me to give the dishwasher', 'Fill the sink with the hot water']","['Sock pots and pans', 'Pour more water to clean all the dishes']",Sock pots and pans,0
3,0.5,"['Please help me to give the dishwasher', 'Fill the sink with the hot water', 'Sock pots and pans']","['Please come and help me to dry the dishes', 'Pour more water to clean all the dishes']",Please come and help me to dry the dishes,0
4,0.6666666666666666,"['Please help me to give the dishwasher', 'Fill the sink with the hot water', 'Sock pots and pans', 'Please come and help me to dry the dishes']","['We clean all the dirtier items', 'Please help me to give the dishwasher']",We clean all the dirtier items,0
5,0.8333333333333334,"['Please help me to give the dishwasher', 'Fill the sink with the hot water', 'Sock pots and pans', 'Please come and help me to dry the dishes', 'We clean all the dirtier items']","['Sock pots and pans', 'Pour more water to clean all the dishes']",Pour more water to clean all the dishes,1
0,0.0,[],"['Add dish soap', 'Get dish soap']",Get dish soap,1
1,0.125,['Get dish soap'],"['Use towels to clean dishes', 'Get dish towels']",Get dish towels,1
2,0.25,"['Get dish soap', 'Get dish towels']","['Place dishes in hot water', 'Run hot water']",Run hot water,1
3,0.375,"['Get dish soap', 'Get dish towels', 'Run hot water']","['Use towels to clean dishes', 'Add dish soap']",Add dish soap,1
4,0.5,"['Get dish soap', 'Get dish towels', 'Run hot water', 'Add dish soap']","['Place dishes in hot water', 'Get dish soap']",Place dishes in hot water,0
5,0.625,"['Get dish soap', 'Get dish towels', 'Run hot water', 'Add dish soap', 'Place dishes in hot water']","['Get dish towels', 'Use towels to clean dishes']",Use towels to clean dishes,1
6,0.75,"['Get dish soap', 'Get dish towels', 'Run hot water', 'Add dish soap', 'Place dishes in hot water', 'Use towels to clean dishes']","['Add dish soap', 'Rinse with water from faucet']",Rinse with water from faucet,1
7,0.875,"['Get dish soap', 'Get dish towels', 'Run hot water', 'Add dish soap', 'Place dishes in hot water', 'Use towels to clean dishes', 'Rinse with water from faucet']","[' Place on dry rack', 'Get dish towels']", Place on dry rack,0
0,0.0,[],"['Wipe the dishes for dry with a dry cloth.', 'Washing dishes is a major work done in houses, restaurant and all eatable place.']","Washing dishes is a major work done in houses, restaurant and all eatable place.",1
1,0.125,"['Washing dishes is a major work done in houses, restaurant and all eatable place.']","['On account of the dishes to be cleaned take enough liquid.', 'First take cleaning liquid in a bowl.']",First take cleaning liquid in a bowl.,1
2,0.25,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.']","['On account of the dishes to be cleaned take enough liquid.', 'Then take each and every dish clean with spongy filled with cleaning liquid.']",On account of the dishes to be cleaned take enough liquid.,0
3,0.375,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.', 'On account of the dishes to be cleaned take enough liquid.']","['Arrange all the dishes in the stand or preferred place', 'First pour some water on the dishes so that food particles etc., will run off.']","First pour some water on the dishes so that food particles etc., will run off.",1
4,0.5,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.', 'On account of the dishes to be cleaned take enough liquid.', 'First pour some water on the dishes so that food particles etc., will run off.']","['Then take each and every dish clean with spongy filled with cleaning liquid.', 'Washing dishes is a major work done in houses, restaurant and all eatable place.']",Then take each and every dish clean with spongy filled with cleaning liquid.,0
5,0.625,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.', 'On account of the dishes to be cleaned take enough liquid.', 'First pour some water on the dishes so that food particles etc., will run off.', 'Then take each and every dish clean with spongy filled with cleaning liquid.']","['Wash the dish till cleaning liquid goes.', 'First take cleaning liquid in a bowl.']",Wash the dish till cleaning liquid goes.,0
6,0.75,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.', 'On account of the dishes to be cleaned take enough liquid.', 'First pour some water on the dishes so that food particles etc., will run off.', 'Then take each and every dish clean with spongy filled with cleaning liquid.', 'Wash the dish till cleaning liquid goes.']","['Wipe the dishes for dry with a dry cloth.', 'First pour some water on the dishes so that food particles etc., will run off.']",Wipe the dishes for dry with a dry cloth.,0
7,0.875,"['Washing dishes is a major work done in houses, restaurant and all eatable place.', 'First take cleaning liquid in a bowl.', 'On account of the dishes to be cleaned take enough liquid.', 'First pour some water on the dishes so that food particles etc., will run off.', 'Then take each and every dish clean with spongy filled with cleaning liquid.', 'Wash the dish till cleaning liquid goes.', 'Wipe the dishes for dry with a dry cloth.']","['First take cleaning liquid in a bowl.', 'Arrange all the dishes in the stand or preferred place']",Arrange all the dishes in the stand or preferred place,1
0,0.0,[],"['scrap off any food', 'put dishes in sink']",put dishes in sink,1
1,0.14285714285714285,['put dishes in sink'],"['scrap off any food', 'scrap off any food']",scrap off any food,1
