,0,1,2,3,4,5,6,7
2_0,Buy a ticket from counter.,Go to the train station.,Confirm your ticket with an employee.,Wait for your train to be announced.,Wait in line to board train.,Put carry on luggage in overhead bin.,Sit down.,"When your destination is called, get off train."
2_1,Go to train station,Check train schedules,Go to counter,Pay for ticket,Wait for train to arrive,Get on the train,Take a seat,Arrive at destination
2_2,Determine a location to go to by train.,Locate a train schedule,Purchase ticket(s) for train,Secure transportation to the train station,Use transportation to train station.,Ensure transportation is secured in lot.,Enter train station through front gate.,Pray your train is on schedule
2_4,going to the train station,buying a ticket,waiting on train platform for train,getting into train when arrives,taking a seat,,,
2_5,Go to train station,Buy ticket,Wait for train,Get on train,Sit down,Wait for stop,Get off train,
2_6,Book train tickets,Pack necessary luggage,Go to train station,Get on train,Depart when you arrive,,,
2_7,Decide where to go on a train,Purchase ticket for the destination station,Go to the platform where the train is expected,"When train arrives, ride up the train compartment as per ticket",Look for the seat number as in ticket,Keep bag under the seat,Sit on the seat,Relax or read favorite magazine
2_9,Drive to train station,Park car,Get out of car,Walk to ticket counter,Buy ticket,Wait for train to arrive,Board train,
2_10,Get a ticket for the train,Go to the train station,Wait for your train to pull up to station,Get on train,Show the ticket checker your ticket,Wait till your stop,Get off train at your stop,
2_12,Purchase train ticket,Look on schedule board for departure information,Go to the assigned track,board train when it arrives,show conductor ticket,find a seat,ride train,"when train reaches destination, exit train"
2_13,Call and check departure time,Go to train station,Pay for your ticket,get on the train,enjoy the ride,,,
2_14,Purchase train ticket for destination,Go to train station a few minutes before scheduled departure,Find rail for your train,Give ticket to attendant,Board train and be seated,,,
2_15,Go to train station.,Buy ticket at ticket window.,Go on platform.,"When train arrives, board a car.",Find an empty seat.,Relax.,Wait for correct stop.,
2_16,Wait at station,Retrieve ticket from machine,Train arrives,Get on train,Swipe ticket,Ride train,Get off at destination,
2_17,Go to the railway station,Stand in queue in front of a ticket counter and wait,Buy ticket to the travel destination,Go to the platform where the train arrives,Upon arrival get into the compartment,Find a vacant window seat,Enjoy the outside sceneries while on the move,De-train upon reaching the destination
2_18,Look up train information online,Purchase tickets from ticket window,Go to the train station,Show ticket pass,Board train,,,
2_19,Drive to the train station.,Buy a train ticket.,Go to the correct train platform.,Wait for the train to arrive.,Walk onto the train.,Hand the attendant your ticket.,,
2_20,Go to train station,Choose a destination,Buy ticket,Wait for train,Get in train,Arrive at destination,,
2_21,Enter train station,Buy train ticket,Wait for train,Train arrives,Enter train,Find a seat,Hand ticket to ticket taker,Enjoy train ride
2_22,decide the route you want take,go to station,purchase tickets,wait for train at the platform,get on train,find a seat,give ticket to conductor,enjoy the view
2_25,purchase a ticket,wait for the train at the platform,"when train arrives, board train",give ticket to steward when asked,choose a seat,wait patiently while the train travels,leave train,
2_26,Drive to train station.,Purchase train tickets.,Wait for train to arrive.,Board train and choose a seat.,Sit back and relax.,Get off at your correct stop.,,
2_27,Get to station,Enter into the railway station,Wait in line,Get to ticket booth,Purchase ticket,Leave to designated area,Wait for train,Board train when it arrives
2_28,Walk to the subway.,Get in line.,Pay for train ticket.,Walk through roundabout.,Wait for train.,Get on train.,,
2_29,Get dressed.,Go to the car.,Drive to the train station,Pay for the ticket,Wait for the train,Board train,,
2_30,Go to station,Buy a ticket at the window,Wait on platform for train,Get on train,Find a seat,Give ticket to conductor,Ride and enjoy the countryside,Arrive
2_31,drive to train station,buy ticket,wait for train,wait ,give conductor ticket,find a seat,sit down,arrive at destination
2_32,arrive train station,wait for train,enter train,find seat,enjoy ride,,,
2_33,Enter the train station,Get tickets from ticket counter,find out what platform the train will be on,walk to the train platform,wait until time to board train,step up to train,hand your ticket to the conductor,get on train.
2_34,get dress and go to train station,go to ticket window,tell the clerk where you want to travel to,pay the clerk for ticket,wait for boarding time for train,get on the train and enjoy,,
2_35,First you have to plan where you want to go.,"Then, you have to buy your ticket.","Then, you have to buy your ticket.",You have to pack your bags and go to train station.,"Next, you check in and wait to board your plane.",You board your train and find your seat.,You ride the train to your destination.,"If you're going on a long trip, you may receive a meal."
2_36,Packing/Gathering luggage.,Gathering ticket and required identification.,Driving to the train station.,Giving ticket to conductor/ticket taker.,Board the train.,Relax while you reach your destination.,,
2_37,Drive to station,Park at station,Walk into station,Purchase train tickets,Walk to correct platform,Wait for train,Enter train,Find correct seat
2_38,Find the nearest train station,Look at all the times and pick a destination,Pay for the ticket at the ticket counter,Board the train,Enjoy the ride on the train,,,
2_39,Go to train station.,Buy ticket.,Wait in line to board.,Board train.,Sit down and ride.,,,
2_40,get to train stop,buy pass,get on train,find seat,ride to your stop,get off train,,
2_41,Obtain train ticket,Drive to train station,Show receptionist train ticket,Get on train,Find a seat,Place luggage down,Arrive at destination,Get off train
2_42,Purchase train ticket.,Pack clothes.,Get a snack for the train ride.,Go to train station.,Board train.,Give ticket to conductor.,Find a seat.,Wait until you reach your destination.
2_43,Check train schedule,Purchase ticket,Give ticket to the attendant,Get on the correct train,Find a seat,Sit down and enjoy the ride,Get off at correct destination,
2_44,Buy ticket to train.,Give ticket to conductor.,Board train.,Find a seat.,Enjoy train ride.,Leave train at destination.,,
2_45,Go to station,Go to ticket office,Purchase ticket,Go to platform,Wait for train,"When train arrives, get on train",Find a seat,Wait until your station
2_46,wait at train stop,board correct train,find a seat or stand,listen to music or read etc while riding,look at window if you haven't seen the surroundings,exit train at correct stop,,
2_47,Pack bags,Go to train station,Purchase ticket,Get on train,Find seat,Sit and relax,Look out window,Order meal
2_48,go to train station,purchase tickets,wait for train,board train,ride train,arrive at destination,disembark train,
2_49,Go to the train station,Buy a ticket,Wait for my train,Get on my train,Go to my destination,,,
2_50,GET TO STATION,PURCHASE TICKET,CHECK TRAIN TIME,WAIT FOR TRAIN TO ARRIVE,BOARD TRAIN,FIND SEAT,SIT DOWN,
2_51,go to train station,buy ticket,wait for train,get on train,sit,wait until train reaches destination,get off train,repeat for return trip if needed
2_52,Go to the train station,sit or stand and wait for your train,"when the train comes , get up and enter the train",sit down,wait for attendant to walk by and pay for your ticket,enjoy train ride,get off at destination,
2_53,Arrive at the station.,Purchase ticket.,Wait on platform.,Board train.,Enjoy the journey.,,,
2_54,Plan your train trip.,Go to the station.,Purchase your train ticket.,Find the correct platform.,Wait for your train to arrive.,Enter the appropriate train car.,Find your seat or compartment.,Enjoy the train trip.
2_55,Check train schedule for departure time,Arrive at train station,Buy ticket for train,Present ticket to clerk,Board train,Find correct seat,Enjoy train ride,Leave train
2_56,drive to train station,look at schedule on monitor,choose destination,go to attendant and buy ticket,walk to loading station,await for train to arrive,"when train arrives, present ticket to employee",board train
2_57,Go to train station,Buy train ticket,Wait for train to arrive,Get onto train,Find seat,Wait for person to come take your ticket,Sit on train until you reach destination,Get off of train
2_58,Go to train station,Get train ticket,Go to train platform,Wait for train,"When train arrives, let people get off train first",Get on train,Find a seat,Sit
2_59,Go online to check prices.,Buy a ticket.,Pack luggage.,Go to the train station.,Board the train.,,,
2_60,Go to train station,Walk up to ticket counter,Purchase a ticket for your destination,Walk to train platform,Wait for train to arrive,Board train,Find unoccupied seat,Sit in the seat
2_61,Go to train station.,Buy a ticket from attendant.,Check bags.,Walk to train.,Hand attendant your ticket.,Get on train.,Look for your seat.,Sit down.
2_62,pack clothes inside suitcase,arrive to train station,check in main desk to see what time it will arrive,wait for train,walk into train,show tickets to employees,relax train ride,
2_63,Check the train schedule,Go to the railway station,Purchase a ticket for the journey,Check the display for platform number,Go to the right platform,Board the train,Sit on your seat as per the ticket,Get down at the destination
2_64,Go to the train station.,Purchase a ticket to your destination.,Inquire where they want you to put your baggage.,Give your ticket to the conductor.,Board the train.,Find your seat.,Enjoy the trip.,
2_66,Fix the place,Go to railway station,Get your ticket,Pay the fare,Check the platform number and arrival time,Go to the platform,Wait for train,Get on the train
2_67,book the train ticket,go to the train station,board the train,find your compartment,go and sit on your seat,,,
2_68,Go to train station,Buy ticket,Board train,find your seat,enjoy the ride,,,
2_69,Arrive at train station/ depot,Purchase ticket for destination desired,Wait for train arrival,Wait for arriving passengers to get off train,Prepare any items taking on train,Get ticket ready,Present ticket to tickettaker,Get on train
2_70,Pack luggage (if necessary),Go to train station,Buy tickets,Wait for train to arrive,Give luggage to porter,Get on train when instructed,"Sit in assigned seat, or select seat",Travel to destination
2_71,Book the tickets for your journey,Board the train,Secure your luggage in the racks,Take your seat,Get down at your destination,,,
