task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['be unhappy with your food', 'explain the problem to the waiter']",be unhappy with your food,0
1,0.16666666666666666,['be unhappy with your food'],"['ask for new food', 'call the waiter']",call the waiter,1
2,0.3333333333333333,"['be unhappy with your food', 'call the waiter']","['waiter returns with new food', 'explain the problem to the waiter']",explain the problem to the waiter,1
3,0.5,"['be unhappy with your food', 'call the waiter', 'explain the problem to the waiter']","['be unhappy with your food', 'ask for new food']",ask for new food,1
4,0.6666666666666666,"['be unhappy with your food', 'call the waiter', 'explain the problem to the waiter', 'ask for new food']","['waiter takes your food', 'call the waiter']",waiter takes your food,0
5,0.8333333333333334,"['be unhappy with your food', 'call the waiter', 'explain the problem to the waiter', 'ask for new food', 'waiter takes your food']","['call the waiter', 'waiter returns with new food']",waiter returns with new food,1
0,0.0,[],"[""Get the waiter's attention"", 'Tell the waiter that you want him to take your dish back and correct it']",Get the waiter's attention,0
1,0.16666666666666666,"[""Get the waiter's attention""]","[""Get the waiter's attention"", 'When waiter comes to table tell him what is wrong with your food']",When waiter comes to table tell him what is wrong with your food,1
2,0.3333333333333333,"[""Get the waiter's attention"", 'When waiter comes to table tell him what is wrong with your food']","['Tell the waiter that you want him to take your dish back and correct it', 'When presented with your corrected food, inspect it']",Tell the waiter that you want him to take your dish back and correct it,0
3,0.5,"[""Get the waiter's attention"", 'When waiter comes to table tell him what is wrong with your food', 'Tell the waiter that you want him to take your dish back and correct it']","['Wait patiently until he returns with your corrected food item', ""Get the waiter's attention""]",Wait patiently until he returns with your corrected food item,0
4,0.6666666666666666,"[""Get the waiter's attention"", 'When waiter comes to table tell him what is wrong with your food', 'Tell the waiter that you want him to take your dish back and correct it', 'Wait patiently until he returns with your corrected food item']","['When waiter comes to table tell him what is wrong with your food', 'When presented with your corrected food, inspect it']","When presented with your corrected food, inspect it",1
