task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Going to the tennis court', 'Going to the tennis court']",Going to the tennis court,1
1,0.2,['Going to the tennis court'],"['Hitting ball to other player', 'Grabbing a racket ball']",Grabbing a racket ball,1
2,0.4,"['Going to the tennis court', 'Grabbing a racket ball']","['Serving ball with racket', 'Hitting ball when returned to you']",Serving ball with racket,0
3,0.6,"['Going to the tennis court', 'Grabbing a racket ball', 'Serving ball with racket']","['Going to the tennis court', 'Hitting ball to other player']",Hitting ball to other player,1
4,0.8,"['Going to the tennis court', 'Grabbing a racket ball', 'Serving ball with racket', 'Hitting ball to other player']","['Going to the tennis court', 'Hitting ball when returned to you']",Hitting ball when returned to you,1
0,0.0,[],"['Get two tennis racquets', 'Find a partner']",Get two tennis racquets,0
1,0.2,['Get two tennis racquets'],"['Get a tennis ball', 'Get a tennis ball']",Get a tennis ball,0
2,0.4,"['Get two tennis racquets', 'Get a tennis ball']","['Find a partner', 'Give your partner one racquet']",Find a partner,0
3,0.6,"['Get two tennis racquets', 'Get a tennis ball', 'Find a partner']","['Get two tennis racquets', 'Go to a tennis court']",Go to a tennis court,1
4,0.8,"['Get two tennis racquets', 'Get a tennis ball', 'Find a partner', 'Go to a tennis court']","['Get a tennis ball', 'Give your partner one racquet']",Give your partner one racquet,1
0,0.0,[],"['Grab racket', 'Go to tennis park']",Grab racket,0
1,0.2,['Grab racket'],"['Find a partner/call a partner', 'Grab balls']",Grab balls,1
2,0.4,"['Grab racket', 'Grab balls']","['Go to tennis park', 'Step on the court']",Go to tennis park,0
3,0.6,"['Grab racket', 'Grab balls', 'Go to tennis park']","['Grab racket', 'Find a partner/call a partner']",Find a partner/call a partner,1
4,0.8,"['Grab racket', 'Grab balls', 'Go to tennis park', 'Find a partner/call a partner']","['Step on the court', 'Grab racket']",Step on the court,0
0,0.0,[],"['Get the tennis racket and balls', 'Get the tennis racket and balls']",Get the tennis racket and balls,0
1,0.2,['Get the tennis racket and balls'],"['Go to the tennis court with a partner', 'Go to the tennis court with a partner']",Go to the tennis court with a partner,0
2,0.4,"['Get the tennis racket and balls', 'Go to the tennis court with a partner']","['Take one tennis ball and throw in the air', 'Put on tennis shoes']",Put on tennis shoes,1
3,0.6,"['Get the tennis racket and balls', 'Go to the tennis court with a partner', 'Put on tennis shoes']","['Get the tennis racket and balls', 'Take out the racket and balls']",Take out the racket and balls,1
4,0.8,"['Get the tennis racket and balls', 'Go to the tennis court with a partner', 'Put on tennis shoes', 'Take out the racket and balls']","['Take one tennis ball and throw in the air', 'Get the tennis racket and balls']",Take one tennis ball and throw in the air,0
0,0.0,[],"['Wear the sports dress', 'Wear the sports dress']",Wear the sports dress,1
1,0.2,['Wear the sports dress'],"['Wear the sports dress', 'Put on your shoes']",Put on your shoes,1
