task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Select an outfit (normally black).', 'Go to grave yard']",Select an outfit (normally black).,0
1,0.09090909090909091,['Select an outfit (normally black).'],"['Select specific attire for specific family', 'Come back saying good bye to his/her family']",Select specific attire for specific family,0
2,0.18181818181818182,"['Select an outfit (normally black).', 'Select specific attire for specific family']","['Go to grave yard', 'Go to the church']",Go to the church,1
3,0.2727272727272727,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church']","['Turn off cell and be calm', 'Come back saying good bye to his/her family']",Turn off cell and be calm,0
4,0.36363636363636365,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm']","['Sign the guest book( may differ in other cultures)', 'Select specific attire for specific family']",Sign the guest book( may differ in other cultures),0
5,0.45454545454545453,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)']","['Perform some words and offer a hug to whole family', 'Select specific attire for specific family']",Perform some words and offer a hug to whole family,0
6,0.5454545454545454,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)', 'Perform some words and offer a hug to whole family']","['Come back saying good bye to his/her family', 'Cry if you can']",Cry if you can,1
7,0.6363636363636364,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)', 'Perform some words and offer a hug to whole family', 'Cry if you can']","['Go to grave yard', 'Select specific attire for specific family']",Go to grave yard,0
8,0.7272727272727273,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)', 'Perform some words and offer a hug to whole family', 'Cry if you can', 'Go to grave yard']","['Stay there', ""Don't forget to call back""]",Stay there,0
9,0.8181818181818182,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)', 'Perform some words and offer a hug to whole family', 'Cry if you can', 'Go to grave yard', 'Stay there']","['Come back saying good bye to his/her family', 'Sign the guest book( may differ in other cultures)']",Come back saying good bye to his/her family,0
10,0.9090909090909091,"['Select an outfit (normally black).', 'Select specific attire for specific family', 'Go to the church', 'Turn off cell and be calm', 'Sign the guest book( may differ in other cultures)', 'Perform some words and offer a hug to whole family', 'Cry if you can', 'Go to grave yard', 'Stay there', 'Come back saying good bye to his/her family']","['Cry if you can', ""Don't forget to call back""]",Don't forget to call back,1
0,0.0,[],"['Get dressed in black clothing.', 'Enter chapel.']",Get dressed in black clothing.,0
1,0.125,['Get dressed in black clothing.'],"['Enter chapel.', 'Drive to funeral home.']",Drive to funeral home.,1
2,0.25,"['Get dressed in black clothing.', 'Drive to funeral home.']","['Talk with loved ones.', 'Enter chapel.']",Enter chapel.,1
3,0.375,"['Get dressed in black clothing.', 'Drive to funeral home.', 'Enter chapel.']","['Sit down.', 'Talk with loved ones.']",Sit down.,0
4,0.5,"['Get dressed in black clothing.', 'Drive to funeral home.', 'Enter chapel.', 'Sit down.']","['Listen to funeral service.', 'Get dressed in black clothing.']",Listen to funeral service.,0
5,0.625,"['Get dressed in black clothing.', 'Drive to funeral home.', 'Enter chapel.', 'Sit down.', 'Listen to funeral service.']","['View body.', 'Get dressed in black clothing.']",View body.,0
6,0.75,"['Get dressed in black clothing.', 'Drive to funeral home.', 'Enter chapel.', 'Sit down.', 'Listen to funeral service.', 'View body.']","['Talk with loved ones.', 'Drive to funeral home.']",Talk with loved ones.,0
7,0.875,"['Get dressed in black clothing.', 'Drive to funeral home.', 'Enter chapel.', 'Sit down.', 'Listen to funeral service.', 'View body.', 'Talk with loved ones.']","['Leave funeral.', 'Sit down.']",Leave funeral.,0
0,0.0,[],"['Dress in black clothes', 'Find a seat']",Dress in black clothes,0
1,0.09090909090909091,['Dress in black clothes'],"['Drive to location of funeral service', 'Listen quietly until service ends']",Drive to location of funeral service,0
2,0.18181818181818182,"['Dress in black clothes', 'Drive to location of funeral service']","['Enter building', 'Cry']",Enter building,0
3,0.2727272727272727,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building']","['Cry', 'Offer condolences to family']",Offer condolences to family,1
4,0.36363636363636365,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family']","['View body', 'Cry']",View body,0
5,0.45454545454545453,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body']","['Find a seat', 'Go home']",Find a seat,0
6,0.5454545454545454,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body', 'Find a seat']","['Listen quietly until service ends', 'Drive to location of funeral service']",Listen quietly until service ends,0
7,0.6363636363636364,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body', 'Find a seat', 'Listen quietly until service ends']","['Offer condolences to family', 'Follow funeral procession to cemetery']",Follow funeral procession to cemetery,1
8,0.7272727272727273,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body', 'Find a seat', 'Listen quietly until service ends', 'Follow funeral procession to cemetery']","['Watch casket be lowered into the ground', 'Go home']",Watch casket be lowered into the ground,0
9,0.8181818181818182,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body', 'Find a seat', 'Listen quietly until service ends', 'Follow funeral procession to cemetery', 'Watch casket be lowered into the ground']","['Cry', 'Enter building']",Cry,0
10,0.9090909090909091,"['Dress in black clothes', 'Drive to location of funeral service', 'Enter building', 'Offer condolences to family', 'View body', 'Find a seat', 'Listen quietly until service ends', 'Follow funeral procession to cemetery', 'Watch casket be lowered into the ground', 'Cry']","['Listen quietly until service ends', 'Go home']",Go home,1
0,0.0,[],"['find a seat and wait for the funeral to begin', 'get directions to funeral home  or church the day before funeral']",get directions to funeral home  or church the day before funeral,1
1,0.125,['get directions to funeral home  or church the day before funeral'],"['enter the funeral home or church', 'get dressed in formal clothing']",get dressed in formal clothing,1
2,0.25,"['get directions to funeral home  or church the day before funeral', 'get dressed in formal clothing']","['find a seat and wait for the funeral to begin', 'place an umbrella in your car in case of bad weather']",place an umbrella in your car in case of bad weather,1
3,0.375,"['get directions to funeral home  or church the day before funeral', 'get dressed in formal clothing', 'place an umbrella in your car in case of bad weather']","['plan to arrive at least 15 minutes before start of funeral', 'politely greet the family and friends of the deceased']",plan to arrive at least 15 minutes before start of funeral,0
4,0.5,"['get directions to funeral home  or church the day before funeral', 'get dressed in formal clothing', 'place an umbrella in your car in case of bad weather', 'plan to arrive at least 15 minutes before start of funeral']","['drive to funeral home or church', 'get directions to funeral home  or church the day before funeral']",drive to funeral home or church,0
