task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Walk into library', 'Walk into library']",Walk into library,1
1,0.16666666666666666,['Walk into library'],"['Find book on shelf', 'Hand book to librarian']",Find book on shelf,0
2,0.3333333333333333,"['Walk into library', 'Find book on shelf']","['Take book back from librarian', 'Walk to check out desk']",Walk to check out desk,1
3,0.5,"['Walk into library', 'Find book on shelf', 'Walk to check out desk']","['Hand book to librarian', 'Walk into library']",Hand book to librarian,0
4,0.6666666666666666,"['Walk into library', 'Find book on shelf', 'Walk to check out desk', 'Hand book to librarian']","['Walk into library', 'Take book back from librarian']",Take book back from librarian,1
5,0.8333333333333334,"['Walk into library', 'Find book on shelf', 'Walk to check out desk', 'Hand book to librarian', 'Take book back from librarian']","['Leave library with book', 'Walk to check out desk']",Leave library with book,0
0,0.0,[],"['go to the library', 'give your library card']",go to the library,0
1,0.16666666666666666,['go to the library'],"['receive the book back', 'find a book to borrow in the aisles or stacks']",find a book to borrow in the aisles or stacks,1
2,0.3333333333333333,"['go to the library', 'find a book to borrow in the aisles or stacks']","['bring the book to the front desk', 'receive the book back']",bring the book to the front desk,0
3,0.5,"['go to the library', 'find a book to borrow in the aisles or stacks', 'bring the book to the front desk']","['give the book to the librarian', 'go to the library']",give the book to the librarian,0
4,0.6666666666666666,"['go to the library', 'find a book to borrow in the aisles or stacks', 'bring the book to the front desk', 'give the book to the librarian']","['find a book to borrow in the aisles or stacks', 'give your library card']",give your library card,1
5,0.8333333333333334,"['go to the library', 'find a book to borrow in the aisles or stacks', 'bring the book to the front desk', 'give the book to the librarian', 'give your library card']","['receive the book back', 'find a book to borrow in the aisles or stacks']",receive the book back,0
0,0.0,[],"['Drive to the library.', 'Look through the books at library.']",Drive to the library.,0
1,0.2,['Drive to the library.'],"['Check out book at service desk.', 'Look through the books at library.']",Look through the books at library.,1
2,0.4,"['Drive to the library.', 'Look through the books at library.']","['Leave the library.', 'Check out book at service desk.']",Check out book at service desk.,1
3,0.6,"['Drive to the library.', 'Look through the books at library.', 'Check out book at service desk.']","['Note when to return the book.', 'Drive to the library.']",Note when to return the book.,0
4,0.8,"['Drive to the library.', 'Look through the books at library.', 'Check out book at service desk.', 'Note when to return the book.']","['Look through the books at library.', 'Leave the library.']",Leave the library.,1
0,0.0,[],"['Library card gets scanned', 'Find a book you like']",Find a book you like,1
1,0.16666666666666666,['Find a book you like'],"['Find a book you like', 'Take it to the check out desk']",Take it to the check out desk,1
2,0.3333333333333333,"['Find a book you like', 'Take it to the check out desk']","['Get library card back', 'Show your library card']",Show your library card,1
3,0.5,"['Find a book you like', 'Take it to the check out desk', 'Show your library card']","['Book gets scanned', 'Library card gets scanned']",Library card gets scanned,1
4,0.6666666666666666,"['Find a book you like', 'Take it to the check out desk', 'Show your library card', 'Library card gets scanned']","['Get library card back', 'Take it to the check out desk']",Get library card back,0
5,0.8333333333333334,"['Find a book you like', 'Take it to the check out desk', 'Show your library card', 'Library card gets scanned', 'Get library card back']","['Find a book you like', 'Book gets scanned']",Book gets scanned,1
0,0.0,[],"['get library card', 'walk to library']",get library card,0
1,0.16666666666666666,['get library card'],"['walk to book shelves', 'place card in pocket']",place card in pocket,1
2,0.3333333333333333,"['get library card', 'place card in pocket']","['walk to library', 'walk to book shelves']",walk to library,0
3,0.5,"['get library card', 'place card in pocket', 'walk to library']","['enter library', 'browse titles']",enter library,0
4,0.6666666666666666,"['get library card', 'place card in pocket', 'walk to library', 'enter library']","['get library card', 'walk to book shelves']",walk to book shelves,1
5,0.8333333333333334,"['get library card', 'place card in pocket', 'walk to library', 'enter library', 'walk to book shelves']","['place card in pocket', 'browse titles']",browse titles,1
0,0.0,[],"['Go to library', 'Browse books or look through index on computer']",Go to library,0
1,0.16666666666666666,['Go to library'],"['Wait for the clerk to check the books out to you', 'Browse books or look through index on computer']",Browse books or look through index on computer,1
2,0.3333333333333333,"['Go to library', 'Browse books or look through index on computer']","['Wait for the clerk to check the books out to you', 'Bring books up to front desk clerk']",Bring books up to front desk clerk,1
3,0.5,"['Go to library', 'Browse books or look through index on computer', 'Bring books up to front desk clerk']","['Go to library', 'Show your library card']",Show your library card,1
4,0.6666666666666666,"['Go to library', 'Browse books or look through index on computer', 'Bring books up to front desk clerk', 'Show your library card']","['Wait for the clerk to check the books out to you', 'Go to library']",Wait for the clerk to check the books out to you,0
5,0.8333333333333334,"['Go to library', 'Browse books or look through index on computer', 'Bring books up to front desk clerk', 'Show your library card', 'Wait for the clerk to check the books out to you']","['Take back your library card and books', 'Go to library']",Take back your library card and books,0
0,0.0,[],"['entering the library', 'picking a book']",entering the library,0
1,0.16666666666666666,['entering the library'],"['bringing book to circulation desk', 'looking through the shelves']",looking through the shelves,1
2,0.3333333333333333,"['entering the library', 'looking through the shelves']","['picking a book', 'checking book out']",picking a book,0
3,0.5,"['entering the library', 'looking through the shelves', 'picking a book']","['bringing book to circulation desk', 'checking book out']",bringing book to circulation desk,0
4,0.6666666666666666,"['entering the library', 'looking through the shelves', 'picking a book', 'bringing book to circulation desk']","['handing book and library card to librarian', 'entering the library']",handing book and library card to librarian,0
5,0.8333333333333334,"['entering the library', 'looking through the shelves', 'picking a book', 'bringing book to circulation desk', 'handing book and library card to librarian']","['checking book out', 'looking through the shelves']",checking book out,0
0,0.0,[],"['Find the local library', 'Find the local library']",Find the local library,0
1,0.16666666666666666,['Find the local library'],"['drive to the library', 'drive to the library']",drive to the library,1
2,0.3333333333333333,"['Find the local library', 'drive to the library']","['enter the library', 'ask for instructions']",enter the library,0
3,0.5,"['Find the local library', 'drive to the library', 'enter the library']","['get to know the library', 'get to know the librarian']",get to know the librarian,1
4,0.6666666666666666,"['Find the local library', 'drive to the library', 'enter the library', 'get to know the librarian']","['ask for instructions', 'Find the local library']",ask for instructions,0
5,0.8333333333333334,"['Find the local library', 'drive to the library', 'enter the library', 'get to know the librarian', 'ask for instructions']","['get to know the library', 'drive to the library']",get to know the library,0
0,0.0,[],"['Browse the books on the shelf', 'Go to the library']",Go to the library,1
1,0.16666666666666666,['Go to the library'],"['Browse the books on the shelf', 'Browse the books on the shelf']",Browse the books on the shelf,0
2,0.3333333333333333,"['Go to the library', 'Browse the books on the shelf']","['Give the librarian your library card', 'Select a book that you would like to read']",Select a book that you would like to read,1
3,0.5,"['Go to the library', 'Browse the books on the shelf', 'Select a book that you would like to read']","['Select other books that you like', 'Go to the library']",Select other books that you like,0
4,0.6666666666666666,"['Go to the library', 'Browse the books on the shelf', 'Select a book that you would like to read', 'Select other books that you like']","[""Go to the librarian's desk"", 'Go to the library']",Go to the librarian's desk,0
5,0.8333333333333334,"['Go to the library', 'Browse the books on the shelf', 'Select a book that you would like to read', 'Select other books that you like', ""Go to the librarian's desk""]","['Select a book that you would like to read', 'Give the librarian your library card']",Give the librarian your library card,1
0,0.0,[],"['Apply for a library card. (If you do not already have one.)', 'Find the book using the numbered system.']",Apply for a library card. (If you do not already have one.),0
