task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Give them your address.', 'Decide that you are hungry and are in the mood for a pizza.']",Decide that you are hungry and are in the mood for a pizza.,1
1,0.1111111111111111,['Decide that you are hungry and are in the mood for a pizza.'],"['Make sure that you have the money to pay for the pizza.', 'Decide that you are hungry and are in the mood for a pizza.']",Make sure that you have the money to pay for the pizza.,0
2,0.2222222222222222,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.']","['Specify the size and toppings you want.', 'Find a pizza restaurant that offers take-out.']",Find a pizza restaurant that offers take-out.,1
3,0.3333333333333333,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.']","['Call the pizza restaurant.', 'Give them your address.']",Call the pizza restaurant.,0
4,0.4444444444444444,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.', 'Call the pizza restaurant.']","[""Don't forget to tip!"", 'Specify the size and toppings you want.']",Specify the size and toppings you want.,1
5,0.5555555555555556,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.', 'Call the pizza restaurant.', 'Specify the size and toppings you want.']","['Give them your address.', 'Pay for the pizza.']",Give them your address.,0
6,0.6666666666666666,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.', 'Call the pizza restaurant.', 'Specify the size and toppings you want.', 'Give them your address.']","['Wait for the delivery man.', 'Find a pizza restaurant that offers take-out.']",Wait for the delivery man.,0
7,0.7777777777777778,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.', 'Call the pizza restaurant.', 'Specify the size and toppings you want.', 'Give them your address.', 'Wait for the delivery man.']","['Pay for the pizza.', 'Specify the size and toppings you want.']",Pay for the pizza.,0
8,0.8888888888888888,"['Decide that you are hungry and are in the mood for a pizza.', 'Make sure that you have the money to pay for the pizza.', 'Find a pizza restaurant that offers take-out.', 'Call the pizza restaurant.', 'Specify the size and toppings you want.', 'Give them your address.', 'Wait for the delivery man.', 'Pay for the pizza.']","['Make sure that you have the money to pay for the pizza.', ""Don't forget to tip!""]",Don't forget to tip!,1
0,0.0,[],"[""Go to the restaurant's website."", 'Pay the driver when he arrives.']",Go to the restaurant's website.,0
1,0.2,"[""Go to the restaurant's website.""]","['Order a pizza online.', 'Leave the driver a tip.']",Order a pizza online.,0
2,0.4,"[""Go to the restaurant's website."", 'Order a pizza online.']","['Wait for pizza to arrive.', 'Leave the driver a tip.']",Wait for pizza to arrive.,0
3,0.6,"[""Go to the restaurant's website."", 'Order a pizza online.', 'Wait for pizza to arrive.']","['Pay the driver when he arrives.', ""Go to the restaurant's website.""]",Pay the driver when he arrives.,0
4,0.8,"[""Go to the restaurant's website."", 'Order a pizza online.', 'Wait for pizza to arrive.', 'Pay the driver when he arrives.']","['Leave the driver a tip.', 'Order a pizza online.']",Leave the driver a tip.,0
0,0.0,[],"['Order the pizza', 'Pick out the kind of pizza you want']",Pick out the kind of pizza you want,1
1,0.14285714285714285,['Pick out the kind of pizza you want'],"['Call the pizza place', 'Answer the door']",Call the pizza place,0
2,0.2857142857142857,"['Pick out the kind of pizza you want', 'Call the pizza place']","['Order the pizza', 'Eat the pizza']",Order the pizza,0
3,0.42857142857142855,"['Pick out the kind of pizza you want', 'Call the pizza place', 'Order the pizza']","['Pick out the kind of pizza you want', 'Answer the door']",Answer the door,1
