task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Walk in the door', 'Walk in the door']",Walk in the door,0
1,0.09090909090909091,['Walk in the door'],"['Look at the menu', 'Look at the menu']",Look at the menu,0
2,0.18181818181818182,"['Walk in the door', 'Look at the menu']","['Fill your drink at the dispenser', 'Decide what you want']",Decide what you want,1
3,0.2727272727272727,"['Walk in the door', 'Look at the menu', 'Decide what you want']","['Order from the register', 'Get napkins and straw']",Order from the register,0
4,0.36363636363636365,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register']","['Look at the menu', 'Wait at the counter for your food']",Wait at the counter for your food,1
5,0.45454545454545453,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food']","['Get napkins and straw', 'Get your tray']",Get your tray,1
6,0.5454545454545454,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food', 'Get your tray']","['Fill your drink at the dispenser', 'Eat your food']",Fill your drink at the dispenser,0
7,0.6363636363636364,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food', 'Get your tray', 'Fill your drink at the dispenser']","['Get napkins and straw', 'Decide what you want']",Get napkins and straw,0
8,0.7272727272727273,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food', 'Get your tray', 'Fill your drink at the dispenser', 'Get napkins and straw']","['Pick a table', 'Order from the register']",Pick a table,0
9,0.8181818181818182,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food', 'Get your tray', 'Fill your drink at the dispenser', 'Get napkins and straw', 'Pick a table']","['Sit down', 'Wait at the counter for your food']",Sit down,0
10,0.9090909090909091,"['Walk in the door', 'Look at the menu', 'Decide what you want', 'Order from the register', 'Wait at the counter for your food', 'Get your tray', 'Fill your drink at the dispenser', 'Get napkins and straw', 'Pick a table', 'Sit down']","['Eat your food', 'Fill your drink at the dispenser']",Eat your food,0
0,0.0,[],"['Eat the meal.', 'Enter the restaurant.']",Enter the restaurant.,1
1,0.1111111111111111,['Enter the restaurant.'],"['Look over the menu.', 'Wait until order is ready.']",Look over the menu.,0
2,0.2222222222222222,"['Enter the restaurant.', 'Look over the menu.']","['Go to cashier and place order.', 'Wait until order is ready.']",Go to cashier and place order.,0
3,0.3333333333333333,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.']","['Leave the restaurant.', 'Pay for meal.']",Pay for meal.,1
4,0.4444444444444444,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.', 'Pay for meal.']","['Wait until order is ready.', 'Leave the restaurant.']",Wait until order is ready.,0
5,0.5555555555555556,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.', 'Pay for meal.', 'Wait until order is ready.']","['Leave the restaurant.', 'Pick up order.']",Pick up order.,1
6,0.6666666666666666,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.', 'Pay for meal.', 'Wait until order is ready.', 'Pick up order.']","['Find a table.', 'Pay for meal.']",Find a table.,0
7,0.7777777777777778,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.', 'Pay for meal.', 'Wait until order is ready.', 'Pick up order.', 'Find a table.']","['Look over the menu.', 'Eat the meal.']",Eat the meal.,1
8,0.8888888888888888,"['Enter the restaurant.', 'Look over the menu.', 'Go to cashier and place order.', 'Pay for meal.', 'Wait until order is ready.', 'Pick up order.', 'Find a table.', 'Eat the meal.']","['Pay for meal.', 'Leave the restaurant.']",Leave the restaurant.,1
0,0.0,[],"['ENTER INTO THE  FAST FOOD RESTAURANT', 'BURGER AND NOODLES IN THE ORDER']",ENTER INTO THE  FAST FOOD RESTAURANT,0
1,0.09090909090909091,['ENTER INTO THE  FAST FOOD RESTAURANT'],"['TIPS THE WAITER', 'FIND A SEAT']",FIND A SEAT,1
2,0.18181818181818182,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT']","['WAITER BRINGS THE MENU', 'PAY THE BILL']",WAITER BRINGS THE MENU,0
3,0.2727272727272727,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU']","['ORDER DRINK', 'SELECT ORDER FROM FAST FOOD']",SELECT ORDER FROM FAST FOOD,1
4,0.36363636363636365,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD']","['BURGER AND NOODLES IN THE ORDER', 'TIPS THE WAITER']",BURGER AND NOODLES IN THE ORDER,0
5,0.45454545454545453,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER']","['PAY THE BILL', 'ORDER DRINK']",ORDER DRINK,1
6,0.5454545454545454,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER', 'ORDER DRINK']","['TIPS THE WAITER', 'EAT AND DRINK']",EAT AND DRINK,1
7,0.6363636363636364,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER', 'ORDER DRINK', 'EAT AND DRINK']","['TIPS THE WAITER', 'WAITER BRINGS BILL']",WAITER BRINGS BILL,1
8,0.7272727272727273,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER', 'ORDER DRINK', 'EAT AND DRINK', 'WAITER BRINGS BILL']","['PAY THE BILL', 'TIPS THE WAITER']",PAY THE BILL,0
9,0.8181818181818182,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER', 'ORDER DRINK', 'EAT AND DRINK', 'WAITER BRINGS BILL', 'PAY THE BILL']","['ORDER DRINK', 'WAITER BRINGS RECEIPT']",WAITER BRINGS RECEIPT,1
10,0.9090909090909091,"['ENTER INTO THE  FAST FOOD RESTAURANT', 'FIND A SEAT', 'WAITER BRINGS THE MENU', 'SELECT ORDER FROM FAST FOOD', 'BURGER AND NOODLES IN THE ORDER', 'ORDER DRINK', 'EAT AND DRINK', 'WAITER BRINGS BILL', 'PAY THE BILL', 'WAITER BRINGS RECEIPT']","['WAITER BRINGS BILL', 'TIPS THE WAITER']",TIPS THE WAITER,1
0,0.0,[],"['sitting down with food', 'entering the restaurant']",entering the restaurant,1
1,0.125,['entering the restaurant'],"['entering the restaurant', 'ordering food']",ordering food,1
