task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Pour shampoo into hand', 'Remove clothing']",Remove clothing,1
1,0.1,['Remove clothing'],"['Hair is clean', 'Step into shower']",Step into shower,1
2,0.2,"['Remove clothing', 'Step into shower']","['Turn on water', 'Pour shampoo into hand']",Turn on water,0
3,0.3,"['Remove clothing', 'Step into shower', 'Turn on water']","['Remove clothing', 'Get hair and body wet']",Get hair and body wet,1
4,0.4,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet']","['Pour shampoo into hand', 'Hair is clean']",Pour shampoo into hand,0
5,0.5,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet', 'Pour shampoo into hand']","['Rinse shampoo out of hair', 'Lather shampoo into hair']",Lather shampoo into hair,1
6,0.6,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet', 'Pour shampoo into hand', 'Lather shampoo into hair']","['Massage shampoo into hair for at least a minute', 'Hair is clean']",Massage shampoo into hair for at least a minute,0
7,0.7,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet', 'Pour shampoo into hand', 'Lather shampoo into hair', 'Massage shampoo into hair for at least a minute']","['Hair is clean', 'Rinse shampoo out of hair']",Rinse shampoo out of hair,1
8,0.8,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet', 'Pour shampoo into hand', 'Lather shampoo into hair', 'Massage shampoo into hair for at least a minute', 'Rinse shampoo out of hair']","['Turn off water', 'Get hair and body wet']",Turn off water,0
9,0.9,"['Remove clothing', 'Step into shower', 'Turn on water', 'Get hair and body wet', 'Pour shampoo into hand', 'Lather shampoo into hair', 'Massage shampoo into hair for at least a minute', 'Rinse shampoo out of hair', 'Turn off water']","['Hair is clean', 'Turn on water']",Hair is clean,0
0,0.0,[],"['Scrub with shampoo', 'Get towel']",Get towel,1
1,0.1,['Get towel'],"['Rinse out', 'Get shampoo']",Get shampoo,1
2,0.2,"['Get towel', 'Get shampoo']","['Get conditioner', 'Towel dry hair']",Get conditioner,0
3,0.3,"['Get towel', 'Get shampoo', 'Get conditioner']","['Wet hair down in sink', 'Towel dry hair']",Wet hair down in sink,0
4,0.4,"['Get towel', 'Get shampoo', 'Get conditioner', 'Wet hair down in sink']","['Scrub with shampoo', 'Towel dry hair']",Scrub with shampoo,0
5,0.5,"['Get towel', 'Get shampoo', 'Get conditioner', 'Wet hair down in sink', 'Scrub with shampoo']","['Rinse hair', 'Towel dry hair']",Rinse hair,0
