task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['iron one side of the piece of laundry', 'get wrinkled laundry']",get wrinkled laundry,1
1,0.08333333333333333,['get wrinkled laundry'],"['plug in iron', 'place wrinkled laundry on ironing board']",place wrinkled laundry on ironing board,1
2,0.16666666666666666,"['get wrinkled laundry', 'place wrinkled laundry on ironing board']","['get iron', 'allow iron to heat up']",get iron,0
3,0.25,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron']","['plug in iron', 'iron the other side of the piece of laundry']",plug in iron,0
4,0.3333333333333333,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron']","['iron one side of the piece of laundry', 'place iron on ironing board']",place iron on ironing board,1
5,0.4166666666666667,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board']","['allow iron to heat up', 'get wrinkled laundry']",allow iron to heat up,0
6,0.5,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up']","['iron one side of the piece of laundry', 'get iron']",iron one side of the piece of laundry,0
7,0.5833333333333334,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up', 'iron one side of the piece of laundry']","['get wrinkled laundry', 'iron the other side of the piece of laundry']",iron the other side of the piece of laundry,1
8,0.6666666666666666,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up', 'iron one side of the piece of laundry', 'iron the other side of the piece of laundry']","['turn off iron', 'place wrinkled laundry on ironing board']",turn off iron,0
9,0.75,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up', 'iron one side of the piece of laundry', 'iron the other side of the piece of laundry', 'turn off iron']","['allow iron to cool', 'get iron']",allow iron to cool,0
10,0.8333333333333334,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up', 'iron one side of the piece of laundry', 'iron the other side of the piece of laundry', 'turn off iron', 'allow iron to cool']","['iron one side of the piece of laundry', 'put iron away']",put iron away,1
11,0.9166666666666666,"['get wrinkled laundry', 'place wrinkled laundry on ironing board', 'get iron', 'plug in iron', 'place iron on ironing board', 'allow iron to heat up', 'iron one side of the piece of laundry', 'iron the other side of the piece of laundry', 'turn off iron', 'allow iron to cool', 'put iron away']","['allow iron to heat up', 'put ironed laundry away']",put ironed laundry away,1
0,0.0,[],"['Hang up item on a hangar.', 'Set up ironing board.']",Set up ironing board.,1
1,0.16666666666666666,['Set up ironing board.'],"['Set up ironing board.', 'Fill iron with water.']",Fill iron with water.,1
2,0.3333333333333333,"['Set up ironing board.', 'Fill iron with water.']","['Lay item on ironing board and iron it.', 'Plug in iron and let it heat up.']",Plug in iron and let it heat up.,1
