task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Gather a clean change of clothes', 'Put soap on washcloth']",Gather a clean change of clothes,0
1,0.0625,['Gather a clean change of clothes'],"['Put soap on washcloth', 'Gather a towel']",Gather a towel,1
2,0.125,"['Gather a clean change of clothes', 'Gather a towel']","['Gather soap, shampoo, and a washcloth', 'Scrub body from head to toes']","Gather soap, shampoo, and a washcloth",0
3,0.1875,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth']","['Scrub body from head to toes', 'Go into bathroom']",Go into bathroom,1
4,0.25,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom']","['Turn on shower and adjust water to desired temperature', 'Rinse body']",Turn on shower and adjust water to desired temperature,0
5,0.3125,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature']","['Take off clothes', 'Put soap on washcloth']",Take off clothes,0
6,0.375,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes']","['Get into shower', 'Gather a towel']",Get into shower,0
7,0.4375,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower']","['Wet hair', 'Put soap on washcloth']",Wet hair,0
8,0.5,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair']","['Wash hair with shampoo', 'Gather soap, shampoo, and a washcloth']",Wash hair with shampoo,0
9,0.5625,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo']","['Rinse hair', 'Get into shower']",Rinse hair,0
10,0.625,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair']","['Put soap on washcloth', 'Rinse body']",Put soap on washcloth,0
11,0.6875,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair', 'Put soap on washcloth']","['Scrub body from head to toes', 'Take off clothes']",Scrub body from head to toes,0
12,0.75,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair', 'Put soap on washcloth', 'Scrub body from head to toes']","['Take off clothes', 'Rinse body']",Rinse body,1
13,0.8125,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair', 'Put soap on washcloth', 'Scrub body from head to toes', 'Rinse body']","['Rinse hair', 'Turn off water']",Turn off water,1
14,0.875,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair', 'Put soap on washcloth', 'Scrub body from head to toes', 'Rinse body', 'Turn off water']","['Dry self with towel', 'Get into shower']",Dry self with towel,0
15,0.9375,"['Gather a clean change of clothes', 'Gather a towel', 'Gather soap, shampoo, and a washcloth', 'Go into bathroom', 'Turn on shower and adjust water to desired temperature', 'Take off clothes', 'Get into shower', 'Wet hair', 'Wash hair with shampoo', 'Rinse hair', 'Put soap on washcloth', 'Scrub body from head to toes', 'Rinse body', 'Turn off water', 'Dry self with towel']","['Gather soap, shampoo, and a washcloth', 'Put on clean clothes']",Put on clean clothes,1
0,0.0,[],"['enter shower', 'enter bathroom']",enter bathroom,1
1,0.07142857142857142,['enter bathroom'],"['place towel nearby', 'turn on water']",place towel nearby,0
2,0.14285714285714285,"['enter bathroom', 'place towel nearby']","['put on clean clothes', 'remove clothes']",remove clothes,1
3,0.21428571428571427,"['enter bathroom', 'place towel nearby', 'remove clothes']","['turn on water', 'exit shower']",turn on water,0
4,0.2857142857142857,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water']","['rinse', 'enter shower']",enter shower,1
5,0.35714285714285715,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower']","['apply shampoo to hair', 'turn off water']",apply shampoo to hair,0
6,0.42857142857142855,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair']","['enter bathroom', 'rinse']",rinse,1
7,0.5,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse']","['apply soap to body', 'put on clean clothes']",apply soap to body,0
8,0.5714285714285714,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body']","['rinse', 'put on clean clothes']",rinse,0
9,0.6428571428571429,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body', 'rinse']","['rinse', 'turn off water']",turn off water,1
10,0.7142857142857143,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body', 'rinse', 'turn off water']","['turn on water', 'exit shower']",exit shower,1
11,0.7857142857142857,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body', 'rinse', 'turn off water', 'exit shower']","['turn on water', 'towel dry']",towel dry,1
12,0.8571428571428571,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body', 'rinse', 'turn off water', 'exit shower', 'towel dry']","['apply soap to body', 'get clean clothes from closet']",get clean clothes from closet,1
13,0.9285714285714286,"['enter bathroom', 'place towel nearby', 'remove clothes', 'turn on water', 'enter shower', 'apply shampoo to hair', 'rinse', 'apply soap to body', 'rinse', 'turn off water', 'exit shower', 'towel dry', 'get clean clothes from closet']","['put on clean clothes', 'rinse']",put on clean clothes,0
0,0.0,[],"['Get clothes to wear', 'Get in shower']",Get clothes to wear,0
1,0.07142857142857142,['Get clothes to wear'],"['Get towel', 'Get towel']",Get towel,0
2,0.14285714285714285,"['Get clothes to wear', 'Get towel']","['Turn on water', 'Condition hair']",Turn on water,0
3,0.21428571428571427,"['Get clothes to wear', 'Get towel', 'Turn on water']","['Get undressed', 'Wash face']",Get undressed,0
4,0.2857142857142857,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed']","['Get in shower', 'Get clothes to wear']",Get in shower,0
5,0.35714285714285715,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower']","['Turn on water', 'Wet hair']",Wet hair,1
6,0.42857142857142855,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair']","['Wash hair', 'Get clothes to wear']",Wash hair,0
7,0.5,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair', 'Wash hair']","['Turn off water', 'Condition hair']",Condition hair,1
8,0.5714285714285714,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair', 'Wash hair', 'Condition hair']","['Wash face', 'Get towel']",Wash face,0
9,0.6428571428571429,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair', 'Wash hair', 'Condition hair', 'Wash face']","['Wash body', 'Get in shower']",Wash body,0
10,0.7142857142857143,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair', 'Wash hair', 'Condition hair', 'Wash face', 'Wash body']","['Shave legs', 'Get clothes to wear']",Shave legs,0
11,0.7857142857142857,"['Get clothes to wear', 'Get towel', 'Turn on water', 'Get undressed', 'Get in shower', 'Wet hair', 'Wash hair', 'Condition hair', 'Wash face', 'Wash body', 'Shave legs']","['Turn off water', 'Get undressed']",Turn off water,0
