task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"[""follow the barber's directions"", 'go to the barber shop']",go to the barber shop,1
1,0.07142857142857142,['go to the barber shop'],"[""follow the barber's directions"", 'greet the barber']",greet the barber,1
2,0.14285714285714285,"['go to the barber shop', 'greet the barber']","['wait until your turn', 'explain how you want your hair cut']",wait until your turn,0
3,0.21428571428571427,"['go to the barber shop', 'greet the barber', 'wait until your turn']","['stand up', 'sit down in the barber chair']",sit down in the barber chair,1
4,0.2857142857142857,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair']","[""tell barber when you're satisfied"", 'explain how you want your hair cut']",explain how you want your hair cut,1
5,0.35714285714285715,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut']","['brush loose hair off your clothing', 'talk with the barber']",talk with the barber,1
6,0.42857142857142855,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber']","[""follow the barber's directions"", 'brush loose hair off your clothing']",follow the barber's directions,0
7,0.5,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions""]","['look at yourself in the mirror', 'stand up']",look at yourself in the mirror,0
8,0.5714285714285714,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror']","[""tell barber when you're satisfied"", 'go to the barber shop']",tell barber when you're satisfied,0
9,0.6428571428571429,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror', ""tell barber when you're satisfied""]","['leave the barber shop', 'stand up']",stand up,1
10,0.7142857142857143,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror', ""tell barber when you're satisfied"", 'stand up']","['brush loose hair off your clothing', 'leave the barber shop']",brush loose hair off your clothing,0
11,0.7857142857142857,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror', ""tell barber when you're satisfied"", 'stand up', 'brush loose hair off your clothing']","['explain how you want your hair cut', 'pay the barber']",pay the barber,1
12,0.8571428571428571,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror', ""tell barber when you're satisfied"", 'stand up', 'brush loose hair off your clothing', 'pay the barber']","['tip the barber if appropriate', 'stand up']",tip the barber if appropriate,0
13,0.9285714285714286,"['go to the barber shop', 'greet the barber', 'wait until your turn', 'sit down in the barber chair', 'explain how you want your hair cut', 'talk with the barber', ""follow the barber's directions"", 'look at yourself in the mirror', ""tell barber when you're satisfied"", 'stand up', 'brush loose hair off your clothing', 'pay the barber', 'tip the barber if appropriate']","['leave the barber shop', 'explain how you want your hair cut']",leave the barber shop,0
0,0.0,[],"['Go to the salon', 'Get your hair combed']",Go to the salon,0
1,0.1111111111111111,['Go to the salon'],"['Show a picture of how you want your hair to look', 'Look in the mirror']",Show a picture of how you want your hair to look,0
2,0.2222222222222222,"['Go to the salon', 'Show a picture of how you want your hair to look']","['Look in the mirror', 'Get your hair washed']",Get your hair washed,1
3,0.3333333333333333,"['Go to the salon', 'Show a picture of how you want your hair to look', 'Get your hair washed']","['Get your hair combed', 'Look in the mirror']",Get your hair combed,0
4,0.4444444444444444,"['Go to the salon', 'Show a picture of how you want your hair to look', 'Get your hair washed', 'Get your hair combed']","['Look in the mirror', 'Beautician cuts hair']",Beautician cuts hair,1
5,0.5555555555555556,"['Go to the salon', 'Show a picture of how you want your hair to look', 'Get your hair washed', 'Get your hair combed', 'Beautician cuts hair']","['Look in the mirror', 'Beautician blowdries hair']",Beautician blowdries hair,1
6,0.6666666666666666,"['Go to the salon', 'Show a picture of how you want your hair to look', 'Get your hair washed', 'Get your hair combed', 'Beautician cuts hair', 'Beautician blowdries hair']","['Beautician styles hair', 'Get your hair washed']",Beautician styles hair,0
7,0.7777777777777778,"['Go to the salon', 'Show a picture of how you want your hair to look', 'Get your hair washed', 'Get your hair combed', 'Beautician cuts hair', 'Beautician blowdries hair', 'Beautician styles hair']","['Look in the mirror', 'Go to the salon']",Look in the mirror,0
