task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Fill a pot with water', 'Cook in boiling water for 8 minutes']",Fill a pot with water,0
1,0.14285714285714285,['Fill a pot with water'],"['Place pasta in water on stove', 'Place water on stove']",Place water on stove,1
2,0.2857142857142857,"['Fill a pot with water', 'Place water on stove']","['Place pasta in water on stove', 'Turn on stove']",Turn on stove,1
3,0.42857142857142855,"['Fill a pot with water', 'Place water on stove', 'Turn on stove']","['Get pasta out of pantry', 'Fill a pot with water']",Get pasta out of pantry,0
4,0.5714285714285714,"['Fill a pot with water', 'Place water on stove', 'Turn on stove', 'Get pasta out of pantry']","['Fill a pot with water', 'Open pasta']",Open pasta,1
5,0.7142857142857143,"['Fill a pot with water', 'Place water on stove', 'Turn on stove', 'Get pasta out of pantry', 'Open pasta']","['Turn on stove', 'Place pasta in water on stove']",Place pasta in water on stove,1
6,0.8571428571428571,"['Fill a pot with water', 'Place water on stove', 'Turn on stove', 'Get pasta out of pantry', 'Open pasta', 'Place pasta in water on stove']","['Fill a pot with water', 'Cook in boiling water for 8 minutes']",Cook in boiling water for 8 minutes,1
0,0.0,[],"['Fill a pan with water.', 'Fill a pan with water.']",Fill a pan with water.,0
1,0.14285714285714285,['Fill a pan with water.'],"['Add some salt and olive oil to the water for flavor.', 'Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.']",Add some salt and olive oil to the water for flavor.,0
2,0.2857142857142857,"['Fill a pan with water.', 'Add some salt and olive oil to the water for flavor.']","['Heat the water to a medium boil.', 'Pour the pasta into a strainer over the sink to remove the water.']",Heat the water to a medium boil.,0
3,0.42857142857142855,"['Fill a pan with water.', 'Add some salt and olive oil to the water for flavor.', 'Heat the water to a medium boil.']","['Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.', 'Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.']",Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.,0
4,0.5714285714285714,"['Fill a pan with water.', 'Add some salt and olive oil to the water for flavor.', 'Heat the water to a medium boil.', 'Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.']","['Add the pasta to the boiling water and stir gently to prevent sticking.', 'Pour the pasta into a strainer over the sink to remove the water.']",Add the pasta to the boiling water and stir gently to prevent sticking.,0
5,0.7142857142857143,"['Fill a pan with water.', 'Add some salt and olive oil to the water for flavor.', 'Heat the water to a medium boil.', 'Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.', 'Add the pasta to the boiling water and stir gently to prevent sticking.']","['Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.', 'Fill a pan with water.']",Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.,0
6,0.8571428571428571,"['Fill a pan with water.', 'Add some salt and olive oil to the water for flavor.', 'Heat the water to a medium boil.', 'Measure the pasta - a single serving is roughly 2 ounces of dry pasta per person.', 'Add the pasta to the boiling water and stir gently to prevent sticking.', 'Cook the pasta to taste - approx 8 - 12 minutes depending on desired firmness.']","['Pour the pasta into a strainer over the sink to remove the water.', 'Heat the water to a medium boil.']",Pour the pasta into a strainer over the sink to remove the water.,0
0,0.0,[],"['Fill a pot with water', 'Turn stove on']",Fill a pot with water,0
1,0.14285714285714285,['Fill a pot with water'],"['Turn stove on', 'Put it on the stove']",Put it on the stove,1
2,0.2857142857142857,"['Fill a pot with water', 'Put it on the stove']","['Add pasta', 'Turn stove on']",Turn stove on,1
3,0.42857142857142855,"['Fill a pot with water', 'Put it on the stove', 'Turn stove on']","['Let it come to a boil', 'Stir']",Let it come to a boil,0
4,0.5714285714285714,"['Fill a pot with water', 'Put it on the stove', 'Turn stove on', 'Let it come to a boil']","['Add pasta', 'Fill a pot with water']",Add pasta,0
5,0.7142857142857143,"['Fill a pot with water', 'Put it on the stove', 'Turn stove on', 'Let it come to a boil', 'Add pasta']","['Put it on the stove', 'Stir']",Stir,1
6,0.8571428571428571,"['Fill a pot with water', 'Put it on the stove', 'Turn stove on', 'Let it come to a boil', 'Add pasta', 'Stir']","['Turn stove on', 'Cook until done']",Cook until done,1
