task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Arrive at airport for scheduled flight', 'Place checked luggage on scale.']",Arrive at airport for scheduled flight,0
1,0.125,['Arrive at airport for scheduled flight'],"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter""]",Go to your airline's check-in counter,1
2,0.25,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter""]","['Place checked luggage on scale.', 'Answer questions about your bags']",Place checked luggage on scale.,0
3,0.375,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter"", 'Place checked luggage on scale.']","['Give employee your ticket and photo ID', 'Receive boarding pass and back check receipt.']",Give employee your ticket and photo ID,0
4,0.5,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter"", 'Place checked luggage on scale.', 'Give employee your ticket and photo ID']","[""Go to your airline's check-in counter"", 'Confirm where your flight is headed']",Confirm where your flight is headed,1
5,0.625,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter"", 'Place checked luggage on scale.', 'Give employee your ticket and photo ID', 'Confirm where your flight is headed']","['Answer questions about your bags', 'Proceed to airport security']",Answer questions about your bags,0
6,0.75,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter"", 'Place checked luggage on scale.', 'Give employee your ticket and photo ID', 'Confirm where your flight is headed', 'Answer questions about your bags']","['Give employee your ticket and photo ID', 'Receive boarding pass and back check receipt.']",Receive boarding pass and back check receipt.,1
7,0.875,"['Arrive at airport for scheduled flight', ""Go to your airline's check-in counter"", 'Place checked luggage on scale.', 'Give employee your ticket and photo ID', 'Confirm where your flight is headed', 'Answer questions about your bags', 'Receive boarding pass and back check receipt.']","['Confirm where your flight is headed', 'Proceed to airport security']",Proceed to airport security,1
0,0.0,[],"['Find your gate number', 'Park your car']",Park your car,1
1,0.16666666666666666,['Park your car'],"['Take luggage to terminal', 'Wait in line']",Take luggage to terminal,0
2,0.3333333333333333,"['Park your car', 'Take luggage to terminal']","['Wait in line', 'Find your gate number']",Wait in line,0
3,0.5,"['Park your car', 'Take luggage to terminal', 'Wait in line']","['Find your gate number', 'Get tickets']",Get tickets,1
4,0.6666666666666666,"['Park your car', 'Take luggage to terminal', 'Wait in line', 'Get tickets']","['Park your car', 'Turn in checked luggage']",Turn in checked luggage,1
5,0.8333333333333334,"['Park your car', 'Take luggage to terminal', 'Wait in line', 'Get tickets', 'Turn in checked luggage']","['Wait in line', 'Find your gate number']",Find your gate number,1
0,0.0,[],"['Leave check in counter', 'Walk up to check in counter']",Walk up to check in counter,1
1,0.125,['Walk up to check in counter'],"['Receive confirmation of boarding', 'Hand over boarding pass']",Hand over boarding pass,1
2,0.25,"['Walk up to check in counter', 'Hand over boarding pass']","['Give identification', 'Take seat']",Give identification,0
3,0.375,"['Walk up to check in counter', 'Hand over boarding pass', 'Give identification']","['Check in luggage bags', 'Take seat']",Check in luggage bags,0
4,0.5,"['Walk up to check in counter', 'Hand over boarding pass', 'Give identification', 'Check in luggage bags']","['Take seat', 'Receive confirmation of boarding']",Receive confirmation of boarding,1
5,0.625,"['Walk up to check in counter', 'Hand over boarding pass', 'Give identification', 'Check in luggage bags', 'Receive confirmation of boarding']","['Leave check in counter', 'Give identification']",Leave check in counter,0
6,0.75,"['Walk up to check in counter', 'Hand over boarding pass', 'Give identification', 'Check in luggage bags', 'Receive confirmation of boarding', 'Leave check in counter']","['Take seat', 'Check in luggage bags']",Take seat,0
7,0.875,"['Walk up to check in counter', 'Hand over boarding pass', 'Give identification', 'Check in luggage bags', 'Receive confirmation of boarding', 'Leave check in counter', 'Take seat']","['Walk up to check in counter', 'Wait for plane']",Wait for plane,1
0,0.0,[],"['Take out ticket and ID card', 'Look for your gate number in the flight information board']",Look for your gate number in the flight information board,1
1,0.125,['Look for your gate number in the flight information board'],"['Go to the respective gate', 'Go to the respective gate']",Go to the respective gate,0
2,0.25,"['Look for your gate number in the flight information board', 'Go to the respective gate']","['Take out ticket and ID card', 'Show your ticket and passport/ID']",Take out ticket and ID card,0
3,0.375,"['Look for your gate number in the flight information board', 'Go to the respective gate', 'Take out ticket and ID card']","['Ask receptionist for your airline counter', 'Show them to the security guard']",Show them to the security guard,1
4,0.5,"['Look for your gate number in the flight information board', 'Go to the respective gate', 'Take out ticket and ID card', 'Show them to the security guard']","['Enter the hall area', 'Look for your gate number in the flight information board']",Enter the hall area,0
5,0.625,"['Look for your gate number in the flight information board', 'Go to the respective gate', 'Take out ticket and ID card', 'Show them to the security guard', 'Enter the hall area']","['Ask receptionist for your airline counter', 'Take out ticket and ID card']",Ask receptionist for your airline counter,0
6,0.75,"['Look for your gate number in the flight information board', 'Go to the respective gate', 'Take out ticket and ID card', 'Show them to the security guard', 'Enter the hall area', 'Ask receptionist for your airline counter']","['Show them to the security guard', 'Go to the airline counter']",Go to the airline counter,1
7,0.875,"['Look for your gate number in the flight information board', 'Go to the respective gate', 'Take out ticket and ID card', 'Show them to the security guard', 'Enter the hall area', 'Ask receptionist for your airline counter', 'Go to the airline counter']","['Show them to the security guard', 'Show your ticket and passport/ID']",Show your ticket and passport/ID,1
0,0.0,[],"['give luggage to worker', 'Arrive at airport']",Arrive at airport,1
1,0.125,['Arrive at airport'],"['find check-in for your airline', 'go through security']",find check-in for your airline,0
