task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Take a seat or stand', 'Enter the station']",Enter the station,1
1,0.125,['Enter the station'],"['Arrive at destination', 'Check the train schedules']",Check the train schedules,1
2,0.25,"['Enter the station', 'Check the train schedules']","['Get on the train', 'Buy a ticket']",Buy a ticket,1
3,0.375,"['Enter the station', 'Check the train schedules', 'Buy a ticket']","['Get off the train', 'Wait for the train']",Wait for the train,1
4,0.5,"['Enter the station', 'Check the train schedules', 'Buy a ticket', 'Wait for the train']","['Get on the train', 'Get off the train']",Get on the train,0
5,0.625,"['Enter the station', 'Check the train schedules', 'Buy a ticket', 'Wait for the train', 'Get on the train']","['Take a seat or stand', 'Buy a ticket']",Take a seat or stand,0
6,0.75,"['Enter the station', 'Check the train schedules', 'Buy a ticket', 'Wait for the train', 'Get on the train', 'Take a seat or stand']","['Enter the station', 'Arrive at destination']",Arrive at destination,1
7,0.875,"['Enter the station', 'Check the train schedules', 'Buy a ticket', 'Wait for the train', 'Get on the train', 'Take a seat or stand', 'Arrive at destination']","['Get off the train', 'Check the train schedules']",Get off the train,0
0,0.0,[],"['entering the underground when arrives', 'walking on the street']",walking on the street,1
1,0.2,['walking on the street'],"['entering the underground', 'paying for a ticket']",entering the underground,0
2,0.4,"['walking on the street', 'entering the underground']","['entering the underground when arrives', 'paying for a ticket']",paying for a ticket,1
3,0.6,"['walking on the street', 'entering the underground', 'paying for a ticket']","['waiting on platform for underground', 'walking on the street']",waiting on platform for underground,0
4,0.8,"['walking on the street', 'entering the underground', 'paying for a ticket', 'waiting on platform for underground']","['entering the underground when arrives', 'walking on the street']",entering the underground when arrives,0
0,0.0,[],"['Ride to your destination', 'Traveling to station']",Traveling to station,1
1,0.2,['Traveling to station'],"['Purchase fare for subway', 'Purchase fare for subway']",Purchase fare for subway,1
2,0.4,"['Traveling to station', 'Purchase fare for subway']","['Exit when you arrive', 'Enter railcar']",Enter railcar,1
3,0.6,"['Traveling to station', 'Purchase fare for subway', 'Enter railcar']","['Traveling to station', 'Ride to your destination']",Ride to your destination,1
4,0.8,"['Traveling to station', 'Purchase fare for subway', 'Enter railcar', 'Ride to your destination']","['Exit when you arrive', 'Purchase fare for subway']",Exit when you arrive,0
0,0.0,[],"['Drive to the station', 'Park your car']",Drive to the station,0
1,0.16666666666666666,['Drive to the station'],"['Park your car', 'Walk down the stairs']",Park your car,0
2,0.3333333333333333,"['Drive to the station', 'Park your car']","['Board the train', 'Walk down the stairs']",Walk down the stairs,1
3,0.5,"['Drive to the station', 'Park your car', 'Walk down the stairs']","['Buy a ticket', 'Drive to the station']",Buy a ticket,0
4,0.6666666666666666,"['Drive to the station', 'Park your car', 'Walk down the stairs', 'Buy a ticket']","['Park your car', 'Wait for the train']",Wait for the train,1
5,0.8333333333333334,"['Drive to the station', 'Park your car', 'Walk down the stairs', 'Buy a ticket', 'Wait for the train']","['Board the train', 'Walk down the stairs']",Board the train,0
0,0.0,[],"['Take a shovel', 'Dig more']",Take a shovel,0
1,0.125,['Take a shovel'],"['Take a spade', 'Take a shovel']",Take a spade,0
