task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Purchase airplane ticket online, in person, or over the phone.', 'Check in through security']","Purchase airplane ticket online, in person, or over the phone.",0
1,0.07692307692307693,"['Purchase airplane ticket online, in person, or over the phone.']","['Receive boarding pass', 'Arrive at the airport one to three hours before departure.']",Arrive at the airport one to three hours before departure.,1
2,0.15384615384615385,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.']","['Check in, check luggage if carrying any', 'Walk down corridor to the plane.']","Check in, check luggage if carrying any",0
3,0.23076923076923078,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any']","['Board the plane.', 'Receive boarding pass']",Receive boarding pass,1
4,0.3076923076923077,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass']","['Prepare for take off.', 'Check in through security']",Check in through security,1
5,0.38461538461538464,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security']","['Find your seat.', 'Find departure gate by matching flight number with gate number']",Find departure gate by matching flight number with gate number,1
6,0.46153846153846156,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number']","['Check in, check luggage if carrying any', 'Wait until it is time to board the flight']",Wait until it is time to board the flight,1
7,0.5384615384615384,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number', 'Wait until it is time to board the flight']","['Arrive at the airport one to three hours before departure.', 'Show staff your boarding pass.']",Show staff your boarding pass.,1
8,0.6153846153846154,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number', 'Wait until it is time to board the flight', 'Show staff your boarding pass.']","['Walk down corridor to the plane.', 'Prepare for take off.']",Walk down corridor to the plane.,0
9,0.6923076923076923,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number', 'Wait until it is time to board the flight', 'Show staff your boarding pass.', 'Walk down corridor to the plane.']","['Board the plane.', 'Check in through security']",Board the plane.,0
10,0.7692307692307693,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number', 'Wait until it is time to board the flight', 'Show staff your boarding pass.', 'Walk down corridor to the plane.', 'Board the plane.']","['Find your seat.', 'Check in, check luggage if carrying any']",Find your seat.,0
11,0.8461538461538461,"['Purchase airplane ticket online, in person, or over the phone.', 'Arrive at the airport one to three hours before departure.', 'Check in, check luggage if carrying any', 'Receive boarding pass', 'Check in through security', 'Find departure gate by matching flight number with gate number', 'Wait until it is time to board the flight', 'Show staff your boarding pass.', 'Walk down corridor to the plane.', 'Board the plane.', 'Find your seat.']","['Receive boarding pass', 'Put your seatbelt on.']",Put your seatbelt on.,1
