task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Enter the spa', 'take a seat']",Enter the spa,0
1,0.2,['Enter the spa'],"['enter locker room', 'enter locker room']",enter locker room,0
2,0.4,"['Enter the spa', 'enter locker room']","['get undressed or dressed correctly', 'take a seat']",get undressed or dressed correctly,0
3,0.6,"['Enter the spa', 'enter locker room', 'get undressed or dressed correctly']","['enter the sauna room', 'Enter the spa']",enter the sauna room,0
4,0.8,"['Enter the spa', 'enter locker room', 'get undressed or dressed correctly', 'enter the sauna room']","['Enter the spa', 'take a seat']",take a seat,1
0,0.0,[],"['Pay for entry into sauna.', 'Getting clothes ready.']",Getting clothes ready.,1
1,0.2,['Getting clothes ready.'],"['Pay for entry into sauna.', 'Get in your car.']",Get in your car.,1
2,0.4,"['Getting clothes ready.', 'Get in your car.']","['Pay for entry into sauna.', 'Drive to sauna location.']",Drive to sauna location.,1
3,0.6,"['Getting clothes ready.', 'Get in your car.', 'Drive to sauna location.']","['Get out of car.', 'Getting clothes ready.']",Get out of car.,0
4,0.8,"['Getting clothes ready.', 'Get in your car.', 'Drive to sauna location.', 'Get out of car.']","['Getting clothes ready.', 'Pay for entry into sauna.']",Pay for entry into sauna.,1
0,0.0,[],"['Go to the locker room', 'Go to the gym']",Go to the gym,1
1,0.2,['Go to the gym'],"['Put on a robe', 'Go to the locker room']",Go to the locker room,1
2,0.4,"['Go to the gym', 'Go to the locker room']","['Walk into the sauna', 'Take off your clothes']",Take off your clothes,1
3,0.6,"['Go to the gym', 'Go to the locker room', 'Take off your clothes']","['Put on a robe', 'Go to the gym']",Put on a robe,0
4,0.8,"['Go to the gym', 'Go to the locker room', 'Take off your clothes', 'Put on a robe']","['Walk into the sauna', 'Go to the gym']",Walk into the sauna,0
0,0.0,[],"['Grab towel', 'Drive to sauna']",Grab towel,0
1,0.2,['Grab towel'],"['Pay for services', 'Get in car']",Get in car,1
2,0.4,"['Grab towel', 'Get in car']","['Use sauna', 'Drive to sauna']",Drive to sauna,1
3,0.6,"['Grab towel', 'Get in car', 'Drive to sauna']","['Grab towel', 'Pay for services']",Pay for services,1
4,0.8,"['Grab towel', 'Get in car', 'Drive to sauna', 'Pay for services']","['Grab towel', 'Use sauna']",Use sauna,1
0,0.0,[],"['Take a shower', 'Show the membership card at the entry']",Take a shower,0
1,0.2,['Take a shower'],"['Go to sauna facility', 'Put on swimming suit']",Put on swimming suit,1
2,0.4,"['Take a shower', 'Put on swimming suit']","['Show the membership card at the entry', 'Put on track suit on top']",Put on track suit on top,1
3,0.6,"['Take a shower', 'Put on swimming suit', 'Put on track suit on top']","['Take a shower', 'Go to sauna facility']",Go to sauna facility,1
4,0.8,"['Take a shower', 'Put on swimming suit', 'Put on track suit on top', 'Go to sauna facility']","['Put on swimming suit', 'Show the membership card at the entry']",Show the membership card at the entry,1
0,0.0,[],"['Drive to sauna', 'Drive to sauna']",Drive to sauna,0
