task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Get detergent', 'Turn washer on']",Get detergent,0
1,0.1,['Get detergent'],"['Add to washing machine', 'Put wet clothes in dryer']",Add to washing machine,0
2,0.2,"['Get detergent', 'Add to washing machine']","['Adjust washing machine settings', 'Pull wet clothes from washer']",Adjust washing machine settings,0
3,0.3,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings']","['Put wet clothes in dryer', 'Put laundry in']",Put laundry in,1
4,0.4,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in']","['Remove clean, dry clothes', 'Turn washer on']",Turn washer on,1
5,0.5,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in', 'Turn washer on']","['Put dryer sheet in dryer', 'Add to washing machine']",Put dryer sheet in dryer,0
6,0.6,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in', 'Turn washer on', 'Put dryer sheet in dryer']","['Turn dryer on', 'Pull wet clothes from washer']",Pull wet clothes from washer,1
7,0.7,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in', 'Turn washer on', 'Put dryer sheet in dryer', 'Pull wet clothes from washer']","['Put laundry in', 'Put wet clothes in dryer']",Put wet clothes in dryer,1
8,0.8,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in', 'Turn washer on', 'Put dryer sheet in dryer', 'Pull wet clothes from washer', 'Put wet clothes in dryer']","['Get detergent', 'Turn dryer on']",Turn dryer on,1
9,0.9,"['Get detergent', 'Add to washing machine', 'Adjust washing machine settings', 'Put laundry in', 'Turn washer on', 'Put dryer sheet in dryer', 'Pull wet clothes from washer', 'Put wet clothes in dryer', 'Turn dryer on']","['Remove clean, dry clothes', 'Add to washing machine']","Remove clean, dry clothes",0
0,0.0,[],"['Get dirty clothes', 'Remove clothes from the washing machine']",Get dirty clothes,0
1,0.14285714285714285,['Get dirty clothes'],"['Put dirty clothes in the washing machine', 'Add detergent and turn on the washing machine']",Put dirty clothes in the washing machine,0
