task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Repeat until button is tight', 'Get a button to match']",Get a button to match,1
1,0.1,['Get a button to match'],"['Find a needle', 'Cut off excess thread']",Find a needle,0
2,0.2,"['Get a button to match', 'Find a needle']","['Find thread that matches', 'Cut off excess thread']",Find thread that matches,0
3,0.3,"['Get a button to match', 'Find a needle', 'Find thread that matches']","['Use needle to go through button holes', 'Thread needle']",Thread needle,1
4,0.4,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle']","['Tie knot', 'Repeat until button is tight']",Tie knot,0
5,0.5,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle', 'Tie knot']","['Use needle to go through button holes', 'Tie off thread']",Use needle to go through button holes,0
6,0.6,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle', 'Tie knot', 'Use needle to go through button holes']","['Repeat until button is tight', 'Get a button to match']",Repeat until button is tight,0
7,0.7,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle', 'Tie knot', 'Use needle to go through button holes', 'Repeat until button is tight']","['Thread needle', 'Tie off thread']",Tie off thread,1
8,0.8,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle', 'Tie knot', 'Use needle to go through button holes', 'Repeat until button is tight', 'Tie off thread']","['Cut off excess thread', 'Tie knot']",Cut off excess thread,0
9,0.9,"['Get a button to match', 'Find a needle', 'Find thread that matches', 'Thread needle', 'Tie knot', 'Use needle to go through button holes', 'Repeat until button is tight', 'Tie off thread', 'Cut off excess thread']","['Put away needle and thread', 'Tie knot']",Put away needle and thread,0
0,0.0,[],"['getting out needle', 'threading the needle']",getting out needle,0
1,0.2,['getting out needle'],"['getting out thread', 'tying a knot with thread']",getting out thread,0
2,0.4,"['getting out needle', 'getting out thread']","['tying a knot with thread', 'threading the needle']",threading the needle,1
3,0.6,"['getting out needle', 'getting out thread', 'threading the needle']","['moving the needle in and out of the fabric', 'getting out needle']",moving the needle in and out of the fabric,0
4,0.8,"['getting out needle', 'getting out thread', 'threading the needle', 'moving the needle in and out of the fabric']","['tying a knot with thread', 'getting out needle']",tying a knot with thread,0
0,0.0,[],"['Choose button that I like', 'Repeat procedure until button is secure']",Choose button that I like,0
1,0.14285714285714285,['Choose button that I like'],"['Get sewing kit', 'Repeat procedure until button is secure']",Get sewing kit,0
2,0.2857142857142857,"['Choose button that I like', 'Get sewing kit']","['Remove thread and needle from kit', 'Push needle through fabric and button hole']",Remove thread and needle from kit,0
3,0.42857142857142855,"['Choose button that I like', 'Get sewing kit', 'Remove thread and needle from kit']","['Hook thread through needle', 'Choose button that I like']",Hook thread through needle,0
4,0.5714285714285714,"['Choose button that I like', 'Get sewing kit', 'Remove thread and needle from kit', 'Hook thread through needle']","['Cut off excess thread', 'Push needle through fabric and button hole']",Push needle through fabric and button hole,1
5,0.7142857142857143,"['Choose button that I like', 'Get sewing kit', 'Remove thread and needle from kit', 'Hook thread through needle', 'Push needle through fabric and button hole']","['Get sewing kit', 'Repeat procedure until button is secure']",Repeat procedure until button is secure,1
6,0.8571428571428571,"['Choose button that I like', 'Get sewing kit', 'Remove thread and needle from kit', 'Hook thread through needle', 'Push needle through fabric and button hole', 'Repeat procedure until button is secure']","['Choose button that I like', 'Cut off excess thread']",Cut off excess thread,1
0,0.0,[],"['Place the button at right place', 'Get a needle']",Get a needle,1
1,0.1111111111111111,['Get a needle'],"['Put thread in it', 'Take a button']",Put thread in it,0
2,0.2222222222222222,"['Get a needle', 'Put thread in it']","['Repeat the inserting as above for about 10 times', 'Take a button']",Take a button,1
3,0.3333333333333333,"['Get a needle', 'Put thread in it', 'Take a button']","['Place the button at right place', 'Repeat the inserting as above for about 10 times']",Place the button at right place,0
4,0.4444444444444444,"['Get a needle', 'Put thread in it', 'Take a button', 'Place the button at right place']","['Insert the needle with thread in button hole and shirt', 'break the thread']",Insert the needle with thread in button hole and shirt,0
5,0.5555555555555556,"['Get a needle', 'Put thread in it', 'Take a button', 'Place the button at right place', 'Insert the needle with thread in button hole and shirt']","['Pull the needle until thread is completely on the other side of shirt', 'Get a needle']",Pull the needle until thread is completely on the other side of shirt,0
6,0.6666666666666666,"['Get a needle', 'Put thread in it', 'Take a button', 'Place the button at right place', 'Insert the needle with thread in button hole and shirt', 'Pull the needle until thread is completely on the other side of shirt']","['Place the button at right place', 'Repeat the inserting as above for about 10 times']",Repeat the inserting as above for about 10 times,1
7,0.7777777777777778,"['Get a needle', 'Put thread in it', 'Take a button', 'Place the button at right place', 'Insert the needle with thread in button hole and shirt', 'Pull the needle until thread is completely on the other side of shirt', 'Repeat the inserting as above for about 10 times']","['Put thread in it', 'break the thread']",break the thread,1
8,0.8888888888888888,"['Get a needle', 'Put thread in it', 'Take a button', 'Place the button at right place', 'Insert the needle with thread in button hole and shirt', 'Pull the needle until thread is completely on the other side of shirt', 'Repeat the inserting as above for about 10 times', 'break the thread']","['Pull the needle until thread is completely on the other side of shirt', 'Take out the needle']",Take out the needle,1
0,0.0,[],"['gathering thread', 'gather garment for buttoning']",gathering thread,0
1,0.125,['gathering thread'],"['tie the thread to the sewing needle', 'gather needle']",gather needle,1
2,0.25,"['gathering thread', 'gather needle']","['gather button', 'sew the button on the garment']",gather button,0
3,0.375,"['gathering thread', 'gather needle', 'gather button']","['gather garment for buttoning', 'sew the button on the garment']",gather garment for buttoning,0
4,0.5,"['gathering thread', 'gather needle', 'gather button', 'gather garment for buttoning']","['gathering thread', 'tie the thread to the sewing needle']",tie the thread to the sewing needle,1
5,0.625,"['gathering thread', 'gather needle', 'gather button', 'gather garment for buttoning', 'tie the thread to the sewing needle']","['gather needle', 'sew the button on the garment']",sew the button on the garment,1
6,0.75,"['gathering thread', 'gather needle', 'gather button', 'gather garment for buttoning', 'tie the thread to the sewing needle', 'sew the button on the garment']","['gather button', 'cut the thread when finished']",cut the thread when finished,1
7,0.875,"['gathering thread', 'gather needle', 'gather button', 'gather garment for buttoning', 'tie the thread to the sewing needle', 'sew the button on the garment', 'cut the thread when finished']","['put back all the materials', 'gather needle']",put back all the materials,0
0,0.0,[],"['Push needle through hole', 'Get sewing basket']",Get sewing basket,1
1,0.1,['Get sewing basket'],"['Select needle', 'Select thread']",Select needle,0
2,0.2,"['Get sewing basket', 'Select needle']","['Then push needle through material', 'Select thread']",Select thread,1
3,0.3,"['Get sewing basket', 'Select needle', 'Select thread']","['Repeat for remaining holes', 'Thread the needle']",Thread the needle,1
4,0.4,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle']","['Make a knot at end', 'Push needle under material to next hole']",Make a knot at end,0
5,0.5,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle', 'Make a knot at end']","['Select thread', 'Push needle through hole']",Push needle through hole,1
6,0.6,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle', 'Make a knot at end', 'Push needle through hole']","['Then push needle through material', 'Thread the needle']",Then push needle through material,0
7,0.7,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle', 'Make a knot at end', 'Push needle through hole', 'Then push needle through material']","['Push needle under material to next hole', 'Select thread']",Push needle under material to next hole,0
8,0.8,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle', 'Make a knot at end', 'Push needle through hole', 'Then push needle through material', 'Push needle under material to next hole']","['Repeat for remaining holes', 'Make a knot at end']",Repeat for remaining holes,0
9,0.9,"['Get sewing basket', 'Select needle', 'Select thread', 'Thread the needle', 'Make a knot at end', 'Push needle through hole', 'Then push needle through material', 'Push needle under material to next hole', 'Repeat for remaining holes']","['Then push needle through material', 'Repeat for all holes to reinforce']",Repeat for all holes to reinforce,1
0,0.0,[],"['Do this with other two button holes', 'Get thread and needle']",Get thread and needle,1
1,0.14285714285714285,['Get thread and needle'],"['Get thread and needle', 'Thread the needle']",Thread the needle,1
2,0.2857142857142857,"['Get thread and needle', 'Thread the needle']","['Take button and put it on shirt where you want it', 'Pull thread through opposite button hole']",Take button and put it on shirt where you want it,0
3,0.42857142857142855,"['Get thread and needle', 'Thread the needle', 'Take button and put it on shirt where you want it']","['Get thread and needle', 'Put thread through buttonhole']",Put thread through buttonhole,1
4,0.5714285714285714,"['Get thread and needle', 'Thread the needle', 'Take button and put it on shirt where you want it', 'Put thread through buttonhole']","['Do this with other two button holes', 'Pull thread through opposite button hole']",Pull thread through opposite button hole,1
