task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['turn bicycle upside down', 'put new tube on']",turn bicycle upside down,0
1,0.14285714285714285,['turn bicycle upside down'],"['take off tire', 'flip bicycle back around']",take off tire,0
2,0.2857142857142857,"['turn bicycle upside down', 'take off tire']","['take off tube', 'flip bicycle back around']",take off tube,0
3,0.42857142857142855,"['turn bicycle upside down', 'take off tire', 'take off tube']","['pump air into new tube', 'put new tube on']",put new tube on,1
4,0.5714285714285714,"['turn bicycle upside down', 'take off tire', 'take off tube', 'put new tube on']","['put tire over tube', 'flip bicycle back around']",put tire over tube,0
5,0.7142857142857143,"['turn bicycle upside down', 'take off tire', 'take off tube', 'put new tube on', 'put tire over tube']","['take off tube', 'pump air into new tube']",pump air into new tube,1
6,0.8571428571428571,"['turn bicycle upside down', 'take off tire', 'take off tube', 'put new tube on', 'put tire over tube', 'pump air into new tube']","['flip bicycle back around', 'take off tire']",flip bicycle back around,0
0,0.0,[],"['Taking old tire off', 'Get tools']",Get tools,1
1,0.2,['Get tools'],"['Put on spare tire', 'Get spare tire']",Get spare tire,1
2,0.4,"['Get tools', 'Get spare tire']","['Taking old tire off', 'Put away old tire']",Taking old tire off,0
3,0.6,"['Get tools', 'Get spare tire', 'Taking old tire off']","['Put on spare tire', 'Get tools']",Put on spare tire,0
4,0.8,"['Get tools', 'Get spare tire', 'Taking old tire off', 'Put on spare tire']","['Put away old tire', 'Get tools']",Put away old tire,0
0,0.0,[],"['Pull out the rubber tube', 'Take the toolbox']",Take the toolbox,1
1,0.14285714285714285,['Take the toolbox'],"['Pull out the rubber tube', 'Open up the tire with a long screwdriver and lever']",Open up the tire with a long screwdriver and lever,1
2,0.2857142857142857,"['Take the toolbox', 'Open up the tire with a long screwdriver and lever']","['mark all the holes as indicated by the bubbles', 'Pull out the rubber tube']",Pull out the rubber tube,1
3,0.42857142857142855,"['Take the toolbox', 'Open up the tire with a long screwdriver and lever', 'Pull out the rubber tube']","['mark all the holes as indicated by the bubbles', 'Fill air']",Fill air,1
4,0.5714285714285714,"['Take the toolbox', 'Open up the tire with a long screwdriver and lever', 'Pull out the rubber tube', 'Fill air']","['Take the toolbox', 'Put the aerated tube in a water tub']",Put the aerated tube in a water tub,1
5,0.7142857142857143,"['Take the toolbox', 'Open up the tire with a long screwdriver and lever', 'Pull out the rubber tube', 'Fill air', 'Put the aerated tube in a water tub']","['look for air bubbles', 'Pull out the rubber tube']",look for air bubbles,0
6,0.8571428571428571,"['Take the toolbox', 'Open up the tire with a long screwdriver and lever', 'Pull out the rubber tube', 'Fill air', 'Put the aerated tube in a water tub', 'look for air bubbles']","['mark all the holes as indicated by the bubbles', 'Open up the tire with a long screwdriver and lever']",mark all the holes as indicated by the bubbles,0
0,0.0,[],"['Replace nozzle cap', 'Place bike on ground']",Place bike on ground,1
1,0.2,['Place bike on ground'],"['Pump air into tire', 'Unscrew nozzle cap on tire']",Unscrew nozzle cap on tire,1
2,0.4,"['Place bike on ground', 'Unscrew nozzle cap on tire']","['Replace nozzle cap', 'Place tire pump hose on nozzle']",Place tire pump hose on nozzle,1
3,0.6,"['Place bike on ground', 'Unscrew nozzle cap on tire', 'Place tire pump hose on nozzle']","['Pump air into tire', 'Place bike on ground']",Pump air into tire,0
4,0.8,"['Place bike on ground', 'Unscrew nozzle cap on tire', 'Place tire pump hose on nozzle', 'Pump air into tire']","['Replace nozzle cap', 'Unscrew nozzle cap on tire']",Replace nozzle cap,0
0,0.0,[],"['Put new tire in its place', 'Get a new bicycle tire']",Get a new bicycle tire,1
1,0.16666666666666666,['Get a new bicycle tire'],"['Get tools', 'Put new tire in its place']",Get tools,0
2,0.3333333333333333,"['Get a new bicycle tire', 'Get tools']","['Test to make sure it is in sturdily.', 'Remove flat tire']",Remove flat tire,1
3,0.5,"['Get a new bicycle tire', 'Get tools', 'Remove flat tire']","['Get a new bicycle tire', 'Put new tire in its place']",Put new tire in its place,1
4,0.6666666666666666,"['Get a new bicycle tire', 'Get tools', 'Remove flat tire', 'Put new tire in its place']","['Secure the tire.', 'Get a new bicycle tire']",Secure the tire.,0
5,0.8333333333333334,"['Get a new bicycle tire', 'Get tools', 'Remove flat tire', 'Put new tire in its place', 'Secure the tire.']","['Remove flat tire', 'Test to make sure it is in sturdily.']",Test to make sure it is in sturdily.,1
0,0.0,[],"['Put bike upside down', 'Put bike upside down']",Put bike upside down,1
1,0.14285714285714285,['Put bike upside down'],"['Take flat tire off', 'Flip bike right side up']",Take flat tire off,0
2,0.2857142857142857,"['Put bike upside down', 'Take flat tire off']","['Flip bike right side up', 'Collect tools']",Collect tools,1
3,0.42857142857142855,"['Put bike upside down', 'Take flat tire off', 'Collect tools']","['Flip bike right side up', 'Get new tire']",Get new tire,1
4,0.5714285714285714,"['Put bike upside down', 'Take flat tire off', 'Collect tools', 'Get new tire']","['Take flat tire off', 'Align new tire']",Align new tire,1
5,0.7142857142857143,"['Put bike upside down', 'Take flat tire off', 'Collect tools', 'Get new tire', 'Align new tire']","['Use tools to secure', 'Take flat tire off']",Use tools to secure,0
6,0.8571428571428571,"['Put bike upside down', 'Take flat tire off', 'Collect tools', 'Get new tire', 'Align new tire', 'Use tools to secure']","['Collect tools', 'Flip bike right side up']",Flip bike right side up,1
0,0.0,[],"['Prop bike upside down.', 'Remove wheel.']",Prop bike upside down.,0
1,0.14285714285714285,['Prop bike upside down.'],"['Remove wheel.', 'From wheel pull out inner tube.']",Remove wheel.,0
2,0.2857142857142857,"['Prop bike upside down.', 'Remove wheel.']","['Secure wheel on.', 'From wheel pull out inner tube.']",From wheel pull out inner tube.,1
