task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Tell the child it is time for bed.', 'Tell them you will read a story after they are in bed.']",Tell the child it is time for bed.,0
1,0.2,['Tell the child it is time for bed.'],"['Tell them you will read a story after they are in bed.', 'Read a story to the child.']",Tell them you will read a story after they are in bed.,0
2,0.4,"['Tell the child it is time for bed.', 'Tell them you will read a story after they are in bed.']","['Read a story to the child.', 'Turn off the lights.']",Read a story to the child.,0
3,0.6,"['Tell the child it is time for bed.', 'Tell them you will read a story after they are in bed.', 'Read a story to the child.']","['Tell them goodnight.', 'Tell the child it is time for bed.']",Tell them goodnight.,0
4,0.8,"['Tell the child it is time for bed.', 'Tell them you will read a story after they are in bed.', 'Read a story to the child.', 'Tell them goodnight.']","['Turn off the lights.', 'Tell the child it is time for bed.']",Turn off the lights.,0
0,0.0,[],"['Pick up child', 'Pick up child']",Pick up child,1
1,0.2,['Pick up child'],"['Bring them to bedroom', 'Turn on light']",Bring them to bedroom,0
2,0.4,"['Pick up child', 'Bring them to bedroom']","['Turn on light', 'Tuck child in']",Turn on light,0
3,0.6,"['Pick up child', 'Bring them to bedroom', 'Turn on light']","['Put in bed', 'Pick up child']",Put in bed,0
4,0.8,"['Pick up child', 'Bring them to bedroom', 'Turn on light', 'Put in bed']","['Pick up child', 'Tuck child in']",Tuck child in,1
0,0.0,[],"['Have child get her pajamas on', 'Read her a story']",Have child get her pajamas on,0
1,0.2,['Have child get her pajamas on'],"['Tuck her in', 'Have child brush her teeth']",Have child brush her teeth,1
2,0.4,"['Have child get her pajamas on', 'Have child brush her teeth']","['Pray with her', 'Tuck her in']",Tuck her in,1
3,0.6,"['Have child get her pajamas on', 'Have child brush her teeth', 'Tuck her in']","['Read her a story', 'Have child get her pajamas on']",Read her a story,0
4,0.8,"['Have child get her pajamas on', 'Have child brush her teeth', 'Tuck her in', 'Read her a story']","['Pray with her', 'Have child brush her teeth']",Pray with her,0
0,0.0,[],"['Get your child', 'Get your child']",Get your child,1
1,0.2,['Get your child'],"['Pick up you child', 'Put your childs jammies on']",Put your childs jammies on,1
2,0.4,"['Get your child', 'Put your childs jammies on']","['Place the child in their bed', 'Pick up you child']",Pick up you child,1
3,0.6,"['Get your child', 'Put your childs jammies on', 'Pick up you child']","['Get your child', 'Carry your child to the bedroom']",Carry your child to the bedroom,1
4,0.8,"['Get your child', 'Put your childs jammies on', 'Pick up you child', 'Carry your child to the bedroom']","['Get your child', 'Place the child in their bed']",Place the child in their bed,1
0,0.0,[],"['Tell the child it is bed time.', 'After they climb into bed, give them a hug and kiss']",Tell the child it is bed time.,0
1,0.2,['Tell the child it is bed time.'],"['Decide if a book is to be read this time', 'Follow child to room.']",Follow child to room.,1
2,0.4,"['Tell the child it is bed time.', 'Follow child to room.']","['After they climb into bed, give them a hug and kiss', 'Read book if decided to']","After they climb into bed, give them a hug and kiss",0
3,0.6,"['Tell the child it is bed time.', 'Follow child to room.', 'After they climb into bed, give them a hug and kiss']","['Tell the child it is bed time.', 'Decide if a book is to be read this time']",Decide if a book is to be read this time,1
4,0.8,"['Tell the child it is bed time.', 'Follow child to room.', 'After they climb into bed, give them a hug and kiss', 'Decide if a book is to be read this time']","['Read book if decided to', 'Follow child to room.']",Read book if decided to,0
0,0.0,[],"['Give child a bath', 'Offer small snack or drink']",Give child a bath,0
1,0.2,['Give child a bath'],"['Dress in pajamas', 'Dress in pajamas']",Dress in pajamas,0
2,0.4,"['Give child a bath', 'Dress in pajamas']","['Offer small snack or drink', 'Tuck child in and make sure they are warm and comfortable']",Offer small snack or drink,0
3,0.6,"['Give child a bath', 'Dress in pajamas', 'Offer small snack or drink']","['Read story to child while they lay in bed and listen quietly', 'Give child a bath']",Read story to child while they lay in bed and listen quietly,0
4,0.8,"['Give child a bath', 'Dress in pajamas', 'Offer small snack or drink', 'Read story to child while they lay in bed and listen quietly']","['Tuck child in and make sure they are warm and comfortable', 'Give child a bath']",Tuck child in and make sure they are warm and comfortable,0
0,0.0,[],"['tell the child it is bedtime', 'Bring them to bed']",tell the child it is bedtime,0
1,0.2,['tell the child it is bedtime'],"['Bring them to bed', 'Read a book to them']",Bring them to bed,0
2,0.4,"['tell the child it is bedtime', 'Bring them to bed']","['Read a book to them', 'Say good night']",Read a book to them,0
3,0.6,"['tell the child it is bedtime', 'Bring them to bed', 'Read a book to them']","['tell the child it is bedtime', 'Shut off the light']",Shut off the light,1
4,0.8,"['tell the child it is bedtime', 'Bring them to bed', 'Read a book to them', 'Shut off the light']","['Bring them to bed', 'Say good night']",Say good night,1
0,0.0,[],"[""Tell child it's bedtime"", ""Tell child it's bedtime""]",Tell child it's bedtime,1
