task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0,[],"['Add air to the tire.', 'Get air pump']",Get air pump,1
1,14.285714285714285,['Get air pump'],"['ride bicycle freely', 'Stand the bicycle up']",Stand the bicycle up,1
2,19.047619047619047,"['Get air pump', 'Stand the bicycle up']","['repair tube', 'remove screws so you can remove the entire tire and rim.']",remove screws so you can remove the entire tire and rim.,1
3,23.809523809523807,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.']","['release brakes from bike', 'replace tire on rim']",release brakes from bike,0
4,28.57142857142857,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike']","['You put tube back in tire.', 'buy the same size tube']",buy the same size tube,1
5,33.33333333333333,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike', 'buy the same size tube']","['Pump the tire back up', 'remove old tire']",remove old tire,1
6,38.095238095238095,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike', 'buy the same size tube', 'remove old tire']","['line the valve of the new inner-tube up with to the correct spot on the rim', 'Enjoy your bike!']",line the valve of the new inner-tube up with to the correct spot on the rim,0
7,61.904761904761905,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike', 'buy the same size tube', 'remove old tire', 'line the valve of the new inner-tube up with to the correct spot on the rim']","['Put new tire in its place', 'Get spare tire']",Put new tire in its place,0
8,61.904761904761905,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike', 'buy the same size tube', 'remove old tire', 'line the valve of the new inner-tube up with to the correct spot on the rim', 'Put new tire in its place']","['Secure the tire.', 'Get tire patch kit']",Secure the tire.,0
9,66.66666666666666,"['Get air pump', 'Stand the bicycle up', 'remove screws so you can remove the entire tire and rim.', 'release brakes from bike', 'buy the same size tube', 'remove old tire', 'line the valve of the new inner-tube up with to the correct spot on the rim', 'Put new tire in its place', 'Secure the tire.']","['Hook the chain back on.', 'release brakes from bike']",Hook the chain back on.,0
