task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Place pot in coffee machine', 'Fill coffee pot with water']",Fill coffee pot with water,1
1,0.2,['Fill coffee pot with water'],"['Dump water into coffee machine', 'Place pot in coffee machine']",Dump water into coffee machine,0
2,0.4,"['Fill coffee pot with water', 'Dump water into coffee machine']","['Turn on coffee machine to brew', 'Put coffee grounds in filter']",Put coffee grounds in filter,1
3,0.6,"['Fill coffee pot with water', 'Dump water into coffee machine', 'Put coffee grounds in filter']","['Place pot in coffee machine', 'Fill coffee pot with water']",Place pot in coffee machine,0
4,0.8,"['Fill coffee pot with water', 'Dump water into coffee machine', 'Put coffee grounds in filter', 'Place pot in coffee machine']","['Fill coffee pot with water', 'Turn on coffee machine to brew']",Turn on coffee machine to brew,1
0,0.0,[],"['Gather coffee and coffee filter', 'Decide how many cups of coffee you want to make']",Decide how many cups of coffee you want to make,1
1,0.2,['Decide how many cups of coffee you want to make'],"['Put water in coffee maker', 'Gather coffee and coffee filter']",Gather coffee and coffee filter,1
2,0.4,"['Decide how many cups of coffee you want to make', 'Gather coffee and coffee filter']","['Fill coffee urn with desired amount of water', 'Put filter in coffee maker']",Fill coffee urn with desired amount of water,0
3,0.6,"['Decide how many cups of coffee you want to make', 'Gather coffee and coffee filter', 'Fill coffee urn with desired amount of water']","['Decide how many cups of coffee you want to make', 'Put water in coffee maker']",Put water in coffee maker,1
4,0.8,"['Decide how many cups of coffee you want to make', 'Gather coffee and coffee filter', 'Fill coffee urn with desired amount of water', 'Put water in coffee maker']","['Decide how many cups of coffee you want to make', 'Put filter in coffee maker']",Put filter in coffee maker,1
0,0.0,[],"['Wait for coffee maker to finish brewing.', 'Fill the coffee maker with water.']",Fill the coffee maker with water.,1
1,0.2,['Fill the coffee maker with water.'],"['Wait for coffee maker to finish brewing.', 'Put filter in basket.']",Put filter in basket.,1
2,0.4,"['Fill the coffee maker with water.', 'Put filter in basket.']","['Wait for coffee maker to finish brewing.', 'Fill basket with ground coffee.']",Fill basket with ground coffee.,1
3,0.6,"['Fill the coffee maker with water.', 'Put filter in basket.', 'Fill basket with ground coffee.']","['Fill the coffee maker with water.', 'Plug in coffee maker.']",Plug in coffee maker.,1
4,0.8,"['Fill the coffee maker with water.', 'Put filter in basket.', 'Fill basket with ground coffee.', 'Plug in coffee maker.']","['Wait for coffee maker to finish brewing.', 'Fill the coffee maker with water.']",Wait for coffee maker to finish brewing.,0
0,0.0,[],"['Fill carafe with water', 'Pour in top of coffee maker']",Fill carafe with water,0
1,0.2,['Fill carafe with water'],"['Throw away old filter', 'Pour in top of coffee maker']",Pour in top of coffee maker,1
2,0.4,"['Fill carafe with water', 'Pour in top of coffee maker']","['Put carafe on burner', 'Put new filter in']",Put carafe on burner,0
3,0.6,"['Fill carafe with water', 'Pour in top of coffee maker', 'Put carafe on burner']","['Throw away old filter', 'Fill carafe with water']",Throw away old filter,0
4,0.8,"['Fill carafe with water', 'Pour in top of coffee maker', 'Put carafe on burner', 'Throw away old filter']","['Put new filter in', 'Pour in top of coffee maker']",Put new filter in,0
0,0.0,[],"['Replace filter holder cup', 'Locate coffee maker.']",Locate coffee maker.,1
1,0.2,['Locate coffee maker.'],"['Remove the filter holder cup.', 'Replace filter holder cup']",Remove the filter holder cup.,0
2,0.4,"['Locate coffee maker.', 'Remove the filter holder cup.']","['Dispose of old filter if necessary', 'Place new filter in filter cup']",Dispose of old filter if necessary,0
3,0.6,"['Locate coffee maker.', 'Remove the filter holder cup.', 'Dispose of old filter if necessary']","['Locate coffee maker.', 'Replace filter holder cup']",Replace filter holder cup,1
4,0.8,"['Locate coffee maker.', 'Remove the filter holder cup.', 'Dispose of old filter if necessary', 'Replace filter holder cup']","['Remove the filter holder cup.', 'Place new filter in filter cup']",Place new filter in filter cup,1
0,0.0,[],"['fill coffee pot with water', 'add coffee to filter']",fill coffee pot with water,0
1,0.2,['fill coffee pot with water'],"['add coffee to filter', 'put filter in coffee pot']",put filter in coffee pot,1
2,0.4,"['fill coffee pot with water', 'put filter in coffee pot']","['add coffee to filter', 'turn on coffee pot']",add coffee to filter,0
3,0.6,"['fill coffee pot with water', 'put filter in coffee pot', 'add coffee to filter']","['fill coffee pot with water', 'plug in coffee pot']",plug in coffee pot,1
4,0.8,"['fill coffee pot with water', 'put filter in coffee pot', 'add coffee to filter', 'plug in coffee pot']","['put filter in coffee pot', 'turn on coffee pot']",turn on coffee pot,1
0,0.0,[],"['get coffee bean', 'fill coffee grinder']",get coffee bean,0
1,0.2,['get coffee bean'],"['get coffee bean', 'fill coffee grinder']",fill coffee grinder,1
2,0.4,"['get coffee bean', 'fill coffee grinder']","['Grind them finely', 'fill water reservoir']",Grind them finely,0
3,0.6,"['get coffee bean', 'fill coffee grinder', 'Grind them finely']","['get coffee maker', 'get coffee bean']",get coffee maker,0
4,0.8,"['get coffee bean', 'fill coffee grinder', 'Grind them finely', 'get coffee maker']","['fill water reservoir', 'fill coffee grinder']",fill water reservoir,0
0,0.0,[],"['Get the coffee from the cabinet', 'Pour the boiling water into a cup']",Get the coffee from the cabinet,0
1,0.2,['Get the coffee from the cabinet'],"['Pour sugar into the coffee', 'Boil the water']",Boil the water,1
2,0.4,"['Get the coffee from the cabinet', 'Boil the water']","['Pour sugar into the coffee', 'Pour the boiling water into a cup']",Pour the boiling water into a cup,1
3,0.6,"['Get the coffee from the cabinet', 'Boil the water', 'Pour the boiling water into a cup']","['Get the coffee from the cabinet', 'Spoon some coffee into the cup']",Spoon some coffee into the cup,1
4,0.8,"['Get the coffee from the cabinet', 'Boil the water', 'Pour the boiling water into a cup', 'Spoon some coffee into the cup']","['Pour sugar into the coffee', 'Get the coffee from the cabinet']",Pour sugar into the coffee,0
0,0.0,[],"['Buy coffee maker', 'Buy coffee grounds']",Buy coffee grounds,1
1,0.2,['Buy coffee grounds'],"['Put filter in maker', 'Buy coffee maker']",Buy coffee maker,1
2,0.4,"['Buy coffee grounds', 'Buy coffee maker']","['Buy coffee filters', 'Put grounds in filter']",Buy coffee filters,0
3,0.6,"['Buy coffee grounds', 'Buy coffee maker', 'Buy coffee filters']","['Put filter in maker', 'Buy coffee grounds']",Put filter in maker,0
4,0.8,"['Buy coffee grounds', 'Buy coffee maker', 'Buy coffee filters', 'Put filter in maker']","['Buy coffee maker', 'Put grounds in filter']",Put grounds in filter,1
0,0.0,[],"['Add water to the machine', 'Get coffee']",Get coffee,1
1,0.2,['Get coffee'],"['Get coffee filter', 'Get coffee filter']",Get coffee filter,1
2,0.4,"['Get coffee', 'Get coffee filter']","['Put filter with coffee into the machine', 'Turn on the coffee machine with pot in holster']",Put filter with coffee into the machine,0
3,0.6,"['Get coffee', 'Get coffee filter', 'Put filter with coffee into the machine']","['Add water to the machine', 'Get coffee']",Add water to the machine,0
4,0.8,"['Get coffee', 'Get coffee filter', 'Put filter with coffee into the machine', 'Add water to the machine']","['Turn on the coffee machine with pot in holster', 'Get coffee']",Turn on the coffee machine with pot in holster,0
0,0.0,[],"['Open coffee can', 'Fill coffee pot with water']",Fill coffee pot with water,1
1,0.2,['Fill coffee pot with water'],"['Open coffee can', 'Put water in reservoir']",Put water in reservoir,1
2,0.4,"['Fill coffee pot with water', 'Put water in reservoir']","['Place filter in basket', 'Scoop grounds into basket']",Place filter in basket,0
3,0.6,"['Fill coffee pot with water', 'Put water in reservoir', 'Place filter in basket']","['Open coffee can', 'Fill coffee pot with water']",Open coffee can,0
4,0.8,"['Fill coffee pot with water', 'Put water in reservoir', 'Place filter in basket', 'Open coffee can']","['Fill coffee pot with water', 'Scoop grounds into basket']",Scoop grounds into basket,1
0,0.0,[],"['Open coffee can.', 'Pour the water into a pan.']",Pour the water into a pan.,1
1,0.2,['Pour the water into a pan.'],"['Heat the stove.', 'Open coffee can.']",Heat the stove.,0
2,0.4,"['Pour the water into a pan.', 'Heat the stove.']","['Open coffee can.', 'Rip a pack of sugar.']",Open coffee can.,0
3,0.6,"['Pour the water into a pan.', 'Heat the stove.', 'Open coffee can.']","['Pour a spoonful of coffee power into cup.', 'Pour the water into a pan.']",Pour a spoonful of coffee power into cup.,0
4,0.8,"['Pour the water into a pan.', 'Heat the stove.', 'Open coffee can.', 'Pour a spoonful of coffee power into cup.']","['Rip a pack of sugar.', 'Pour the water into a pan.']",Rip a pack of sugar.,0
0,0.0,[],"['Put Milk, sugar, and coffee in respective compartments', 'Go to kitchen']",Go to kitchen,1
1,0.2,['Go to kitchen'],"['Switch on the coffee maker', 'Go to kitchen']",Switch on the coffee maker,0
2,0.4,"['Go to kitchen', 'Switch on the coffee maker']","['Put Milk, sugar, and coffee in respective compartments', 'Let the coffee brew']","Put Milk, sugar, and coffee in respective compartments",0
3,0.6,"['Go to kitchen', 'Switch on the coffee maker', 'Put Milk, sugar, and coffee in respective compartments']","['Press the desired settings buttons', 'Go to kitchen']",Press the desired settings buttons,0
4,0.8,"['Go to kitchen', 'Switch on the coffee maker', 'Put Milk, sugar, and coffee in respective compartments', 'Press the desired settings buttons']","['Go to kitchen', 'Let the coffee brew']",Let the coffee brew,1
0,0.0,[],"['Get coffee.', 'Get coffee.']",Get coffee.,0
1,0.2,['Get coffee.'],"['Put coffee in coffee filter.', 'Put container for coffee in coffee maker under spout.']",Put coffee in coffee filter.,0
2,0.4,"['Get coffee.', 'Put coffee in coffee filter.']","['Turn on coffee maker.', 'Put water in coffee maker.']",Put water in coffee maker.,1
3,0.6,"['Get coffee.', 'Put coffee in coffee filter.', 'Put water in coffee maker.']","['Put container for coffee in coffee maker under spout.', 'Get coffee.']",Put container for coffee in coffee maker under spout.,0
4,0.8,"['Get coffee.', 'Put coffee in coffee filter.', 'Put water in coffee maker.', 'Put container for coffee in coffee maker under spout.']","['Turn on coffee maker.', 'Get coffee.']",Turn on coffee maker.,0
0,0.0,[],"['Put water in machine', 'Put water in machine']",Put water in machine,0
1,0.2,['Put water in machine'],"['Put coffee grinds in machine', 'Put coffee grinds in machine']",Put coffee grinds in machine,1
2,0.4,"['Put water in machine', 'Put coffee grinds in machine']","['Turn on machine', 'Drink the coffee']",Turn on machine,0
3,0.6,"['Put water in machine', 'Put coffee grinds in machine', 'Turn on machine']","['Put water in machine', 'Wait for coffee to be done']",Wait for coffee to be done,1
4,0.8,"['Put water in machine', 'Put coffee grinds in machine', 'Turn on machine', 'Wait for coffee to be done']","['Drink the coffee', 'Put coffee grinds in machine']",Drink the coffee,0
0,0.0,[],"['Get a mug, grounds, and filter', 'Fill Coffee pot with water']","Get a mug, grounds, and filter",0
1,0.2,"['Get a mug, grounds, and filter']","['Place coffee pot in brewer', 'Place filter in coffee pot.']",Place coffee pot in brewer,0
2,0.4,"['Get a mug, grounds, and filter', 'Place coffee pot in brewer']","['Fill Coffee pot with water', 'Place a scoop of grounds into the filter']",Fill Coffee pot with water,0
3,0.6,"['Get a mug, grounds, and filter', 'Place coffee pot in brewer', 'Fill Coffee pot with water']","['Get a mug, grounds, and filter', 'Place filter in coffee pot.']",Place filter in coffee pot.,1
4,0.8,"['Get a mug, grounds, and filter', 'Place coffee pot in brewer', 'Fill Coffee pot with water', 'Place filter in coffee pot.']","['Place a scoop of grounds into the filter', 'Place coffee pot in brewer']",Place a scoop of grounds into the filter,0
0,0.0,[],"['Place the filter in the coffee maker.', 'Get some coffee']",Get some coffee,1
1,0.2,['Get some coffee'],"['Get a filter.', 'Get some coffee']",Get a filter.,0
2,0.4,"['Get some coffee', 'Get a filter.']","['Pour water into the reservoir.', 'Place the filter in the coffee maker.']",Place the filter in the coffee maker.,1
3,0.6,"['Get some coffee', 'Get a filter.', 'Place the filter in the coffee maker.']","['Get some coffee', 'Place the coffee into the filter.']",Place the coffee into the filter.,1
4,0.8,"['Get some coffee', 'Get a filter.', 'Place the filter in the coffee maker.', 'Place the coffee into the filter.']","['Pour water into the reservoir.', 'Get some coffee']",Pour water into the reservoir.,0
0,0.0,[],"['Pour cup of water in a Bowl', 'Mixed it well']",Pour cup of water in a Bowl,0
1,0.2,['Pour cup of water in a Bowl'],"['Mixed it well', 'Put into the Gas stove and make that hot']",Put into the Gas stove and make that hot,1
2,0.4,"['Pour cup of water in a Bowl', 'Put into the Gas stove and make that hot']","['Put one or tow teaspoon of coffee powder in that bowl', 'Now taste the coffee, how taste it is']",Put one or tow teaspoon of coffee powder in that bowl,0
3,0.6,"['Pour cup of water in a Bowl', 'Put into the Gas stove and make that hot', 'Put one or tow teaspoon of coffee powder in that bowl']","['Mixed it well', 'Pour cup of water in a Bowl']",Mixed it well,0
4,0.8,"['Pour cup of water in a Bowl', 'Put into the Gas stove and make that hot', 'Put one or tow teaspoon of coffee powder in that bowl', 'Mixed it well']","['Pour cup of water in a Bowl', 'Now taste the coffee, how taste it is']","Now taste the coffee, how taste it is",1
0,0.0,[],"['Take a dish and wash', 'Take a dish and wash']",Take a dish and wash,0
1,0.2,['Take a dish and wash'],"['Put one cup of milk and little water', 'Add required amount of coffee powder']",Put one cup of milk and little water,0
2,0.4,"['Take a dish and wash', 'Put one cup of milk and little water']","['Place the dish on the gas stove and ignite', 'Add a teaspoon of sugar']",Add a teaspoon of sugar,1
3,0.6,"['Take a dish and wash', 'Put one cup of milk and little water', 'Add a teaspoon of sugar']","['Add required amount of coffee powder', 'Take a dish and wash']",Add required amount of coffee powder,0
4,0.8,"['Take a dish and wash', 'Put one cup of milk and little water', 'Add a teaspoon of sugar', 'Add required amount of coffee powder']","['Place the dish on the gas stove and ignite', 'Take a dish and wash']",Place the dish on the gas stove and ignite,0
0,0.0,[],"['Turn on coffee maker', 'put in machine']",Turn on coffee maker,0
1,0.2,['Turn on coffee maker'],"['fill pot with water', 'put in coffee filter']",fill pot with water,0
2,0.4,"['Turn on coffee maker', 'fill pot with water']","['measure and pour ground coffee into machine', 'put in machine']",put in machine,1
3,0.6,"['Turn on coffee maker', 'fill pot with water', 'put in machine']","['put in coffee filter', 'Turn on coffee maker']",put in coffee filter,0
4,0.8,"['Turn on coffee maker', 'fill pot with water', 'put in machine', 'put in coffee filter']","['fill pot with water', 'measure and pour ground coffee into machine']",measure and pour ground coffee into machine,1
0,0.0,[],"['Get coffee out', 'fill pot with water']",Get coffee out,0
1,0.2,['Get coffee out'],"['get a filter', 'place in the basket put one table spoon per 2 cups']",get a filter,0
2,0.4,"['Get coffee out', 'get a filter']","['pour water into the top of coffee pot', 'place in the basket put one table spoon per 2 cups']",place in the basket put one table spoon per 2 cups,1
3,0.6,"['Get coffee out', 'get a filter', 'place in the basket put one table spoon per 2 cups']","['Get coffee out', 'fill pot with water']",fill pot with water,1
4,0.8,"['Get coffee out', 'get a filter', 'place in the basket put one table spoon per 2 cups', 'fill pot with water']","['pour water into the top of coffee pot', 'get a filter']",pour water into the top of coffee pot,0
0,0.0,[],"['Fill coffee pot with water.', 'Fill coffee pot with water.']",Fill coffee pot with water.,1
1,0.2,['Fill coffee pot with water.'],"['Open filter tray, remove old filter and replace.', 'Measure ground coffee into filter.']","Open filter tray, remove old filter and replace.",0
2,0.4,"['Fill coffee pot with water.', 'Open filter tray, remove old filter and replace.']","['Hit brew button.', 'Measure ground coffee into filter.']",Measure ground coffee into filter.,1
3,0.6,"['Fill coffee pot with water.', 'Open filter tray, remove old filter and replace.', 'Measure ground coffee into filter.']","['Close filter.', 'Fill coffee pot with water.']",Close filter.,0
4,0.8,"['Fill coffee pot with water.', 'Open filter tray, remove old filter and replace.', 'Measure ground coffee into filter.', 'Close filter.']","['Fill coffee pot with water.', 'Hit brew button.']",Hit brew button.,1
0,0.0,[],"['Pick coffee flavor', 'Put mug under dispenser']",Pick coffee flavor,0
1,0.2,['Pick coffee flavor'],"['Get coffee mug', 'Load flavoring']",Get coffee mug,0
2,0.4,"['Pick coffee flavor', 'Get coffee mug']","['Put mug under dispenser', 'Press start']",Put mug under dispenser,0
3,0.6,"['Pick coffee flavor', 'Get coffee mug', 'Put mug under dispenser']","['Load flavoring', 'Pick coffee flavor']",Load flavoring,0
4,0.8,"['Pick coffee flavor', 'Get coffee mug', 'Put mug under dispenser', 'Load flavoring']","['Pick coffee flavor', 'Press start']",Press start,1
0,0.0,[],"['Grind coffee beans', 'wait']",Grind coffee beans,0
1,0.2,['Grind coffee beans'],"['Put boiling water in coffee press', 'Boil water']",Boil water,1
2,0.4,"['Grind coffee beans', 'Boil water']","['wait', 'Put grounds in coffee press']",Put grounds in coffee press,1
3,0.6,"['Grind coffee beans', 'Boil water', 'Put grounds in coffee press']","['Put boiling water in coffee press', 'Grind coffee beans']",Put boiling water in coffee press,0
4,0.8,"['Grind coffee beans', 'Boil water', 'Put grounds in coffee press', 'Put boiling water in coffee press']","['Grind coffee beans', 'wait']",wait,1
0,0.0,[],"['Add measured amount of water to the carafe', 'Get coffee']",Get coffee,1
1,0.2,['Get coffee'],"['Put coffee filter into coffee machine', 'Open container of coffee']",Put coffee filter into coffee machine,0
2,0.4,"['Get coffee', 'Put coffee filter into coffee machine']","['Add measured amount of water to the carafe', 'Open container of coffee']",Open container of coffee,1
3,0.6,"['Get coffee', 'Put coffee filter into coffee machine', 'Open container of coffee']","['Add measured amount of coffee to coffee filter', 'Get coffee']",Add measured amount of coffee to coffee filter,0
4,0.8,"['Get coffee', 'Put coffee filter into coffee machine', 'Open container of coffee', 'Add measured amount of coffee to coffee filter']","['Add measured amount of water to the carafe', 'Get coffee']",Add measured amount of water to the carafe,0
0,0.0,[],"['Pour water into coffee maker', 'Put coffee filter in coffee maker filter basket']",Put coffee filter in coffee maker filter basket,1
1,0.2,['Put coffee filter in coffee maker filter basket'],"['Put desired amount of coffee into filter', 'Open coffee can']",Open coffee can,1
2,0.4,"['Put coffee filter in coffee maker filter basket', 'Open coffee can']","['Pour water into coffee maker', 'Put desired amount of coffee into filter']",Put desired amount of coffee into filter,1
3,0.6,"['Put coffee filter in coffee maker filter basket', 'Open coffee can', 'Put desired amount of coffee into filter']","['Put coffee filter in coffee maker filter basket', 'Fill coffee carafe with water']",Fill coffee carafe with water,1
4,0.8,"['Put coffee filter in coffee maker filter basket', 'Open coffee can', 'Put desired amount of coffee into filter', 'Fill coffee carafe with water']","['Pour water into coffee maker', 'Put coffee filter in coffee maker filter basket']",Pour water into coffee maker,0
0,0.0,[],"['To make good coffee first choose good beans.', 'Smell the good aroma when finished roasting.']",To make good coffee first choose good beans.,0
1,0.2,['To make good coffee first choose good beans.'],"['Roast the beans in correct temperature.', 'Now grind the roasted beans into powder and store it in a dry air tight container.']",Roast the beans in correct temperature.,0
2,0.4,"['To make good coffee first choose good beans.', 'Roast the beans in correct temperature.']","['When you want to have a nice coffee take the coffee powder from container.', 'Smell the good aroma when finished roasting.']",Smell the good aroma when finished roasting.,1
3,0.6,"['To make good coffee first choose good beans.', 'Roast the beans in correct temperature.', 'Smell the good aroma when finished roasting.']","['To make good coffee first choose good beans.', 'Now grind the roasted beans into powder and store it in a dry air tight container.']",Now grind the roasted beans into powder and store it in a dry air tight container.,1
