task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Gather wood in a location outside', 'Get a lighter or matches']",Gather wood in a location outside,0
1,0.2,['Gather wood in a location outside'],"['Stack wood in a pile', 'Stack wood in a pile']",Stack wood in a pile,1
2,0.4,"['Gather wood in a location outside', 'Stack wood in a pile']","['Light wood pile with a lighter', 'Get a lighter or matches']",Get a lighter or matches,1
3,0.6,"['Gather wood in a location outside', 'Stack wood in a pile', 'Get a lighter or matches']","['Gather wood in a location outside', 'Spray lighter fluid on wood pile']",Spray lighter fluid on wood pile,1
4,0.8,"['Gather wood in a location outside', 'Stack wood in a pile', 'Get a lighter or matches', 'Spray lighter fluid on wood pile']","['Gather wood in a location outside', 'Light wood pile with a lighter']",Light wood pile with a lighter,1
0,0.0,[],"['Gather dry sticks of various sizes', 'Find an open area of ground.']",Find an open area of ground.,1
1,0.2,['Find an open area of ground.'],"['Gather rocks and place in a 3 ft circle on open ground.', 'Gather dry sticks of various sizes']",Gather rocks and place in a 3 ft circle on open ground.,0
2,0.4,"['Find an open area of ground.', 'Gather rocks and place in a 3 ft circle on open ground.']","['Gather dry sticks of various sizes', 'Light a match']",Gather dry sticks of various sizes,0
3,0.6,"['Find an open area of ground.', 'Gather rocks and place in a 3 ft circle on open ground.', 'Gather dry sticks of various sizes']","['Find an open area of ground.', 'Place the sticks in a pile, on the ground, inside the circle']","Place the sticks in a pile, on the ground, inside the circle",1
4,0.8,"['Find an open area of ground.', 'Gather rocks and place in a 3 ft circle on open ground.', 'Gather dry sticks of various sizes', 'Place the sticks in a pile, on the ground, inside the circle']","['Find an open area of ground.', 'Light a match']",Light a match,1
0,0.0,[],"['Place the fuel woods', 'Pick a spot']",Pick a spot,1
1,0.2,['Pick a spot'],"['Place the fuel woods', 'Grab a bunch of dry twigs']",Grab a bunch of dry twigs,1
2,0.4,"['Pick a spot', 'Grab a bunch of dry twigs']","['Dig a shallow pit.', 'Place the fuel woods']",Dig a shallow pit.,0
3,0.6,"['Pick a spot', 'Grab a bunch of dry twigs', 'Dig a shallow pit.']","['Pick a spot', 'Surround the pit with bricks or stones']",Surround the pit with bricks or stones,1
4,0.8,"['Pick a spot', 'Grab a bunch of dry twigs', 'Dig a shallow pit.', 'Surround the pit with bricks or stones']","['Place the fuel woods', 'Grab a bunch of dry twigs']",Place the fuel woods,0
0,0.0,[],"['Gather wood', 'Add more wood to keep fire going']",Gather wood,0
1,0.2,['Gather wood'],"['Place wood in pile', 'Gather wood']",Place wood in pile,0
2,0.4,"['Gather wood', 'Place wood in pile']","['Light wood on fire', 'Help fire catch on']",Light wood on fire,0
3,0.6,"['Gather wood', 'Place wood in pile', 'Light wood on fire']","['Gather wood', 'Add more wood to keep fire going']",Add more wood to keep fire going,1
4,0.8,"['Gather wood', 'Place wood in pile', 'Light wood on fire', 'Add more wood to keep fire going']","['Place wood in pile', 'Help fire catch on']",Help fire catch on,1
0,0.0,[],"['Clear an area', 'Get lighter']",Clear an area,0
1,0.2,['Clear an area'],"['Get newspaper', 'Get kindling']",Get kindling,1
2,0.4,"['Clear an area', 'Get kindling']","['Get newspaper', 'Arrange kindling in a pile']",Arrange kindling in a pile,1
3,0.6,"['Clear an area', 'Get kindling', 'Arrange kindling in a pile']","['Clear an area', 'Get lighter']",Get lighter,1
4,0.8,"['Clear an area', 'Get kindling', 'Arrange kindling in a pile', 'Get lighter']","['Get kindling', 'Get newspaper']",Get newspaper,1
0,0.0,[],"['Gather wood and newspaper', 'Place newspaper on ground']",Gather wood and newspaper,0
1,0.2,['Gather wood and newspaper'],"['Place newspaper on ground', 'Place newspaper on ground']",Place newspaper on ground,1
2,0.4,"['Gather wood and newspaper', 'Place newspaper on ground']","['Blow gently on fire as it begins to catch', 'Put small kindling on top of newspaper']",Put small kindling on top of newspaper,1
3,0.6,"['Gather wood and newspaper', 'Place newspaper on ground', 'Put small kindling on top of newspaper']","['Gather wood and newspaper', 'Use lighter or match to light paper on fire']",Use lighter or match to light paper on fire,1
4,0.8,"['Gather wood and newspaper', 'Place newspaper on ground', 'Put small kindling on top of newspaper', 'Use lighter or match to light paper on fire']","['Blow gently on fire as it begins to catch', 'Gather wood and newspaper']",Blow gently on fire as it begins to catch,0
0,0.0,[],"['Once your fire is burning well, add larger sticks', 'Gather sticks and logs for your fire']",Gather sticks and logs for your fire,1
1,0.2,['Gather sticks and logs for your fire'],"['Gather sticks and logs for your fire', 'Start your fire by building the classic pyramid of twigs']",Start your fire by building the classic pyramid of twigs,1
2,0.4,"['Gather sticks and logs for your fire', 'Start your fire by building the classic pyramid of twigs']","['Stuff some rolled paper inside your pyramid', 'Once your fire is burning well, add larger sticks']",Stuff some rolled paper inside your pyramid,0
3,0.6,"['Gather sticks and logs for your fire', 'Start your fire by building the classic pyramid of twigs', 'Stuff some rolled paper inside your pyramid']","['Light the paper and blow until the twigs catch', 'Gather sticks and logs for your fire']",Light the paper and blow until the twigs catch,0
4,0.8,"['Gather sticks and logs for your fire', 'Start your fire by building the classic pyramid of twigs', 'Stuff some rolled paper inside your pyramid', 'Light the paper and blow until the twigs catch']","['Gather sticks and logs for your fire', 'Once your fire is burning well, add larger sticks']","Once your fire is burning well, add larger sticks",1
0,0.0,[],"['Get wood', 'Place wood vertically supporting each other']",Get wood,0
1,0.2,['Get wood'],"['Place wood vertically supporting each other', 'Get matchbox']",Get matchbox,1
2,0.4,"['Get wood', 'Get matchbox']","['Place wood vertically supporting each other', 'Put some newspaper in the wood']",Place wood vertically supporting each other,0
3,0.6,"['Get wood', 'Get matchbox', 'Place wood vertically supporting each other']","['Get wood', 'Light the match stick']",Light the match stick,1
4,0.8,"['Get wood', 'Get matchbox', 'Place wood vertically supporting each other', 'Light the match stick']","['Get matchbox', 'Put some newspaper in the wood']",Put some newspaper in the wood,1
0,0.0,[],"['Gather firewood', 'throw match or light paper and throw it on the wood']",Gather firewood,0
1,0.2,['Gather firewood'],"['Pile firewood outdoors', 'Provide oxygen to the fire until the embers are hot enough to consume the wood']",Pile firewood outdoors,0
2,0.4,"['Gather firewood', 'Pile firewood outdoors']","['Optional, put accelerant on the fire', 'Provide oxygen to the fire until the embers are hot enough to consume the wood']","Optional, put accelerant on the fire",0
3,0.6,"['Gather firewood', 'Pile firewood outdoors', 'Optional, put accelerant on the fire']","['throw match or light paper and throw it on the wood', 'Gather firewood']",throw match or light paper and throw it on the wood,0
4,0.8,"['Gather firewood', 'Pile firewood outdoors', 'Optional, put accelerant on the fire', 'throw match or light paper and throw it on the wood']","['Gather firewood', 'Provide oxygen to the fire until the embers are hot enough to consume the wood']",Provide oxygen to the fire until the embers are hot enough to consume the wood,1
0,0.0,[],"['Use a match or lighter to light tinder, place it under the kindling', 'dig/clear an area so the fire remains in control']",dig/clear an area so the fire remains in control,1
1,0.2,['dig/clear an area so the fire remains in control'],"[""place kindling in such a fashion that you'll be able to put the tinder underneath"", 'If flame goes out, blow on coals to reignite']",place kindling in such a fashion that you'll be able to put the tinder underneath,0
2,0.4,"['dig/clear an area so the fire remains in control', ""place kindling in such a fashion that you'll be able to put the tinder underneath""]","['If flame goes out, blow on coals to reignite', 'Use a match or lighter to light tinder, place it under the kindling']","Use a match or lighter to light tinder, place it under the kindling",1
3,0.6,"['dig/clear an area so the fire remains in control', ""place kindling in such a fashion that you'll be able to put the tinder underneath"", 'Use a match or lighter to light tinder, place it under the kindling']","['add progressively larger wood to the stack', 'dig/clear an area so the fire remains in control']",add progressively larger wood to the stack,0
4,0.8,"['dig/clear an area so the fire remains in control', ""place kindling in such a fashion that you'll be able to put the tinder underneath"", 'Use a match or lighter to light tinder, place it under the kindling', 'add progressively larger wood to the stack']","['If flame goes out, blow on coals to reignite', 'dig/clear an area so the fire remains in control']","If flame goes out, blow on coals to reignite",0
