Scenario,Language Model,Success Rate
baking a cake,gpt-j-6B,50.488388318548786
baking a cake,gpt-neo-1.3B,49.765772949267415
baking a cake,Llama-2-7b-chat-hf,63.510415628426195
baking a cake,Mistral-7B-v0.1,83.085816804545
borrowing a book from the library,gpt-j-6B,54.76903472443453
borrowing a book from the library,gpt-neo-1.3B,49.28321121376234
borrowing a book from the library,Llama-2-7b-chat-hf,61.21057661675693
borrowing a book from the library,Mistral-7B-v0.1,78.98693851545077
changing batteries in an alarm clock,gpt-j-6B,53.10821181887951
changing batteries in an alarm clock,gpt-neo-1.3B,49.390295898354225
changing batteries in an alarm clock,Llama-2-7b-chat-hf,56.271851283363176
changing batteries in an alarm clock,Mistral-7B-v0.1,67.5279270060544
checking in at an airport,gpt-j-6B,50.97640717504639
checking in at an airport,gpt-neo-1.3B,49.03242908898118
checking in at an airport,Llama-2-7b-chat-hf,53.4063797826279
checking in at an airport,Mistral-7B-v0.1,61.19996465494389
cleaning up a flat,gpt-j-6B,51.1545544694716
cleaning up a flat,gpt-neo-1.3B,49.70959059356849
cleaning up a flat,Llama-2-7b-chat-hf,55.12820512820513
cleaning up a flat,Mistral-7B-v0.1,59.49851253718657
cooking pasta,gpt-j-6B,50.01953277599812
cooking pasta,gpt-neo-1.3B,49.730447691225876
cooking pasta,Llama-2-7b-chat-hf,64.22376748183451
cooking pasta,Mistral-7B-v0.1,71.56809125712947
doing laundry,gpt-neo-1.3B,50.07023458350892
doing laundry,Llama-2-7b-chat-hf,58.32279814580699
doing laundry,Mistral-7B-v0.1,69.70080067425201
eating in a fast food restaurant,gpt-neo-1.3B,49.46695095948827
eating in a fast food restaurant,Llama-2-7b-chat-hf,56.09051516610496
eating in a fast food restaurant,Mistral-7B-v0.1,77.49501341220166
flying in an airplane,gpt-neo-1.3B,49.77104058108321
flying in an airplane,Llama-2-7b-chat-hf,62.60066319279962
flying in an airplane,Meta-Llama-3.1-8B,62.35201262825572
flying in an airplane,Mistral-7B-v0.1,76.35796620874783
fueling a car,gpt-j-6B,49.28176795580111
