task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Go to counter', 'Return ball']",Go to counter,0
1,0.08333333333333333,['Go to counter'],"['Get a lane', 'Return shoes']",Get a lane,0
2,0.16666666666666666,"['Go to counter', 'Get a lane']","['Take off shoes', 'Get shoes']",Get shoes,1
3,0.25,"['Go to counter', 'Get a lane', 'Get shoes']","['Get ball', 'Go to counter']",Get ball,0
4,0.3333333333333333,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball']","['Take off shoes', 'Go to lane']",Go to lane,1
5,0.4166666666666667,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane']","['Get shoes', 'Put shoes on']",Put shoes on,1
6,0.5,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on']","['Take off shoes', 'Put names in score computer']",Put names in score computer,1
7,0.5833333333333334,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on', 'Put names in score computer']","['Return ball', 'Play x amount of games']",Play x amount of games,1
8,0.6666666666666666,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on', 'Put names in score computer', 'Play x amount of games']","['Take off shoes', 'Return shoes']",Take off shoes,0
9,0.75,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on', 'Put names in score computer', 'Play x amount of games', 'Take off shoes']","['Get ball', 'Return ball']",Return ball,1
10,0.8333333333333334,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on', 'Put names in score computer', 'Play x amount of games', 'Take off shoes', 'Return ball']","['Return shoes', 'Get shoes']",Return shoes,0
11,0.9166666666666666,"['Go to counter', 'Get a lane', 'Get shoes', 'Get ball', 'Go to lane', 'Put shoes on', 'Put names in score computer', 'Play x amount of games', 'Take off shoes', 'Return ball', 'Return shoes']","['Leave', 'Get a lane']",Leave,0
0,0.0,[],"['Fill in names on the score sheet.', 'Call someone to bowl with.']",Call someone to bowl with.,1
1,0.08333333333333333,['Call someone to bowl with.'],"['Fill in names on the score sheet.', 'Meet bowling partner at bowling alley.']",Meet bowling partner at bowling alley.,1
2,0.16666666666666666,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.']","['Pay for bowling.', 'Keep score.']",Pay for bowling.,0
3,0.25,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.']","['Call someone to bowl with.', 'Get shoes.']",Get shoes.,1
4,0.3333333333333333,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.']","['Pick out a bowling ball.', 'Return ball to where you got it.']",Pick out a bowling ball.,0
5,0.4166666666666667,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.']","['When finished turn in shoes.', 'Go to designated lane.']",Go to designated lane.,1
6,0.5,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.']","['Keep score.', 'Put on shoes.']",Put on shoes.,1
7,0.5833333333333334,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.', 'Put on shoes.']","['Fill in names on the score sheet.', 'Get shoes.']",Fill in names on the score sheet.,0
8,0.6666666666666666,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.', 'Put on shoes.', 'Fill in names on the score sheet.']","['When finished turn in shoes.', 'Start bowling.']",Start bowling.,1
9,0.75,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.', 'Put on shoes.', 'Fill in names on the score sheet.', 'Start bowling.']","['Keep score.', 'Pay for bowling.']",Keep score.,0
10,0.8333333333333334,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.', 'Put on shoes.', 'Fill in names on the score sheet.', 'Start bowling.', 'Keep score.']","['When finished turn in shoes.', 'Put on shoes.']",When finished turn in shoes.,0
11,0.9166666666666666,"['Call someone to bowl with.', 'Meet bowling partner at bowling alley.', 'Pay for bowling.', 'Get shoes.', 'Pick out a bowling ball.', 'Go to designated lane.', 'Put on shoes.', 'Fill in names on the score sheet.', 'Start bowling.', 'Keep score.', 'When finished turn in shoes.']","['Fill in names on the score sheet.', 'Return ball to where you got it.']",Return ball to where you got it.,1
0,0.0,[],"['Go to the bowling alley', 'Put bowling shoes on']",Go to the bowling alley,0
1,0.14285714285714285,['Go to the bowling alley'],"['Pick out shoes', 'Pick out shoes']",Pick out shoes,0
2,0.2857142857142857,"['Go to the bowling alley', 'Pick out shoes']","['Go to lane', 'Pay for shoes and game']",Pay for shoes and game,1
3,0.42857142857142855,"['Go to the bowling alley', 'Pick out shoes', 'Pay for shoes and game']","['Put bowling shoes on', 'Throw ball']",Put bowling shoes on,0
4,0.5714285714285714,"['Go to the bowling alley', 'Pick out shoes', 'Pay for shoes and game', 'Put bowling shoes on']","['Pick out ball', 'Pick out shoes']",Pick out ball,0
5,0.7142857142857143,"['Go to the bowling alley', 'Pick out shoes', 'Pay for shoes and game', 'Put bowling shoes on', 'Pick out ball']","['Pay for shoes and game', 'Go to lane']",Go to lane,1
6,0.8571428571428571,"['Go to the bowling alley', 'Pick out shoes', 'Pay for shoes and game', 'Put bowling shoes on', 'Pick out ball', 'Go to lane']","['Throw ball', 'Pay for shoes and game']",Throw ball,0
0,0.0,[],"['Entering the bowling alley', 'find alley']",Entering the bowling alley,0
1,0.14285714285714285,['Entering the bowling alley'],"['paying for a string', 'paying for a string']",paying for a string,0
2,0.2857142857142857,"['Entering the bowling alley', 'paying for a string']","['getting shoes', 'begin bowling']",getting shoes,0
3,0.42857142857142855,"['Entering the bowling alley', 'paying for a string', 'getting shoes']","['begin bowling', 'put shoes on']",put shoes on,1
4,0.5714285714285714,"['Entering the bowling alley', 'paying for a string', 'getting shoes', 'put shoes on']","['paying for a string', 'find alley']",find alley,1
5,0.7142857142857143,"['Entering the bowling alley', 'paying for a string', 'getting shoes', 'put shoes on', 'find alley']","['set up score card', 'Entering the bowling alley']",set up score card,0
6,0.8571428571428571,"['Entering the bowling alley', 'paying for a string', 'getting shoes', 'put shoes on', 'find alley', 'set up score card']","['begin bowling', 'paying for a string']",begin bowling,0
0,0.0,[],"['Call friends', 'Rent shoes']",Call friends,0
1,0.1111111111111111,['Call friends'],"['Return shoes', 'Arrange meeting at bowling alley']",Arrange meeting at bowling alley,1
2,0.2222222222222222,"['Call friends', 'Arrange meeting at bowling alley']","['Roll ball down aisle multiple times', 'Meet friends at bowling alley']",Meet friends at bowling alley,1
3,0.3333333333333333,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley']","['Call friends', 'Buy a game']",Buy a game,1
4,0.4444444444444444,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley', 'Buy a game']","['Rent shoes', 'Leave']",Rent shoes,0
5,0.5555555555555556,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley', 'Buy a game', 'Rent shoes']","['Return shoes', 'Put on shoes']",Put on shoes,1
6,0.6666666666666666,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley', 'Buy a game', 'Rent shoes', 'Put on shoes']","['Roll ball down aisle multiple times', 'Leave']",Roll ball down aisle multiple times,0
7,0.7777777777777778,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley', 'Buy a game', 'Rent shoes', 'Put on shoes', 'Roll ball down aisle multiple times']","['Return shoes', 'Call friends']",Return shoes,0
8,0.8888888888888888,"['Call friends', 'Arrange meeting at bowling alley', 'Meet friends at bowling alley', 'Buy a game', 'Rent shoes', 'Put on shoes', 'Roll ball down aisle multiple times', 'Return shoes']","['Rent shoes', 'Leave']",Leave,1
0,0.0,[],"['pay for lanes', 'enter names into score keeper']",pay for lanes,0
1,0.1111111111111111,['pay for lanes'],"['repeat 10 times per game', 'rent shoes']",rent shoes,1
2,0.2222222222222222,"['pay for lanes', 'rent shoes']","['put on shoes', 'return ball']",put on shoes,0
3,0.3333333333333333,"['pay for lanes', 'rent shoes', 'put on shoes']","['find suitable ball', 'repeat 10 times per game']",find suitable ball,0
4,0.4444444444444444,"['pay for lanes', 'rent shoes', 'put on shoes', 'find suitable ball']","['enter names into score keeper', 'pay for lanes']",enter names into score keeper,0
5,0.5555555555555556,"['pay for lanes', 'rent shoes', 'put on shoes', 'find suitable ball', 'enter names into score keeper']","['roll the ball toward the pins, attempting to knock down all 10', 'pay for lanes']","roll the ball toward the pins, attempting to knock down all 10",0
6,0.6666666666666666,"['pay for lanes', 'rent shoes', 'put on shoes', 'find suitable ball', 'enter names into score keeper', 'roll the ball toward the pins, attempting to knock down all 10']","['find suitable ball', 'repeat 10 times per game']",repeat 10 times per game,1
7,0.7777777777777778,"['pay for lanes', 'rent shoes', 'put on shoes', 'find suitable ball', 'enter names into score keeper', 'roll the ball toward the pins, attempting to knock down all 10', 'repeat 10 times per game']","['enter names into score keeper', 'return ball']",return ball,1
8,0.8888888888888888,"['pay for lanes', 'rent shoes', 'put on shoes', 'find suitable ball', 'enter names into score keeper', 'roll the ball toward the pins, attempting to knock down all 10', 'repeat 10 times per game', 'return ball']","['return shoes', 'enter names into score keeper']",return shoes,0
0,0.0,[],"['Find a bowling ball of the appropriate weight,', 'Go to bowling alley.']",Go to bowling alley.,1
1,0.16666666666666666,['Go to bowling alley.'],"['Go to your lane.', 'Go to front desk pay for a lane and rent a pair of shoes.']",Go to front desk pay for a lane and rent a pair of shoes.,1
2,0.3333333333333333,"['Go to bowling alley.', 'Go to front desk pay for a lane and rent a pair of shoes.']","['Enter names into system.', 'Find a bowling ball of the appropriate weight,']","Find a bowling ball of the appropriate weight,",1
3,0.5,"['Go to bowling alley.', 'Go to front desk pay for a lane and rent a pair of shoes.', 'Find a bowling ball of the appropriate weight,']","['Throw ball down lane.', 'Go to your lane.']",Go to your lane.,1
4,0.6666666666666666,"['Go to bowling alley.', 'Go to front desk pay for a lane and rent a pair of shoes.', 'Find a bowling ball of the appropriate weight,', 'Go to your lane.']","['Go to bowling alley.', 'Enter names into system.']",Enter names into system.,1
5,0.8333333333333334,"['Go to bowling alley.', 'Go to front desk pay for a lane and rent a pair of shoes.', 'Find a bowling ball of the appropriate weight,', 'Go to your lane.', 'Enter names into system.']","['Go to front desk pay for a lane and rent a pair of shoes.', 'Throw ball down lane.']",Throw ball down lane.,1
0,0.0,[],"['Step inside the establishment', 'Drive to bowling alley']",Drive to bowling alley,1
1,0.14285714285714285,['Drive to bowling alley'],"['Park car and get out', 'Go to front desk']",Park car and get out,0
