task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Find a theater to go to nearby', 'Go to ticket booth and buy ticket']",Find a theater to go to nearby,0
1,0.2,['Find a theater to go to nearby'],"['Get in mode of transportation to get to theater', 'Get in mode of transportation to get to theater']",Get in mode of transportation to get to theater,1
2,0.4,"['Find a theater to go to nearby', 'Get in mode of transportation to get to theater']","['Pick out a movie to watch', 'Proceed inside to the theater']",Pick out a movie to watch,0
3,0.6,"['Find a theater to go to nearby', 'Get in mode of transportation to get to theater', 'Pick out a movie to watch']","['Go to ticket booth and buy ticket', 'Find a theater to go to nearby']",Go to ticket booth and buy ticket,0
4,0.8,"['Find a theater to go to nearby', 'Get in mode of transportation to get to theater', 'Pick out a movie to watch', 'Go to ticket booth and buy ticket']","['Find a theater to go to nearby', 'Proceed inside to the theater']",Proceed inside to the theater,1
0,0.0,[],"['Find parking space.', 'Decide what show to see.']",Decide what show to see.,1
1,0.2,['Decide what show to see.'],"['Drive to theater.', 'Decide what show to see.']",Drive to theater.,0
2,0.4,"['Decide what show to see.', 'Drive to theater.']","['Give ticket to employee.', 'Find parking space.']",Find parking space.,1
3,0.6,"['Decide what show to see.', 'Drive to theater.', 'Find parking space.']","['Decide what show to see.', 'Buy tickets at the counter.']",Buy tickets at the counter.,1
4,0.8,"['Decide what show to see.', 'Drive to theater.', 'Find parking space.', 'Buy tickets at the counter.']","['Drive to theater.', 'Give ticket to employee.']",Give ticket to employee.,1
0,0.0,[],"['Find out time of the movie you want to watch', 'Park']",Find out time of the movie you want to watch,0
1,0.2,['Find out time of the movie you want to watch'],"['Drive to the theater', 'Park']",Drive to the theater,0
2,0.4,"['Find out time of the movie you want to watch', 'Drive to the theater']","['Go to the theater number assigned', 'Park']",Park,1
3,0.6,"['Find out time of the movie you want to watch', 'Drive to the theater', 'Park']","['Find out time of the movie you want to watch', 'Go inside and purchase a ticket']",Go inside and purchase a ticket,1
4,0.8,"['Find out time of the movie you want to watch', 'Drive to the theater', 'Park', 'Go inside and purchase a ticket']","['Drive to the theater', 'Go to the theater number assigned']",Go to the theater number assigned,1
0,0.0,[],"['picking out a show to see', 'driving to the theater']",picking out a show to see,0
1,0.2,['picking out a show to see'],"['driving to the theater', 'buying tickets for show']",buying tickets for show,1
2,0.4,"['picking out a show to see', 'buying tickets for show']","['taking my seat', 'driving to the theater']",driving to the theater,1
3,0.6,"['picking out a show to see', 'buying tickets for show', 'driving to the theater']","['checking into the theater', 'picking out a show to see']",checking into the theater,0
4,0.8,"['picking out a show to see', 'buying tickets for show', 'driving to the theater', 'checking into the theater']","['buying tickets for show', 'taking my seat']",taking my seat,1
0,0.0,[],"['pick a movie', 'wait in line']",pick a movie,0
1,0.2,['pick a movie'],"['find movie time', 'wait in line']",find movie time,0
2,0.4,"['pick a movie', 'find movie time']","['go to the theater', 'buy movie ticket']",go to the theater,0
3,0.6,"['pick a movie', 'find movie time', 'go to the theater']","['pick a movie', 'wait in line']",wait in line,1
4,0.8,"['pick a movie', 'find movie time', 'go to the theater', 'wait in line']","['buy movie ticket', 'pick a movie']",buy movie ticket,0
0,0.0,[],"[""Choose the movie that you'd like to watch"", 'Pay for the tickets']",Choose the movie that you'd like to watch,0
1,0.2,"[""Choose the movie that you'd like to watch""]","['Pay for the tickets', 'Select the show times']",Select the show times,1
2,0.4,"[""Choose the movie that you'd like to watch"", 'Select the show times']","['Enter the theater', 'Drive to the theater']",Drive to the theater,1
3,0.6,"[""Choose the movie that you'd like to watch"", 'Select the show times', 'Drive to the theater']","[""Choose the movie that you'd like to watch"", 'Pay for the tickets']",Pay for the tickets,1
4,0.8,"[""Choose the movie that you'd like to watch"", 'Select the show times', 'Drive to the theater', 'Pay for the tickets']","['Enter the theater', ""Choose the movie that you'd like to watch""]",Enter the theater,0
0,0.0,[],"['Find movie listings', 'Go to ticket line']",Find movie listings,0
1,0.2,['Find movie listings'],"['Go to ticket line', 'Decide on movie']",Decide on movie,1
2,0.4,"['Find movie listings', 'Decide on movie']","['Go to theater', 'Buy ticket']",Go to theater,0
3,0.6,"['Find movie listings', 'Decide on movie', 'Go to theater']","['Find movie listings', 'Go to ticket line']",Go to ticket line,1
4,0.8,"['Find movie listings', 'Decide on movie', 'Go to theater', 'Go to ticket line']","['Decide on movie', 'Buy ticket']",Buy ticket,1
