task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Put credit card back in wallet', 'Get credit card out of wallet']",Get credit card out of wallet,1
1,0.2,['Get credit card out of wallet'],"['Hand credit card to cashier', 'Hand credit card to cashier']",Hand credit card to cashier,1
2,0.4,"['Get credit card out of wallet', 'Hand credit card to cashier']","['Put credit card back in wallet', 'Wait for cashier to give credit card back']",Wait for cashier to give credit card back,1
3,0.6,"['Get credit card out of wallet', 'Hand credit card to cashier', 'Wait for cashier to give credit card back']","['Sign credit card slip given to me by cashier', 'Get credit card out of wallet']",Sign credit card slip given to me by cashier,0
4,0.8,"['Get credit card out of wallet', 'Hand credit card to cashier', 'Wait for cashier to give credit card back', 'Sign credit card slip given to me by cashier']","['Hand credit card to cashier', 'Put credit card back in wallet']",Put credit card back in wallet,1
0,0.0,[],"['walk to cashier or automated teller', 'approve fee']",walk to cashier or automated teller,0
1,0.2,['walk to cashier or automated teller'],"['take out credit card', 'take out credit card']",take out credit card,1
2,0.4,"['walk to cashier or automated teller', 'take out credit card']","['swipe card', 'approve fee']",swipe card,0
3,0.6,"['walk to cashier or automated teller', 'take out credit card', 'swipe card']","['enter password', 'walk to cashier or automated teller']",enter password,0
4,0.8,"['walk to cashier or automated teller', 'take out credit card', 'swipe card', 'enter password']","['walk to cashier or automated teller', 'approve fee']",approve fee,1
0,0.0,[],"['Run card through machine', 'If debit, enter pin']",Run card through machine,0
1,0.2,['Run card through machine'],"['Select debit or credit', 'Sign the machine']",Select debit or credit,0
2,0.4,"['Run card through machine', 'Select debit or credit']","['Press enter', 'If debit, enter pin']","If debit, enter pin",1
3,0.6,"['Run card through machine', 'Select debit or credit', 'If debit, enter pin']","['Run card through machine', 'Sign the machine']",Sign the machine,1
4,0.8,"['Run card through machine', 'Select debit or credit', 'If debit, enter pin', 'Sign the machine']","['Select debit or credit', 'Press enter']",Press enter,1
0,0.0,[],"['going to check out', 'going to the store']",going to the store,1
1,0.2,['going to the store'],"['picking out product to buy', 'handing card to cashier']",picking out product to buy,0
2,0.4,"['going to the store', 'picking out product to buy']","['going to check out', 'signing for purchase']",going to check out,0
3,0.6,"['going to the store', 'picking out product to buy', 'going to check out']","['going to the store', 'handing card to cashier']",handing card to cashier,1
4,0.8,"['going to the store', 'picking out product to buy', 'going to check out', 'handing card to cashier']","['picking out product to buy', 'signing for purchase']",signing for purchase,1
0,0.0,[],"['Tell cashier you are paying with credit', 'Select credit card you want to use']",Select credit card you want to use,1
1,0.2,['Select credit card you want to use'],"['Tell cashier you are paying with credit', 'Tell cashier you are paying with credit']",Tell cashier you are paying with credit,0
2,0.4,"['Select credit card you want to use', 'Tell cashier you are paying with credit']","['Slide card through machine', 'Accept amount charged']",Slide card through machine,0
3,0.6,"['Select credit card you want to use', 'Tell cashier you are paying with credit', 'Slide card through machine']","['Select credit card you want to use', 'Select option for credit']",Select option for credit,1
4,0.8,"['Select credit card you want to use', 'Tell cashier you are paying with credit', 'Slide card through machine', 'Select option for credit']","['Accept amount charged', 'Select credit card you want to use']",Accept amount charged,0
0,0.0,[],"['Apply for credit card', 'Go to store']",Apply for credit card,0
1,0.2,['Apply for credit card'],"['Choose item', 'Wait for approval']",Wait for approval,1
2,0.4,"['Apply for credit card', 'Wait for approval']","['Bring item to clerk', 'Go to store']",Go to store,1
3,0.6,"['Apply for credit card', 'Wait for approval', 'Go to store']","['Choose item', 'Apply for credit card']",Choose item,0
4,0.8,"['Apply for credit card', 'Wait for approval', 'Go to store', 'Choose item']","['Bring item to clerk', 'Wait for approval']",Bring item to clerk,0
0,0.0,[],"['Select desired credit card.', 'Wait for receipts to print.']",Select desired credit card.,0
1,0.2,['Select desired credit card.'],"['Withdraw from wallet.', 'Select desired credit card.']",Withdraw from wallet.,0
2,0.4,"['Select desired credit card.', 'Withdraw from wallet.']","['Wait for receipts to print.', 'Hand to cashier.']",Hand to cashier.,1
3,0.6,"['Select desired credit card.', 'Withdraw from wallet.', 'Hand to cashier.']","['Select desired credit card.', 'Hand over ID upon request.']",Hand over ID upon request.,1
4,0.8,"['Select desired credit card.', 'Withdraw from wallet.', 'Hand to cashier.', 'Hand over ID upon request.']","['Select desired credit card.', 'Wait for receipts to print.']",Wait for receipts to print.,1
0,0.0,[],"['Make sure your price is right', 'Type in your pin number or zipcode if prompted']",Make sure your price is right,0
1,0.2,['Make sure your price is right'],"['Pull out your credit', 'Pull out your credit']",Pull out your credit,0
2,0.4,"['Make sure your price is right', 'Pull out your credit']","['Either hand you card to the merchant to be swiped, or swipe the card yourself', 'Take your receipt']","Either hand you card to the merchant to be swiped, or swipe the card yourself",0
3,0.6,"['Make sure your price is right', 'Pull out your credit', 'Either hand you card to the merchant to be swiped, or swipe the card yourself']","['Make sure your price is right', 'Type in your pin number or zipcode if prompted']",Type in your pin number or zipcode if prompted,1
4,0.8,"['Make sure your price is right', 'Pull out your credit', 'Either hand you card to the merchant to be swiped, or swipe the card yourself', 'Type in your pin number or zipcode if prompted']","['Make sure your price is right', 'Take your receipt']",Take your receipt,1
0,0.0,[],"['Bring selected merchandise to the till counter', 'Let the cashier scan all the items']",Bring selected merchandise to the till counter,0
1,0.2,['Bring selected merchandise to the till counter'],"['Let the cashier scan all the items', 'Take out credit card']",Let the cashier scan all the items,0
2,0.4,"['Bring selected merchandise to the till counter', 'Let the cashier scan all the items']","['Give the cashier your credit card', 'Take out credit card']",Take out credit card,1
