task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Enjoy your clean flat', 'Pick up dirty clothes']",Pick up dirty clothes,1
1,0.08333333333333333,['Pick up dirty clothes'],"['Put away clean clothes', 'Wash dishes']",Put away clean clothes,0
2,0.16666666666666666,"['Pick up dirty clothes', 'Put away clean clothes']","['Vacuum', 'Clear off surfaces']",Clear off surfaces,1
3,0.25,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces']","['Empty trash', 'Wash dishes']",Wash dishes,1
4,0.3333333333333333,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes']","['Pick up anything else on the floor', 'Make beds']",Pick up anything else on the floor,0
5,0.4166666666666667,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor']","['Mop', 'Empty trash']",Empty trash,1
6,0.5,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash']","['Make beds', 'Vacuum']",Make beds,0
7,0.5833333333333334,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash', 'Make beds']","['Mop', 'Dust']",Dust,1
8,0.6666666666666666,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash', 'Make beds', 'Dust']","['Pick up anything else on the floor', 'Vacuum']",Vacuum,1
9,0.75,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash', 'Make beds', 'Dust', 'Vacuum']","['Sweep', 'Make beds']",Sweep,0
10,0.8333333333333334,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash', 'Make beds', 'Dust', 'Vacuum', 'Sweep']","['Make beds', 'Mop']",Mop,1
11,0.9166666666666666,"['Pick up dirty clothes', 'Put away clean clothes', 'Clear off surfaces', 'Wash dishes', 'Pick up anything else on the floor', 'Empty trash', 'Make beds', 'Dust', 'Vacuum', 'Sweep', 'Mop']","['Enjoy your clean flat', 'Make beds']",Enjoy your clean flat,0
0,0.0,[],"['vacuuming floor', 'getting out cleaning products']",getting out cleaning products,1
1,0.1,['getting out cleaning products'],"['Wetting rag', 'getting out cleaning products']",Wetting rag,0
2,0.2,"['getting out cleaning products', 'Wetting rag']","['mopping floor', 'wiping surface areas']",wiping surface areas,1
3,0.3,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas']","['drying floor', 'sweeping floor']",sweeping floor,1
4,0.4,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor']","['getting out cleaning products', 'picking up with dustpan']",picking up with dustpan,1
5,0.5,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor', 'picking up with dustpan']","['getting mop', 'Wetting rag']",getting mop,0
6,0.6,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor', 'picking up with dustpan', 'getting mop']","['getting vacuum', 'mopping floor']",mopping floor,1
7,0.7,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor', 'picking up with dustpan', 'getting mop', 'mopping floor']","['drying floor', 'sweeping floor']",drying floor,0
8,0.8,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor', 'picking up with dustpan', 'getting mop', 'mopping floor', 'drying floor']","['sweeping floor', 'getting vacuum']",getting vacuum,1
9,0.9,"['getting out cleaning products', 'Wetting rag', 'wiping surface areas', 'sweeping floor', 'picking up with dustpan', 'getting mop', 'mopping floor', 'drying floor', 'getting vacuum']","['vacuuming floor', 'picking up with dustpan']",vacuuming floor,0
0,0.0,[],"['Put dirty clothes in hamper', 'Clean the cat box']",Put dirty clothes in hamper,0
1,0.125,['Put dirty clothes in hamper'],"['Throw away trash', 'Organize loose papers']",Organize loose papers,1
2,0.25,"['Put dirty clothes in hamper', 'Organize loose papers']","['Wash the dishes', 'Pick junk off floor']",Pick junk off floor,1
3,0.375,"['Put dirty clothes in hamper', 'Organize loose papers', 'Pick junk off floor']","['Throw away trash', 'Take out the trash']",Throw away trash,0
4,0.5,"['Put dirty clothes in hamper', 'Organize loose papers', 'Pick junk off floor', 'Throw away trash']","['Organize loose papers', 'Clean the cat box']",Clean the cat box,1
5,0.625,"['Put dirty clothes in hamper', 'Organize loose papers', 'Pick junk off floor', 'Throw away trash', 'Clean the cat box']","['Pick junk off floor', 'Vacuum']",Vacuum,1
6,0.75,"['Put dirty clothes in hamper', 'Organize loose papers', 'Pick junk off floor', 'Throw away trash', 'Clean the cat box', 'Vacuum']","['Wash the dishes', 'Throw away trash']",Wash the dishes,0
7,0.875,"['Put dirty clothes in hamper', 'Organize loose papers', 'Pick junk off floor', 'Throw away trash', 'Clean the cat box', 'Vacuum', 'Wash the dishes']","['Clean the cat box', 'Take out the trash']",Take out the trash,1
0,0.0,[],"['Organize the rooms', 'Vacuum the carpet']",Vacuum the carpet,1
1,0.2,['Vacuum the carpet'],"['Organize the rooms', 'Organize the rooms']",Organize the rooms,1
2,0.4,"['Vacuum the carpet', 'Organize the rooms']","['Dust the furniture', 'Organize the closets']",Dust the furniture,0
3,0.6,"['Vacuum the carpet', 'Organize the rooms', 'Dust the furniture']","['Sweep the floor', 'Vacuum the carpet']",Sweep the floor,0
4,0.8,"['Vacuum the carpet', 'Organize the rooms', 'Dust the furniture', 'Sweep the floor']","['Organize the rooms', 'Organize the closets']",Organize the closets,1
0,0.0,[],"['Get broom, mop, detergent, bucket and water', 'Put the mob inside and let it soak']","Get broom, mop, detergent, bucket and water",0
1,0.08333333333333333,"['Get broom, mop, detergent, bucket and water']","['Wipe with dry mop', 'Open the flat']",Open the flat,1
2,0.16666666666666666,"['Get broom, mop, detergent, bucket and water', 'Open the flat']","['Wipe with dry mop', 'Put water in the bucket']",Put water in the bucket,1
3,0.25,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket']","['Mix detergent in water', 'Broom the whole flat']",Mix detergent in water,0
4,0.3333333333333333,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water']","['Put the mob inside and let it soak', 'Get broom, mop, detergent, bucket and water']",Put the mob inside and let it soak,0
5,0.4166666666666667,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak']","['Take the broom', 'Switch on the fan']",Take the broom,0
6,0.5,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom']","['Open the flat', 'Broom the whole flat']",Broom the whole flat,1
7,0.5833333333333334,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom', 'Broom the whole flat']","['Mop up the flat room by room', 'Mix detergent in water']",Mop up the flat room by room,0
8,0.6666666666666666,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom', 'Broom the whole flat', 'Mop up the flat room by room']","['Mop up again', 'Let the flat get dry']",Mop up again,0
9,0.75,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom', 'Broom the whole flat', 'Mop up the flat room by room', 'Mop up again']","['Put the mob inside and let it soak', 'Wipe with dry mop']",Wipe with dry mop,1
10,0.8333333333333334,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom', 'Broom the whole flat', 'Mop up the flat room by room', 'Mop up again', 'Wipe with dry mop']","['Broom the whole flat', 'Switch on the fan']",Switch on the fan,1
11,0.9166666666666666,"['Get broom, mop, detergent, bucket and water', 'Open the flat', 'Put water in the bucket', 'Mix detergent in water', 'Put the mob inside and let it soak', 'Take the broom', 'Broom the whole flat', 'Mop up the flat room by room', 'Mop up again', 'Wipe with dry mop', 'Switch on the fan']","['Mop up again', 'Let the flat get dry']",Let the flat get dry,1
0,0.0,[],"['Get into the flat', 'Get into the flat']",Get into the flat,0
1,0.14285714285714285,['Get into the flat'],"['Wash the floor', 'Take the vacuum cleaner']",Take the vacuum cleaner,1
2,0.2857142857142857,"['Get into the flat', 'Take the vacuum cleaner']","['Switch on the plug of the cleaner', 'Wash the floor']",Switch on the plug of the cleaner,0
3,0.42857142857142855,"['Get into the flat', 'Take the vacuum cleaner', 'Switch on the plug of the cleaner']","['Move the cleaner to the places where there is dust', 'Arrange the things back to their positions']",Move the cleaner to the places where there is dust,0
4,0.5714285714285714,"['Get into the flat', 'Take the vacuum cleaner', 'Switch on the plug of the cleaner', 'Move the cleaner to the places where there is dust']","['Wash the floor', 'Get into the flat']",Wash the floor,0
5,0.7142857142857143,"['Get into the flat', 'Take the vacuum cleaner', 'Switch on the plug of the cleaner', 'Move the cleaner to the places where there is dust', 'Wash the floor']","['Put the unwanted things into the dustbin', 'Get into the flat']",Put the unwanted things into the dustbin,0
6,0.8571428571428571,"['Get into the flat', 'Take the vacuum cleaner', 'Switch on the plug of the cleaner', 'Move the cleaner to the places where there is dust', 'Wash the floor', 'Put the unwanted things into the dustbin']","['Arrange the things back to their positions', 'Take the vacuum cleaner']",Arrange the things back to their positions,0
0,0.0,[],"['Get all the stuff off the floor.', 'Put all the dishes away.']",Get all the stuff off the floor.,0
1,0.14285714285714285,['Get all the stuff off the floor.'],"['Wash clothes.', 'Take the garbage out.']",Take the garbage out.,1
2,0.2857142857142857,"['Get all the stuff off the floor.', 'Take the garbage out.']","['Wash the dishes.', 'Wash clothes.']",Wash the dishes.,0
3,0.42857142857142855,"['Get all the stuff off the floor.', 'Take the garbage out.', 'Wash the dishes.']","['Vacuum the floor.', 'Get all the stuff off the floor.']",Vacuum the floor.,0
4,0.5714285714285714,"['Get all the stuff off the floor.', 'Take the garbage out.', 'Wash the dishes.', 'Vacuum the floor.']","['Put all the dishes away.', 'Get all the stuff off the floor.']",Put all the dishes away.,0
5,0.7142857142857143,"['Get all the stuff off the floor.', 'Take the garbage out.', 'Wash the dishes.', 'Vacuum the floor.', 'Put all the dishes away.']","['Wash clothes.', 'Take the garbage out.']",Wash clothes.,0
6,0.8571428571428571,"['Get all the stuff off the floor.', 'Take the garbage out.', 'Wash the dishes.', 'Vacuum the floor.', 'Put all the dishes away.', 'Wash clothes.']","['Vacuum the floor.', 'Put laundry away.']",Put laundry away.,1
0,0.0,[],"['Vacuum the floor', 'Wash the dishes']",Vacuum the floor,0
1,0.16666666666666666,['Vacuum the floor'],"['Dust the furniture', 'Throw away trash']",Dust the furniture,0
2,0.3333333333333333,"['Vacuum the floor', 'Dust the furniture']","['Clean the windows', 'Clean the bathroom']",Clean the windows,0
3,0.5,"['Vacuum the floor', 'Dust the furniture', 'Clean the windows']","['Wash the dishes', 'Throw away trash']",Wash the dishes,0
4,0.6666666666666666,"['Vacuum the floor', 'Dust the furniture', 'Clean the windows', 'Wash the dishes']","['Vacuum the floor', 'Clean the bathroom']",Clean the bathroom,1
5,0.8333333333333334,"['Vacuum the floor', 'Dust the furniture', 'Clean the windows', 'Wash the dishes', 'Clean the bathroom']","['Clean the windows', 'Throw away trash']",Throw away trash,1
0,0.0,[],"['throw away any trash', 'clear any clutter off floor']",clear any clutter off floor,1
1,0.1,['clear any clutter off floor'],"['vacuum the carpet', 'put cleaning supplies away']",vacuum the carpet,0
2,0.2,"['clear any clutter off floor', 'vacuum the carpet']","['throw away any trash', 'scrub counters with bleach']",throw away any trash,0
3,0.3,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash']","['put on gloves', 'take off gloves']",put on gloves,0
4,0.4,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves']","['clear any clutter off floor', 'wash windows with cleaner']",wash windows with cleaner,1
5,0.5,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves', 'wash windows with cleaner']","['clear any clutter off floor', 'scrub counters with bleach']",scrub counters with bleach,1
6,0.6,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves', 'wash windows with cleaner', 'scrub counters with bleach']","['clear any clutter off floor', 'dust lamps and shelves']",dust lamps and shelves,1
7,0.7,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves', 'wash windows with cleaner', 'scrub counters with bleach', 'dust lamps and shelves']","['vacuum the carpet', 'take trash out to dumpster']",take trash out to dumpster,1
8,0.8,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves', 'wash windows with cleaner', 'scrub counters with bleach', 'dust lamps and shelves', 'take trash out to dumpster']","['take off gloves', 'vacuum the carpet']",take off gloves,0
9,0.9,"['clear any clutter off floor', 'vacuum the carpet', 'throw away any trash', 'put on gloves', 'wash windows with cleaner', 'scrub counters with bleach', 'dust lamps and shelves', 'take trash out to dumpster', 'take off gloves']","['put cleaning supplies away', 'clear any clutter off floor']",put cleaning supplies away,0
0,0.0,[],"['Gather cleaning supplies.', 'Scrub bath tub and toilet.']",Gather cleaning supplies.,0
