task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Repair any broken areas of room.', 'Move furniture to a different room.']",Move furniture to a different room.,1
1,0.07692307692307693,['Move furniture to a different room.'],"['Remove pictures or other decorations from walls.', 'Clean up mess from renovation.']",Remove pictures or other decorations from walls.,0
2,0.15384615384615385,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.']","['Paint room', 'Remove curtains.']",Remove curtains.,1
3,0.23076923076923078,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.']","['Clean room.', 'Move furniture into room.']",Clean room.,0
4,0.3076923076923077,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.']","['Remove pictures or other decorations from walls.', 'Repair any broken areas of room.']",Repair any broken areas of room.,1
5,0.38461538461538464,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.']","['Put drop cloths on floor.', ""Remove painter's tape""]",Put drop cloths on floor.,0
6,0.46153846153846156,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.']","[""Remove painter's tape"", ""Put painter's tape around edges of windows and fixtures.""]",Put painter's tape around edges of windows and fixtures.,1
7,0.5384615384615384,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures.""]","['Replace any fixtures you do not like.', 'Paint room']",Paint room,1
8,0.6153846153846154,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures."", 'Paint room']","['Install pictures, decorations, and curtains.', ""Remove painter's tape""]",Remove painter's tape,1
9,0.6923076923076923,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures."", 'Paint room', ""Remove painter's tape""]","['Clean room.', 'Replace any fixtures you do not like.']",Replace any fixtures you do not like.,1
10,0.7692307692307693,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures."", 'Paint room', ""Remove painter's tape"", 'Replace any fixtures you do not like.']","['Clean up mess from renovation.', 'Move furniture to a different room.']",Clean up mess from renovation.,0
11,0.8461538461538461,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures."", 'Paint room', ""Remove painter's tape"", 'Replace any fixtures you do not like.', 'Clean up mess from renovation.']","['Move furniture into room.', 'Remove pictures or other decorations from walls.']",Move furniture into room.,0
12,0.9230769230769231,"['Move furniture to a different room.', 'Remove pictures or other decorations from walls.', 'Remove curtains.', 'Clean room.', 'Repair any broken areas of room.', 'Put drop cloths on floor.', ""Put painter's tape around edges of windows and fixtures."", 'Paint room', ""Remove painter's tape"", 'Replace any fixtures you do not like.', 'Clean up mess from renovation.', 'Move furniture into room.']","['Install pictures, decorations, and curtains.', 'Remove curtains.']","Install pictures, decorations, and curtains.",0
0,0.0,[],"['Go buy supplies', 'Choose the room to be renovated']",Choose the room to be renovated,1
1,0.08333333333333333,['Choose the room to be renovated'],"['Determine what changes need to be made', 'Take before pictures']",Determine what changes need to be made,0
2,0.16666666666666666,"['Choose the room to be renovated', 'Determine what changes need to be made']","['Take before pictures', 'Come home and clear out room']",Take before pictures,0
3,0.25,"['Choose the room to be renovated', 'Determine what changes need to be made', 'Take before pictures']","['Clean up and prepare room for renovation', 'Figure out a budget']",Figure out a budget,1
4,0.3333333333333333,"['Choose the room to be renovated', 'Determine what changes need to be made', 'Take before pictures', 'Figure out a budget']","['Take pictures of empty room', 'Decide what you can renovate based on the budget']",Decide what you can renovate based on the budget,1
5,0.4166666666666667,"['Choose the room to be renovated', 'Determine what changes need to be made', 'Take before pictures', 'Figure out a budget', 'Decide what you can renovate based on the budget']","['Go buy supplies', 'Take before pictures']",Go buy supplies,0
6,0.5,"['Choose the room to be renovated', 'Determine what changes need to be made', 'Take before pictures', 'Figure out a budget', 'Decide what you can renovate based on the budget', 'Go buy supplies']","['Figure out a budget', 'Come home and clear out room']",Come home and clear out room,1
