task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['Get eggs out of fridge', 'Stir up eggs with spatula']",Get eggs out of fridge,0
1,0.1111111111111111,['Get eggs out of fridge'],"['Get pan out of cabinet', 'Get pan out of cabinet']",Get pan out of cabinet,1
2,0.2222222222222222,"['Get eggs out of fridge', 'Get pan out of cabinet']","['Turn on stove and place pan on stove', 'Get eggs out of pan']",Turn on stove and place pan on stove,0
3,0.3333333333333333,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove']","['Turn off stove', 'Grease pan will a little butter']",Grease pan will a little butter,1
4,0.4444444444444444,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove', 'Grease pan will a little butter']","['Get eggs out of fridge', 'Crack Eggs into pan']",Crack Eggs into pan,1
5,0.5555555555555556,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove', 'Grease pan will a little butter', 'Crack Eggs into pan']","['Turn off stove', 'Stir up eggs with spatula']",Stir up eggs with spatula,1
6,0.6666666666666666,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove', 'Grease pan will a little butter', 'Crack Eggs into pan', 'Stir up eggs with spatula']","['Get eggs out of pan', 'Turn on stove and place pan on stove']",Get eggs out of pan,0
7,0.7777777777777778,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove', 'Grease pan will a little butter', 'Crack Eggs into pan', 'Stir up eggs with spatula', 'Get eggs out of pan']","['Grease pan will a little butter', 'Place eggs on plate']",Place eggs on plate,1
8,0.8888888888888888,"['Get eggs out of fridge', 'Get pan out of cabinet', 'Turn on stove and place pan on stove', 'Grease pan will a little butter', 'Crack Eggs into pan', 'Stir up eggs with spatula', 'Get eggs out of pan', 'Place eggs on plate']","['Turn off stove', 'Get eggs out of fridge']",Turn off stove,0
0,0.0,[],"['Buy eggs', 'Buy eggs']",Buy eggs,1
