task_step,task_completion_percentage,previous_actions,choices,correct_choice,correct_action
0,0.0,[],"['go to bus stop', 'sit down']",go to bus stop,0
1,0.125,['go to bus stop'],"['wait for bus to arrive', 'wait for bus to arrive']",wait for bus to arrive,0
2,0.25,"['go to bus stop', 'wait for bus to arrive']","['enter bus', 'wait for bus to arrive at stop']",enter bus,0
3,0.375,"['go to bus stop', 'wait for bus to arrive', 'enter bus']","['pay fare', 'exit bus']",pay fare,0
4,0.5,"['go to bus stop', 'wait for bus to arrive', 'enter bus', 'pay fare']","['sit down', 'exit bus']",sit down,0
5,0.625,"['go to bus stop', 'wait for bus to arrive', 'enter bus', 'pay fare', 'sit down']","['exit bus', 'wait for bus to arrive at stop']",wait for bus to arrive at stop,1
6,0.75,"['go to bus stop', 'wait for bus to arrive', 'enter bus', 'pay fare', 'sit down', 'wait for bus to arrive at stop']","['wait for bus to arrive', 'stand up']",stand up,1
7,0.875,"['go to bus stop', 'wait for bus to arrive', 'enter bus', 'pay fare', 'sit down', 'wait for bus to arrive at stop', 'stand up']","['exit bus', 'wait for bus to arrive']",exit bus,0
0,0.0,[],"['Get a local bus map or bus schedule.', 'When you see your bus approaching, signal to the driver to stop.']",Get a local bus map or bus schedule.,0
1,0.125,['Get a local bus map or bus schedule.'],"['When you are ready to leave, go to the nearest bus stop and wait for the next bus.', 'Check the bus schedule to make sure that the bus route stops by destination.']",Check the bus schedule to make sure that the bus route stops by destination.,1
2,0.25,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.']","['Find the bus stop nearest to your location.', 'When the driver opens the door, board the bus.']",Find the bus stop nearest to your location.,0
3,0.375,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.', 'Find the bus stop nearest to your location.']","['When you see your bus approaching, signal to the driver to stop.', 'Check the bus schedule to find the times that the bus stops by your location.']",Check the bus schedule to find the times that the bus stops by your location.,1
4,0.5,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.', 'Find the bus stop nearest to your location.', 'Check the bus schedule to find the times that the bus stops by your location.']","['Get a local bus map or bus schedule.', 'When you are ready to leave, go to the nearest bus stop and wait for the next bus.']","When you are ready to leave, go to the nearest bus stop and wait for the next bus.",1
5,0.625,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.', 'Find the bus stop nearest to your location.', 'Check the bus schedule to find the times that the bus stops by your location.', 'When you are ready to leave, go to the nearest bus stop and wait for the next bus.']","['When you see your bus approaching, signal to the driver to stop.', 'Get a local bus map or bus schedule.']","When you see your bus approaching, signal to the driver to stop.",0
6,0.75,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.', 'Find the bus stop nearest to your location.', 'Check the bus schedule to find the times that the bus stops by your location.', 'When you are ready to leave, go to the nearest bus stop and wait for the next bus.', 'When you see your bus approaching, signal to the driver to stop.']","['When the driver opens the door, board the bus.', 'Check the bus schedule to make sure that the bus route stops by destination.']","When the driver opens the door, board the bus.",0
7,0.875,"['Get a local bus map or bus schedule.', 'Check the bus schedule to make sure that the bus route stops by destination.', 'Find the bus stop nearest to your location.', 'Check the bus schedule to find the times that the bus stops by your location.', 'When you are ready to leave, go to the nearest bus stop and wait for the next bus.', 'When you see your bus approaching, signal to the driver to stop.', 'When the driver opens the door, board the bus.']","['Pay your bus fare.', 'Get a local bus map or bus schedule.']",Pay your bus fare.,0
0,0.0,[],"['Find out when bus leaves.', 'Find out what bus to take.']",Find out what bus to take.,1
1,0.125,['Find out what bus to take.'],"['Find a seat.', 'Find out when bus leaves.']",Find out when bus leaves.,1
2,0.25,"['Find out what bus to take.', 'Find out when bus leaves.']","['Wait for your stop to be announced.', 'Go to bus stop at designated time.']",Go to bus stop at designated time.,1
3,0.375,"['Find out what bus to take.', 'Find out when bus leaves.', 'Go to bus stop at designated time.']","['Board bus when it arrives.', 'Get off bus at destination.']",Board bus when it arrives.,0
4,0.5,"['Find out what bus to take.', 'Find out when bus leaves.', 'Go to bus stop at designated time.', 'Board bus when it arrives.']","['Insert money for ticket.', 'Find out what bus to take.']",Insert money for ticket.,0
5,0.625,"['Find out what bus to take.', 'Find out when bus leaves.', 'Go to bus stop at designated time.', 'Board bus when it arrives.', 'Insert money for ticket.']","['Find a seat.', 'Get off bus at destination.']",Find a seat.,0
6,0.75,"['Find out what bus to take.', 'Find out when bus leaves.', 'Go to bus stop at designated time.', 'Board bus when it arrives.', 'Insert money for ticket.', 'Find a seat.']","['Find out what bus to take.', 'Wait for your stop to be announced.']",Wait for your stop to be announced.,1
7,0.875,"['Find out what bus to take.', 'Find out when bus leaves.', 'Go to bus stop at designated time.', 'Board bus when it arrives.', 'Insert money for ticket.', 'Find a seat.', 'Wait for your stop to be announced.']","['Get off bus at destination.', 'Insert money for ticket.']",Get off bus at destination.,0
0,0.0,[],"['take available seat', 'walk to bus stop']",walk to bus stop,1
1,0.125,['walk to bus stop'],"['when bus arrives, enter', 'signal by bell for stop']","when bus arrives, enter",0
